index,atmos_type,label,recon_error
4962,exotic,anomalous,0.12346767634153366
4995,exotic,anomalous,0.10551472008228302
2559,cloudy,known,0.10070480406284332
3266,h2o_rich,known,0.100025475025177
4980,exotic,anomalous,0.09993693977594376
4994,exotic,anomalous,0.0988340973854065
691,clear_h2he,known,0.09754106402397156
42,clear_h2he,known,0.0969412699341774
4969,exotic,anomalous,0.09620672464370728
2887,cloudy,known,0.09470964223146439
1948,clear_h2he,known,0.09440043568611145
3755,h2o_rich,known,0.09313357621431351
4575,co2_dom,known,0.09290548413991928
2299,cloudy,known,0.09253586083650589
879,clear_h2he,known,0.09250885248184204
2783,cloudy,known,0.09167377650737762
297,clear_h2he,known,0.09126781672239304
3765,h2o_rich,known,0.09112346917390823
2569,cloudy,known,0.08998452872037888
3830,h2o_rich,known,0.08983614295721054
1178,clear_h2he,known,0.08897661417722702
4586,co2_dom,known,0.08887109905481339
1432,clear_h2he,known,0.08885949850082397
4545,co2_dom,known,0.0887499451637268
4440,co2_dom,known,0.08849526196718216
3581,h2o_rich,known,0.08845226466655731
1025,clear_h2he,known,0.08794117718935013
3902,h2o_rich,known,0.08764608204364777
652,clear_h2he,known,0.08758701384067535
3249,h2o_rich,known,0.08756085485219955
2288,cloudy,known,0.08755555003881454
3546,h2o_rich,known,0.0873347595334053
1641,clear_h2he,known,0.08663593232631683
4981,exotic,anomalous,0.08629335463047028
4190,co2_dom,known,0.08618437498807907
3191,cloudy,known,0.08571136742830276
173,clear_h2he,known,0.08556431531906128
4990,exotic,anomalous,0.08520511537790298
1172,clear_h2he,known,0.08491300791501999
4697,co2_dom,known,0.08453705161809921
4723,biosignature,anomalous,0.08447346091270447
4848,inversion,anomalous,0.08444026112556458
4086,co2_dom,known,0.08429694175720215
4739,biosignature,anomalous,0.08381624519824982
3603,h2o_rich,known,0.08321445435285568
2105,clear_h2he,known,0.08318522572517395
3427,h2o_rich,known,0.08316829800605774
3895,h2o_rich,known,0.08309947699308395
1284,clear_h2he,known,0.08302527666091919
3060,cloudy,known,0.08244115859270096
4712,biosignature,anomalous,0.08240426331758499
4034,co2_dom,known,0.08223973959684372
909,clear_h2he,known,0.08211840689182281
3639,h2o_rich,known,0.0819828137755394
2365,cloudy,known,0.08194496482610703
4395,co2_dom,known,0.08182714134454727
4895,unknown_absorber,anomalous,0.08158925920724869
1123,clear_h2he,known,0.08153071254491806
4949,unknown_absorber,anomalous,0.0811147466301918
4360,co2_dom,known,0.08109389245510101
2819,cloudy,known,0.08091365545988083
472,clear_h2he,known,0.080812007188797
3500,h2o_rich,known,0.08071210235357285
129,clear_h2he,known,0.08069947361946106
4467,co2_dom,known,0.08069196343421936
1674,clear_h2he,known,0.08068665862083435
840,clear_h2he,known,0.08053354173898697
3775,h2o_rich,known,0.08052818477153778
4569,co2_dom,known,0.08027529716491699
4493,co2_dom,known,0.08025714010000229
4293,co2_dom,known,0.08022662997245789
115,clear_h2he,known,0.0801837146282196
4992,exotic,anomalous,0.08014623820781708
3780,h2o_rich,known,0.08011598885059357
2551,cloudy,known,0.08007444441318512
4080,co2_dom,known,0.0800643339753151
3168,cloudy,known,0.08005210757255554
2004,clear_h2he,known,0.07995131611824036
773,clear_h2he,known,0.07993436604738235
1700,clear_h2he,known,0.079905666410923
3165,cloudy,known,0.07977326214313507
1527,clear_h2he,known,0.07966023683547974
2253,cloudy,known,0.0796419307589531
1269,clear_h2he,known,0.07935512810945511
4437,co2_dom,known,0.079353466629982
4165,co2_dom,known,0.07923202216625214
3888,h2o_rich,known,0.07921178638935089
1983,clear_h2he,known,0.07915492355823517
2924,cloudy,known,0.07896260917186737
4200,co2_dom,known,0.07884624600410461
3550,h2o_rich,known,0.07876396179199219
3055,cloudy,known,0.07874896377325058
4448,co2_dom,known,0.07862045615911484
2212,cloudy,known,0.07851049304008484
4082,co2_dom,known,0.07845526933670044
94,clear_h2he,known,0.07840520143508911
2408,cloudy,known,0.07831623405218124
412,clear_h2he,known,0.07819704711437225
273,clear_h2he,known,0.0779544934630394
3073,cloudy,known,0.07795281708240509
510,clear_h2he,known,0.07780175656080246
418,clear_h2he,known,0.07777874916791916
1753,clear_h2he,known,0.07774264365434647
661,clear_h2he,known,0.07774227112531662
3150,cloudy,known,0.07766813039779663
3031,cloudy,known,0.07765590399503708
774,clear_h2he,known,0.07752379775047302
3575,h2o_rich,known,0.07749402523040771
3761,h2o_rich,known,0.07749351114034653
2354,cloudy,known,0.07748761028051376
3742,h2o_rich,known,0.0774129182100296
707,clear_h2he,known,0.07736996561288834
1035,clear_h2he,known,0.07730654627084732
3005,cloudy,known,0.07729694247245789
4715,biosignature,anomalous,0.07726195454597473
1089,clear_h2he,known,0.07719454169273376
2704,cloudy,known,0.07708082348108292
45,clear_h2he,known,0.0770350769162178
777,clear_h2he,known,0.07698271423578262
1313,clear_h2he,known,0.076959989964962
221,clear_h2he,known,0.07694496214389801
3276,h2o_rich,known,0.07690178602933884
2785,cloudy,known,0.07682850956916809
2036,clear_h2he,known,0.07680654525756836
1005,clear_h2he,known,0.07680591940879822
809,clear_h2he,known,0.07672909647226334
4171,co2_dom,known,0.07670934498310089
1461,clear_h2he,known,0.07655198127031326
3642,h2o_rich,known,0.0764780193567276
952,clear_h2he,known,0.07639867812395096
1989,clear_h2he,known,0.07634466886520386
2008,clear_h2he,known,0.07628384232521057
2932,cloudy,known,0.07623910158872604
3406,h2o_rich,known,0.07619409263134003
2608,cloudy,known,0.07618540525436401
238,clear_h2he,known,0.07617572695016861
3011,cloudy,known,0.07608535885810852
3968,h2o_rich,known,0.0760827288031578
2949,cloudy,known,0.07603292167186737
4319,co2_dom,known,0.07580876350402832
1762,clear_h2he,known,0.07573004066944122
2310,cloudy,known,0.07567976415157318
2229,cloudy,known,0.07566904276609421
3898,h2o_rich,known,0.07556062191724777
4103,co2_dom,known,0.07554232329130173
4036,co2_dom,known,0.07552780956029892
4903,unknown_absorber,anomalous,0.0754283145070076
1741,clear_h2he,known,0.07535732537508011
4284,co2_dom,known,0.0753382220864296
1531,clear_h2he,known,0.07533174753189087
3237,h2o_rich,known,0.07518520206212997
364,clear_h2he,known,0.07517881691455841
2914,cloudy,known,0.075165756046772
2235,cloudy,known,0.07506439089775085
1925,clear_h2he,known,0.07505866885185242
1896,clear_h2he,known,0.07504953444004059
3223,h2o_rich,known,0.0750206783413887
2550,cloudy,known,0.07499131560325623
2899,cloudy,known,0.07498273253440857
449,clear_h2he,known,0.07496676594018936
3881,h2o_rich,known,0.07496374845504761
4444,co2_dom,known,0.07495082169771194
725,clear_h2he,known,0.07492363452911377
1558,clear_h2he,known,0.07490768283605576
3203,h2o_rich,known,0.0749029889702797
1206,clear_h2he,known,0.07487212121486664
769,clear_h2he,known,0.074800506234169
4040,co2_dom,known,0.0747988298535347
4657,co2_dom,known,0.0747867226600647
1153,clear_h2he,known,0.074736088514328
736,clear_h2he,known,0.0747227743268013
2844,cloudy,known,0.07469886541366577
3556,h2o_rich,known,0.07469865679740906
501,clear_h2he,known,0.074628546833992
1814,clear_h2he,known,0.0746241956949234
20,clear_h2he,known,0.0745866522192955
3564,h2o_rich,known,0.07455404102802277
1067,clear_h2he,known,0.07451111823320389
3502,h2o_rich,known,0.07443897426128387
1253,clear_h2he,known,0.07441872358322144
2928,cloudy,known,0.07431092858314514
611,clear_h2he,known,0.07420162856578827
2702,cloudy,known,0.07418563216924667
2051,clear_h2he,known,0.07414670288562775
1969,clear_h2he,known,0.0741250216960907
669,clear_h2he,known,0.07410167157649994
4203,co2_dom,known,0.07404401153326035
2473,cloudy,known,0.07398272305727005
3882,h2o_rich,known,0.07394617795944214
5,clear_h2he,known,0.07390835881233215
4354,co2_dom,known,0.073908232152462
4177,co2_dom,known,0.07381022721529007
2020,clear_h2he,known,0.07374315708875656
4336,co2_dom,known,0.07363562285900116
2227,cloudy,known,0.07360611110925674
4986,exotic,anomalous,0.07360050082206726
743,clear_h2he,known,0.0735921859741211
2990,cloudy,known,0.07351408153772354
3095,cloudy,known,0.07334093749523163
3656,h2o_rich,known,0.07334086298942566
1935,clear_h2he,known,0.07326508313417435
3816,h2o_rich,known,0.07320951670408249
1096,clear_h2he,known,0.073208287358284
1938,clear_h2he,known,0.07319124788045883
111,clear_h2he,known,0.07310188561677933
393,clear_h2he,known,0.07307381927967072
3123,cloudy,known,0.07302764058113098
3047,cloudy,known,0.07301077246665955
1706,clear_h2he,known,0.07295755296945572
724,clear_h2he,known,0.07295480370521545
353,clear_h2he,known,0.07284845411777496
2117,clear_h2he,known,0.07282652705907822
4294,co2_dom,known,0.07279351353645325
3419,h2o_rich,known,0.07278087735176086
4755,biosignature,anomalous,0.07277840375900269
1970,clear_h2he,known,0.07277707010507584
92,clear_h2he,known,0.07274898886680603
799,clear_h2he,known,0.0727095976471901
1939,clear_h2he,known,0.07269849628210068
2686,cloudy,known,0.07269398868083954
1687,clear_h2he,known,0.07269379496574402
4146,co2_dom,known,0.07266387343406677
1272,clear_h2he,known,0.07263868302106857
324,clear_h2he,known,0.07254259288311005
1295,clear_h2he,known,0.07241587340831757
3248,h2o_rich,known,0.07235032320022583
1744,clear_h2he,known,0.07233434170484543
877,clear_h2he,known,0.07232295721769333
426,clear_h2he,known,0.07229319959878922
4106,co2_dom,known,0.07226544618606567
1227,clear_h2he,known,0.07215092331171036
4979,exotic,anomalous,0.07214885950088501
2038,clear_h2he,known,0.0721372589468956
3602,h2o_rich,known,0.07212253659963608
2335,cloudy,known,0.07200771570205688
3589,h2o_rich,known,0.07195816189050674
726,clear_h2he,known,0.07190314680337906
1400,clear_h2he,known,0.07189898192882538
729,clear_h2he,known,0.07189770042896271
638,clear_h2he,known,0.07189230620861053
2854,cloudy,known,0.07186512649059296
482,clear_h2he,known,0.07180356234312057
458,clear_h2he,known,0.07180246710777283
617,clear_h2he,known,0.07175786793231964
268,clear_h2he,known,0.07169361412525177
1940,clear_h2he,known,0.07168351858854294
3097,cloudy,known,0.07164141535758972
3951,h2o_rich,known,0.07152845710515976
191,clear_h2he,known,0.07142762094736099
182,clear_h2he,known,0.07141446322202682
3676,h2o_rich,known,0.0714038833975792
4930,unknown_absorber,anomalous,0.0713675394654274
1430,clear_h2he,known,0.07135305553674698
4442,co2_dom,known,0.07132519036531448
2166,clear_h2he,known,0.071306012570858
4908,unknown_absorber,anomalous,0.07129368931055069
