index,label,anomaly_type,obj_type,err_joint,err_spectral,err_photometry,anom_joint,anom_spectral,anom_photometry,joint_only,single_only
12,1,color_mismatch,starburst,0.2669272,0.023413876,0.026592223,1,0,0,1,0
16,1,cross_modal_break,starburst,0.1286817,0.021175075,0.029088432,1,0,0,1,0
19,1,color_mismatch,starburst,0.10735465,0.029187381,0.032482564,1,0,0,1,0
32,1,color_mismatch,spiral,0.14831908,0.026505679,0.008635501,1,0,0,1,0
33,1,color_mismatch,spiral,0.07553487,0.02464962,0.021935394,1,0,0,1,0
34,1,cross_modal_break,spiral,0.082991175,0.015688336,0.0050584185,1,0,0,1,0
37,1,cross_modal_break,spiral,0.060769007,0.016943622,0.022310732,1,0,0,1,0
40,1,cross_modal_break,spiral,0.11205733,0.016648475,0.0052490383,1,0,0,1,0
45,1,color_mismatch,agn,0.13142309,0.019645218,0.009733657,1,0,0,1,0
49,1,color_mismatch,elliptical,0.08920598,0.02465304,0.0009411361,1,0,0,1,0
57,1,color_mismatch,starburst,0.10687869,0.0090871435,0.001067005,1,0,0,1,0
58,1,color_mismatch,elliptical,0.122292176,0.02425177,0.0143849915,1,0,0,1,0
67,1,cross_modal_break,spiral,0.069102265,0.019960027,0.0145199215,1,0,0,1,0
68,1,color_mismatch,elliptical,0.08140189,0.013086253,0.011197733,1,0,0,1,0
71,1,cross_modal_break,spiral,0.079495035,0.017913446,0.016922174,1,0,0,1,0
72,1,color_mismatch,star,0.14575575,0.03542633,0.015226386,1,0,0,1,0
73,1,color_mismatch,elliptical,0.23443508,0.03453482,0.026581306,1,0,0,1,0
78,1,color_mismatch,starburst,0.14833517,0.02086974,0.006932247,1,0,0,1,0
89,1,cross_modal_break,spiral,0.056178056,0.0092563825,0.031229228,1,0,0,1,0
90,1,color_mismatch,elliptical,0.25107294,0.0070069665,0.0053287777,1,0,0,1,0
100,1,cross_modal_break,star,0.07454016,0.017272633,0.026449168,1,0,0,1,0
101,1,color_mismatch,starburst,0.25062928,0.034902856,0.0011975466,1,0,0,1,0
117,1,color_mismatch,agn,0.082235105,0.011423681,0.029468516,1,0,0,1,0
123,1,color_mismatch,spiral,0.09605268,0.030622829,0.02945586,1,0,0,1,0
125,1,cross_modal_break,spiral,0.09605469,0.020271322,0.008480739,1,0,0,1,0
135,1,color_mismatch,elliptical,0.28165936,0.012812679,0.0116101345,1,0,0,1,0
140,1,color_mismatch,spiral,0.11543059,0.017169427,0.023132157,1,0,0,1,0
144,1,color_mismatch,spiral,0.13158193,0.016982615,0.002726433,1,0,0,1,0
146,1,cross_modal_break,spiral,0.062953584,0.011794521,0.019429801,1,0,0,1,0
147,1,color_mismatch,spiral,0.14223258,0.02134205,0.014291792,1,0,0,1,0
148,1,cross_modal_break,spiral,0.059184577,0.011829041,0.009948764,1,0,0,1,0
150,1,color_mismatch,agn,0.12225113,0.015990218,0.003660831,1,0,0,1,0
151,1,color_mismatch,star,0.08505539,0.023643564,0.0020817718,1,0,0,1,0
154,1,color_mismatch,elliptical,0.1079248,0.017955337,0.02372109,1,0,0,1,0
155,1,color_mismatch,starburst,0.29124168,0.021497991,0.0038589195,1,0,0,1,0
159,1,color_mismatch,agn,0.25039807,0.015137418,0.0054502683,1,0,0,1,0
163,1,color_mismatch,elliptical,0.33576614,0.010169193,0.015609604,1,0,0,1,0
164,1,color_mismatch,starburst,0.12997949,0.021641577,0.01800571,1,0,0,1,0
166,1,color_mismatch,agn,0.09053807,0.017848374,0.0045875884,1,0,0,1,0
171,1,color_mismatch,spiral,0.14148556,0.013148693,0.011163502,1,0,0,1,0
180,1,color_mismatch,star,0.09190755,0.02999492,0.014656911,1,0,0,1,0
185,1,color_mismatch,starburst,0.111770295,0.00850006,0.025215829,1,0,0,1,0
187,1,color_mismatch,elliptical,0.20024365,0.007967121,0.017815603,1,0,0,1,0
194,1,cross_modal_break,elliptical,0.1160596,0.009141386,0.025132058,1,0,0,1,0
196,1,color_mismatch,starburst,0.09823574,0.014032269,0.012676996,1,0,0,1,0
198,1,color_mismatch,elliptical,0.077355355,0.0063662846,0.020405557,1,0,0,1,0
200,1,color_mismatch,agn,0.089928955,0.034285367,0.0026254635,1,0,0,1,0
202,1,cross_modal_break,spiral,0.08656893,0.011687946,0.007783774,1,0,0,1,0
