epoch,train_loss,train_acc,val_loss,val_acc
1,0.7835,0.6311,0.5095,0.702
2,0.4913,0.717,0.4919,0.694
3,0.4798,0.724,0.4975,0.692
4,0.4755,0.7215,0.4893,0.7195
5,0.473,0.7211,0.4868,0.7175
6,0.47,0.7245,0.4939,0.7055
7,0.4676,0.726,0.497,0.707
8,0.466,0.7348,0.4855,0.717
9,0.4553,0.7559,0.4907,0.72
10,0.4261,0.7839,0.5742,0.7055
11,0.3669,0.8201,0.5643,0.7055
12,0.2796,0.8632,0.7273,0.722
13,0.2125,0.8995,0.8639,0.7105
14,0.162,0.931,1.0733,0.7095
15,0.1151,0.9544,1.321,0.718
16,0.0707,0.9769,1.4126,0.7145
17,0.0385,0.9891,1.752,0.711
18,0.0195,0.9956,1.8663,0.7145
19,0.015,0.9965,1.9528,0.709
20,0.0101,0.9988,1.9793,0.72
21,0.0066,0.9989,2.0838,0.7205
22,0.0047,0.9991,2.1853,0.718
23,0.0038,0.9998,2.2335,0.7225
24,0.0035,0.9995,2.2714,0.714
25,0.0027,0.9998,2.2895,0.7195
26,0.0023,1.0,2.2965,0.7165
27,0.0027,0.9998,2.2974,0.716
28,0.0021,0.9999,2.3185,0.7145
29,0.0018,0.9999,2.3151,0.7165
30,0.0019,1.0,2.3551,0.717
