index,base_idx,type,amplitude,amp_multiplier,cx,cy,score,detected_99,detected_95
0,4712,gaussian_bump,0.027647,0.5,48,11,0.604298,False,False
1,2856,cold_spot,0.027647,0.5,46,18,0.655325,False,False
2,646,edge_feature,0.027647,0.5,32,32,0.486978,False,False
3,2822,edge_feature,0.027647,0.5,32,32,0.607888,False,False
4,2498,gaussian_bump,0.027647,0.5,27,12,0.711215,False,False
5,1272,gaussian_bump,0.027647,0.5,48,11,0.640311,False,False
6,4439,cold_spot,0.027647,0.5,41,35,0.625091,False,False
7,1049,cold_spot,0.027647,0.5,48,26,0.674996,False,False
8,2787,gaussian_bump,0.027647,0.5,33,34,0.587079,False,False
9,4938,gaussian_bump,0.027647,0.5,32,23,0.544873,False,False
10,1236,cold_spot,0.027647,0.5,19,40,0.545298,False,False
11,2805,gaussian_bump,0.027647,0.5,28,50,0.599358,False,False
12,3298,edge_feature,0.027647,0.5,32,32,0.601774,False,False
13,2479,cold_spot,0.027647,0.5,30,22,0.705978,False,False
14,127,edge_feature,0.027647,0.5,32,32,0.374292,False,False
15,3819,cold_spot,0.027647,0.5,31,20,0.596578,False,False
16,2836,cold_spot,0.027647,0.5,43,31,0.703545,False,False
17,3502,gaussian_bump,0.027647,0.5,19,21,0.609019,False,False
18,3611,cold_spot,0.027647,0.5,19,32,0.622591,False,False
19,1258,gaussian_bump,0.027647,0.5,32,29,0.508891,False,False
20,1575,cold_spot,0.027647,0.5,24,36,0.704395,False,False
21,4248,cold_spot,0.027647,0.5,49,17,0.539988,False,False
22,2846,edge_feature,0.027647,0.5,32,32,0.719319,False,False
23,4321,cold_spot,0.027647,0.5,20,31,0.665544,False,False
24,4701,cold_spot,0.027647,0.5,51,22,0.540329,False,False
25,4393,cold_spot,0.027647,0.5,40,17,0.602251,False,False
26,1795,edge_feature,0.027647,0.5,32,32,0.594376,False,False
27,3219,gaussian_bump,0.027647,0.5,11,11,0.626113,False,False
28,2652,cold_spot,0.027647,0.5,33,31,0.67878,False,False
29,3185,cold_spot,0.027647,0.5,43,51,0.609494,False,False
30,2605,gaussian_bump,0.027647,0.5,11,38,0.523659,False,False
31,2435,edge_feature,0.027647,0.5,32,32,0.638108,False,False
32,156,gaussian_bump,0.027647,0.5,27,11,0.568831,False,False
33,1560,cold_spot,0.027647,0.5,47,17,0.677078,False,False
34,2976,gaussian_bump,0.027647,0.5,37,42,0.507725,False,False
35,2185,cold_spot,0.027647,0.5,32,29,0.479782,False,False
36,846,gaussian_bump,0.027647,0.5,34,42,0.572031,False,False
37,1292,cold_spot,0.027647,0.5,22,14,0.631058,False,False
38,3919,edge_feature,0.027647,0.5,32,32,0.53105,False,False
39,3135,cold_spot,0.027647,0.5,39,23,0.551697,False,False
40,3736,gaussian_bump,0.027647,0.5,42,30,0.571876,False,False
41,4540,edge_feature,0.027647,0.5,32,32,0.568676,False,False
42,4118,gaussian_bump,0.027647,0.5,36,51,0.537894,False,False
43,2665,gaussian_bump,0.027647,0.5,38,39,0.584453,False,False
44,2496,edge_feature,0.027647,0.5,32,32,0.582192,False,False
45,3252,edge_feature,0.027647,0.5,32,32,0.640509,False,False
46,3120,cold_spot,0.027647,0.5,17,20,0.700931,False,False
47,4265,cold_spot,0.027647,0.5,20,37,0.582958,False,False
48,979,edge_feature,0.027647,0.5,32,32,0.537492,False,False
49,1673,gaussian_bump,0.027647,0.5,40,48,0.638497,False,False
50,4046,edge_feature,0.027647,0.5,32,32,0.674853,False,False
51,2454,edge_feature,0.027647,0.5,32,32,0.51098,False,False
52,3253,gaussian_bump,0.027647,0.5,18,11,0.606873,False,False
53,1661,gaussian_bump,0.027647,0.5,25,32,0.636105,False,False
54,1448,edge_feature,0.027647,0.5,32,32,0.639994,False,False
55,1640,gaussian_bump,0.027647,0.5,27,33,0.721514,False,True
56,3638,gaussian_bump,0.027647,0.5,28,42,0.66968,False,False
57,4904,edge_feature,0.027647,0.5,32,32,0.446615,False,False
58,631,gaussian_bump,0.027647,0.5,11,41,0.534013,False,False
59,1704,cold_spot,0.027647,0.5,27,44,0.693056,False,False
60,4799,edge_feature,0.027647,0.5,32,32,0.515441,False,False
61,1339,cold_spot,0.027647,0.5,15,21,0.623737,False,False
62,2833,gaussian_bump,0.027647,0.5,40,27,0.619708,False,False
63,4430,cold_spot,0.027647,0.5,50,25,0.660368,False,False
64,292,edge_feature,0.027647,0.5,32,32,0.42106,False,False
65,3206,gaussian_bump,0.027647,0.5,44,17,0.609626,False,False
66,490,gaussian_bump,0.027647,0.5,15,52,0.58039,False,False
67,1009,gaussian_bump,0.027647,0.5,29,39,0.638052,False,False
68,418,gaussian_bump,0.027647,0.5,40,47,0.723682,False,True
69,1036,gaussian_bump,0.027647,0.5,42,42,0.65421,False,False
70,2682,edge_feature,0.027647,0.5,32,32,0.46615,False,False
71,1344,edge_feature,0.027647,0.5,32,32,0.582348,False,False
72,4964,edge_feature,0.027647,0.5,32,32,0.46953,False,False
73,703,cold_spot,0.027647,0.5,40,38,0.576838,False,False
74,985,cold_spot,0.027647,0.5,28,28,0.601968,False,False
75,747,gaussian_bump,0.027647,0.5,45,14,0.565918,False,False
76,218,edge_feature,0.027647,0.5,32,32,0.509507,False,False
77,4632,edge_feature,0.027647,0.5,32,32,0.429757,False,False
78,3843,edge_feature,0.027647,0.5,32,32,0.47708,False,False
79,1469,gaussian_bump,0.027647,0.5,44,46,0.630175,False,False
80,374,gaussian_bump,0.027647,0.5,12,25,0.594318,False,False
81,191,cold_spot,0.027647,0.5,24,34,0.529601,False,False
82,4536,cold_spot,0.027647,0.5,20,18,0.616112,False,False
