idx,ra,dec,redshift,type,plate,mjd,fiberid,recon_error,error_sigma
39615,240.77175,28.04239,1.9781,qso,4966,56834,93,3.9816153,31.47887
10828,20.30825,11.04965,3.267,qso,8376,58704,272,3.376299,26.632874
40311,92.57427,22.89513,2.9053,qso,4579,56269,592,3.2953207,25.984585
1033,226.17469,5.94003,1.9898,qso,11224,56682,526,2.7399611,21.538528
33512,85.66416,36.88758,2.1952,qso,9710,57866,823,2.6292603,20.652287
12257,346.41404,35.52963,2.3236,qso,7615,57589,586,2.6001291,20.419071
28304,57.1196,-0.69382,2.783,qso,9506,57719,407,2.429414,19.052372
817,24.18667,19.98407,3.0547,qso,8563,56085,39,2.427148,19.034233
24592,220.91001,60.61768,2.0595,qso,11875,55175,570,2.372323,18.595318
45525,130.36206,39.86555,3.3916,qso,9206,56626,750,2.2633188,17.72266
42288,185.7107,-8.81027,2.5727,qso,5199,58467,687,2.2147734,17.334019
6577,356.54143,69.93352,3.4308,qso,4203,59383,369,2.196396,17.186895
46217,69.10692,-8.24213,3.2253,qso,9589,56217,613,2.031599,15.867576
16906,91.07375,16.43308,2.0766,qso,3918,57261,682,1.98638,15.505564
43226,97.36657,69.62071,3.1907,qso,11664,55043,511,1.9620304,15.310628
5988,293.40273,9.46759,1.5823,qso,4270,56050,374,1.9588746,15.285363
48371,4.40047,-2.08935,2.4169,qso,7461,55191,347,1.9511613,15.223613
347,46.10951,37.39364,2.7405,qso,9495,57865,277,1.9475887,15.195011
15323,145.2947,2.35592,2.3288,qso,8905,57311,196,1.9465077,15.1863575
6338,181.55897,5.69818,2.69,qso,4925,56580,367,1.941923,15.149653
2281,156.49314,44.6624,2.316,qso,3521,58081,205,1.9122791,14.912333
12448,157.61004,8.55346,2.1096,qso,8057,56740,168,1.8952212,14.775772
35957,220.29693,11.40051,2.5855,qso,11895,59287,848,1.8489531,14.405362
20531,102.14067,44.30018,2.796,qso,9017,58683,240,1.8427176,14.355443
25874,203.30062,9.3332,2.4401,qso,3812,55091,504,1.7984605,14.001132
48436,350.88306,-2.09352,3.1337,qso,7801,56283,353,1.7975804,13.994086
42432,156.11754,-7.36551,3.1225,qso,4074,56838,24,1.791413,13.944712
14982,216.66207,38.93631,2.3921,qso,4341,58681,7,1.7812289,13.863181
23574,32.01513,50.3425,2.3098,qso,10092,59168,22,1.767614,13.754184
909,168.60748,-0.52242,1.596,qso,8652,58624,227,1.7558929,13.660348
2236,218.58367,58.04691,2.7178,qso,6661,55454,792,1.7530867,13.637882
31660,11.62155,-5.06575,2.5718,qso,5496,56950,68,1.7201084,13.373867
