ra,dec,g,r,i,z,Y,type,g-r,r-i,i-z,z-Y,ae_error,iso_score,ensemble_score,known_variable_match,known_qso_match,known_galaxy_match,uncataloged
18.07893,-41.10085,17.482,13.0317,11.0681,8.1054,6.1046,anomaly,4.450299999999999,1.9636000000000013,2.9627,2.0008,0.53527886,0.06652293324205827,99954.0,False,False,False,True
41.40482,-57.73064,16.0244,11.6202,9.6567,8.1399,6.4158,anomaly,4.4041999999999994,1.9634999999999998,1.5168,1.7241000000000009,0.6066246,0.059427123322389086,99951.5,False,False,True,False
53.4388,-62.21705,16.2363,11.2945,7.7725,6.5515,6.0399,anomaly,4.941800000000001,3.5219999999999994,1.221,0.5115999999999996,0.43301335,0.09631259478601062,99943.0,False,True,True,False
60.60599,-38.24951,16.1832,12.9343,8.993,7.9091,6.946,anomaly,3.248899999999999,3.9413,1.0839000000000008,0.9630999999999998,0.54230475,0.05719637247139697,99940.5,False,False,False,True
71.54976,-31.81478,16.9276,11.9807,8.0395,6.8992,5.6825,anomaly,4.946900000000001,3.9412000000000003,1.1402999999999999,1.2167000000000003,0.44227985,0.0831237530790061,99939.0,False,True,False,False
30.3891,-49.89238,16.5702,12.4914,10.4861,7.655,6.0049,anomaly,4.078799999999999,2.0053,2.8311,1.6501000000000001,0.532025,0.05697988039692492,99936.5,False,False,False,True
41.90895,-56.55856,16.0553,12.8869,10.8402,9.2892,7.513,anomaly,3.1683999999999983,2.0467000000000013,1.5510000000000002,1.7761999999999993,0.75133944,0.04608601959330194,99923.5,True,False,False,False
7.86796,-35.22827,16.3313,11.9196,9.7524,7.0256,5.9676,anomaly,4.411699999999998,2.167200000000001,2.7268,1.0579999999999998,0.4636975,0.0575865483101784,99921.0,False,False,False,True
79.32582,-58.90757,16.1674,13.057,10.8391,8.0797,7.3428,anomaly,3.1104000000000003,2.2179,2.7593999999999994,0.7369000000000003,0.5490879,0.049251398806620994,99921.0,False,False,False,True
61.13866,-59.81346,16.8461,12.0483,9.9284,8.6077,6.8442,anomaly,4.7978000000000005,2.1198999999999995,1.3207000000000004,1.7634999999999996,0.51181686,0.0523253413273127,99919.0,True,False,False,False
50.88957,-48.55695,18.8716,13.969,10.0559,9.0332,7.1517,anomaly,4.902600000000001,3.9131,1.0226999999999986,1.8815000000000008,0.4771141,0.0519621446095937,99909.5,False,False,False,True
64.98763,-41.16206,16.4801,13.3094,11.0687,8.0736,6.4147,anomaly,3.1707,2.2407000000000004,2.995099999999999,1.658900000000001,0.4612065,0.05262143963476884,99907.5,False,False,True,False
27.64709,-59.43411,23.8481,20.8604,16.9112,14.5547,13.0655,anomaly,2.9877000000000002,3.9491999999999976,2.3565000000000005,1.4892000000000003,0.5007904,0.04748882042273306,99904.5,False,False,True,False
6.79332,-50.42967,16.3243,11.3523,9.0948,7.3783,5.8831,anomaly,4.972000000000001,2.2575000000000003,1.716499999999999,1.4952000000000005,0.3837746,0.06957578459724778,99893.5,False,False,False,True
8.24753,-33.46422,18.8621,14.0036,10.0697,9.0708,7.8831,anomaly,4.858500000000001,3.9339000000000013,0.998899999999999,1.1877000000000004,0.5184248,0.04299048311379483,99891.0,True,False,False,False
3.80222,-41.76374,16.3184,11.6095,7.5641,6.1183,4.7237,anomaly,4.7089,4.045400000000001,1.4458000000000002,1.3945999999999996,0.34276506,0.10276182028931935,99871.0,False,False,False,True
28.8573,-64.93594,16.6033,12.9353,10.836,8.1201,6.4226,anomaly,3.668000000000001,2.0992999999999995,2.7158999999999995,1.6975000000000007,0.4523291,0.042760130041540445,99869.0,True,False,False,False
2.37945,-37.71896,20.7059,15.7006,12.1588,9.1899,8.6839,anomaly,5.0053,3.5418000000000003,2.9688999999999997,0.5060000000000002,0.4031327,0.0503419499389528,99869.0,False,False,True,False
47.66631,-43.07882,16.2307,12.9325,10.6679,8.5037,6.4951,anomaly,3.2981999999999996,2.2645999999999997,2.1641999999999992,2.0086000000000004,0.42485872,0.04551865428012525,99867.5,False,False,False,True
43.81047,-34.73161,21.377,16.4122,12.4743,10.0715,8.67,anomaly,4.9648,3.937899999999999,2.402799999999999,1.4015000000000004,0.52113503,0.03704037130305926,99865.0,False,False,True,False
43.20205,-55.39524,16.0127,12.8414,9.3941,8.1964,7.5479,anomaly,3.1712999999999987,3.4473000000000003,1.1976999999999993,0.6485000000000003,0.4153408,0.045739292414551325,99861.5,False,False,False,True
89.49026,-62.90301,18.3042,13.4958,11.4039,8.8743,7.1543,anomaly,4.8084000000000024,2.091899999999999,2.5296000000000003,1.7199999999999998,0.47173935,0.03802280957528603,99859.0,False,False,False,True
76.59521,-57.5288,23.9702,19.1507,15.7475,13.3344,12.8418,anomaly,4.819499999999998,3.4032,2.4131,0.49260000000000126,0.5284518,0.0355104224086642,99857.5,False,False,False,True
26.48379,-33.34278,16.6451,11.6742,9.31,7.0968,5.2242,anomaly,4.9708999999999985,2.3642000000000003,2.2132000000000005,1.8726000000000003,0.34544677,0.0739367197560451,99857.5,False,True,False,False
40.29724,-59.93196,16.4159,13.3616,9.4676,6.7121,5.9295,anomaly,3.0543000000000013,3.894,2.7554999999999987,0.7826000000000004,0.3567926,0.0618969744975284,99856.5,False,False,True,False
43.15914,-55.77597,16.5214,12.2506,10.2072,8.5507,6.8476,anomaly,4.2707999999999995,2.0434,1.6564999999999994,1.703100000000001,0.46134165,0.037543710476712566,99853.0,True,False,False,False
21.88282,-58.20988,18.8922,15.8029,11.8361,9.254,7.6968,anomaly,3.0892999999999997,3.966799999999999,2.5821000000000005,1.5572,0.4485146,0.03830637453053909,99852.5,False,False,False,True
70.12231,-33.02635,19.632,14.6202,10.9981,8.2583,6.4558,anomaly,5.011800000000001,3.6220999999999997,2.7398000000000007,1.8025000000000002,0.37500504,0.051846365828319696,99852.0,False,False,True,False
23.47715,-63.91934,16.289,11.6235,9.5091,6.9647,6.3827,anomaly,4.6655000000000015,2.1144,2.5444000000000004,0.5819999999999999,0.3384038,0.07645581758619913,99851.5,False,False,False,True
15.13937,-42.09808,21.813,17.5553,13.4996,11.6659,9.6961,anomaly,4.2577,4.0557,1.8336999999999986,1.969800000000001,0.49817276,0.03565478639564079,99851.5,False,False,False,True
16.97307,-32.4383,17.1448,12.242,8.3318,6.6044,5.0973,anomaly,4.902799999999999,3.9102000000000015,1.7273999999999994,1.5071000000000003,0.34487045,0.06749829510413163,99850.5,False,False,False,True
56.96417,-60.26801,16.8572,13.44,9.4113,6.5907,5.7208,anomaly,3.4171999999999993,4.028699999999999,2.8206000000000007,0.8699000000000003,0.3505187,0.058722772903131326,99844.5,False,False,False,True
64.57405,-61.32151,18.7577,14.124,10.0834,8.8061,7.8997,anomaly,4.633699999999999,4.040600000000001,1.2772999999999985,0.9064000000000005,0.5748784,0.03190289040817107,99844.0,False,False,False,True
2.92785,-38.10271,16.0785,11.1427,7.3307,5.7491,5.0434,anomaly,4.935799999999999,3.8119999999999994,1.5816,0.7057000000000002,0.31687966,0.10643392648789751,99843.5,False,True,False,False
31.98986,-44.83366,16.9243,13.6461,11.4439,8.9455,6.9656,anomaly,3.2781999999999982,2.2022000000000013,2.4984,1.9798999999999989,0.4175929,0.039592914021325365,99843.0,False,False,False,True
23.47371,-60.83061,21.9943,17.2501,13.2626,11.6619,11.0561,anomaly,4.744199999999999,3.987499999999999,1.6007000000000016,0.6057999999999986,0.7693138,0.02930041901018854,99842.0,False,False,False,True
76.17835,-36.15777,22.657,17.7401,13.8958,11.1695,10.1026,anomaly,4.916899999999998,3.8443000000000023,2.7263,1.0668999999999986,0.47789016,0.03403907404355877,99838.0,False,False,False,True
30.35968,-56.43604,23.7373,18.7918,16.6393,13.7403,12.7405,anomaly,4.945500000000003,2.1525,2.898999999999999,0.9997999999999987,0.53271484,0.031890609553467786,99836.0,False,True,False,False
56.95236,-61.50868,16.2459,16.6334,13.6641,14.6781,13.8533,anomaly,-0.38750000000000284,2.9693000000000023,-1.0140000000000011,0.8247999999999998,0.57881707,0.030037414244985627,99835.5,False,False,False,True
4.50799,-36.59426,23.4442,18.4801,14.7285,12.0856,10.9323,anomaly,4.964099999999998,3.7516,2.642900000000001,1.1532999999999998,0.45595038,0.0349060413152491,99834.5,False,True,True,False
67.11329,-64.07419,19.2151,14.5884,10.7034,9.1647,8.6166,anomaly,4.6267,3.885,1.5387000000000004,0.5480999999999998,0.6199743,0.029078948918215608,99833.5,False,True,False,False
22.54947,-47.10828,23.1538,19.8372,15.8109,12.9313,11.6695,anomaly,3.316600000000001,4.026299999999999,2.8796,1.261800000000001,0.40867412,0.03924176868813378,99832.5,False,False,True,False
34.10228,-30.8862,16.6002,11.6155,7.7051,5.0666,4.4181,anomaly,4.9847,3.910400000000001,2.6384999999999996,0.6485000000000003,0.30283302,0.11550111700344257,99827.0,False,False,False,True
13.78709,-49.36068,23.1881,19.6043,15.7951,12.9168,10.9993,anomaly,3.5838,3.809199999999999,2.8782999999999994,1.9175000000000004,0.36697885,0.045983933101488184,99826.0,False,False,False,True
5.58764,-53.27084,22.7838,18.8744,14.9145,12.0521,11.3825,anomaly,3.909399999999998,3.959900000000001,2.862400000000001,0.6695999999999991,0.49385643,0.0318097164507134,99824.5,False,False,False,True
23.91845,-58.31606,16.1847,12.9986,10.8821,9.5396,7.8414,anomaly,3.1860999999999997,2.1165000000000003,1.3424999999999994,1.6982,0.5050027,0.030623816055464492,99824.0,False,False,False,True
73.89749,-39.56545,17.9527,14.7353,12.5735,9.6029,8.87,anomaly,3.2173999999999996,2.1618000000000013,2.9705999999999992,0.7329000000000008,0.41032636,0.03674532864769775,99819.5,False,False,True,False
58.46932,-62.92975,17.0251,13.743,9.776,7.0154,5.6281,anomaly,3.282099999999998,3.9670000000000005,2.7606,1.3872999999999998,0.34859243,0.049221883465429106,99818.0,False,False,True,False
86.76069,-55.96148,19.4773,15.6018,11.626,10.0086,9.566,anomaly,3.875499999999999,3.9758000000000013,1.6174,0.44259999999999877,0.7076781,0.025707454268923735,99817.0,False,False,False,True
67.3309,-54.18397,17.4151,12.6774,10.6724,8.6272,7.5797,anomaly,4.7376999999999985,2.005000000000001,2.0451999999999995,1.0475000000000003,0.58051586,0.02646630665336991,99815.0,False,False,False,True
10.7434,-60.25132,19.0459,14.105,11.7841,8.9382,7.2801,anomaly,4.940899999999999,2.3209,2.8459000000000003,1.6581000000000001,0.36896476,0.04238524065684879,99813.5,False,False,False,True
2.49263,-56.26917,16.3003,12.2573,9.9347,7.0003,6.0303,anomaly,4.042999999999999,2.3226000000000013,2.9343999999999992,0.9699999999999998,0.33213264,0.0529191723163559,99812.0,False,False,False,True
79.9445,-48.90203,21.4172,16.4179,14.3985,11.716,10.6087,anomaly,4.999300000000002,2.019399999999999,2.682500000000001,1.1072999999999986,0.6113737,0.025735172009164642,99811.0,False,False,False,True
68.76875,-51.21459,16.4907,12.2231,10.0986,8.0165,7.1314,anomaly,4.2676,2.124500000000001,2.0820999999999987,0.8851000000000004,0.4269069,0.03269963297940626,99809.0,False,True,False,False
89.09375,-53.15205,19.5476,16.5042,12.6203,10.4992,8.5499,anomaly,3.0433999999999983,3.8839000000000006,2.1211,1.949300000000001,0.48137337,0.028451304069821326,99805.5,False,False,False,True
19.34334,-46.57815,19.5942,16.5704,12.6209,9.9382,8.5756,anomaly,3.0238000000000014,3.9494999999999987,2.6827000000000005,1.3626000000000005,0.4398392,0.030847924075654287,99803.0,False,False,False,True
74.01492,-64.07818,23.8403,20.3332,18.2892,15.8431,13.8449,anomaly,3.5070999999999977,2.0440000000000005,2.4461000000000013,1.9981999999999989,0.33903393,0.04732445331873303,99802.5,False,False,False,True
