ra,dec,total_flux_144,peak_flux_144,compactness,angular_size,spectral_index_nvss,spectral_index_first,type,log_total_flux,log_angular_size,recon_error,error_sigma,radio_class,is_uss,panstarrs_match,wise_match,optical_id,no_optical_counterpart
221.13013,34.21307,1032.6007,932.9578,0.8527,1.295,0.764,0.402,anomaly,3.013932415119527,0.11226976841727061,3.1018245,23.165651,gps_candidate,False,False,False,False,True
130.48428,37.28347,952.9201,986.5268,0.9587,3.829,1.945,0.307,anomaly,2.979056487643758,0.5830853663476876,2.9746764,22.199759,gps_candidate,False,False,True,True,False
145.49839,40.09869,874.3745,964.493,0.9951,2.277,0.9,0.369,anomaly,2.9416974834901666,0.3573630306151428,2.806862,20.92494,gps_candidate,False,True,True,True,False
202.71281,56.25568,998.5229,830.9157,0.8836,2.538,1.741,-0.47,anomaly,2.9993580293765683,0.4044916177586859,2.711861,20.203255,gps_candidate,False,False,False,False,True
240.3223,49.77207,1000.9414,925.2901,0.9243,1.893,0.536,0.214,anomaly,3.0004086525026965,0.27715061396379675,2.6540146,19.763819,gps_candidate,False,True,True,True,False
220.8842,49.84831,998.5212,881.5259,0.8868,1.524,0.801,0.152,anomaly,2.9993572899831626,0.1829849670035817,2.5298562,18.820637,gps_candidate,False,False,True,True,False
174.66432,42.14906,1023.2161,978.4148,0.9848,3.339,1.547,0.359,anomaly,3.0099673650184364,0.5236164190543707,2.5234976,18.772333,gps_candidate,False,True,True,True,False
126.51769,29.77244,1025.2977,818.7712,0.9063,3.558,1.963,0.252,anomaly,3.0108499831435234,0.5512059437479062,2.4660876,18.336212,gps_candidate,False,True,True,True,False
210.74655,24.74472,977.0987,886.6337,0.9506,1.498,1.222,0.223,anomaly,2.9899384354693663,0.17551181336344768,2.4617424,18.303204,gps_candidate,False,True,True,True,False
237.69846,60.45997,970.4175,986.3288,0.9918,2.38,1.51,0.013,anomaly,2.9869586197679396,0.37657695705651195,2.4543862,18.247322,gps_candidate,False,True,False,True,False
200.75602,20.15915,992.1699,911.0212,0.8648,2.542,1.82,-0.145,anomaly,2.996586047471187,0.40517554621798935,2.4018579,17.848286,gps_candidate,False,True,False,True,False
204.30724,32.22047,974.1446,887.7052,0.8715,1.855,1.509,-0.406,anomaly,2.988623427434034,0.26834391395106466,2.3767204,17.657326,gps_candidate,False,True,False,True,False
235.90332,46.19322,848.6116,920.656,0.9963,2.239,1.265,0.363,anomaly,2.928708964010326,0.3500540935790302,2.3318942,17.3168,gps_candidate,False,True,True,True,False
202.51301,44.64009,997.1723,852.1059,0.8318,3.363,1.673,0.46,anomaly,2.9987702059285724,0.5267268673146356,2.3081174,17.136177,gps_candidate,False,True,False,True,False
223.89272,46.12418,988.4963,871.4367,0.8787,2.993,1.475,0.102,anomaly,2.994975048062852,0.4761067168401914,2.3012798,17.084234,gps_candidate,False,False,False,False,True
168.40752,24.98777,848.5849,938.1522,0.9651,1.873,1.498,-0.433,anomaly,2.928695299519894,0.2725377773752374,2.265583,16.81306,gps_candidate,False,True,True,True,False
139.85982,21.3706,927.8315,753.7753,0.9003,3.056,1.911,-0.138,anomaly,2.9674691127871315,0.48515334990365233,2.2520208,16.710033,gps_candidate,False,False,False,False,True
162.83259,29.99446,900.1189,808.0462,0.8487,1.491,0.652,0.189,anomaly,2.9542998807762664,0.17347764345299457,2.2256305,16.509556,gps_candidate,False,True,False,True,False
140.38604,34.49625,988.957,929.5791,0.895,3.511,1.506,-0.297,anomaly,2.9951774088179026,0.5454308294653513,2.213638,16.418455,gps_candidate,False,False,False,False,True
166.0137,57.40528,961.0146,901.2021,0.9745,2.249,0.651,0.065,anomaly,2.982729985640731,0.3519894554356322,2.2134407,16.416956,gps_candidate,False,True,False,True,False
174.26407,31.90758,919.8634,789.3309,0.9301,1.06,1.33,-0.306,anomaly,2.96372333926852,0.02530586526477026,2.204983,16.352705,gps_candidate,False,True,True,True,False
169.79508,43.72403,978.8185,720.5745,0.8186,2.503,1.958,0.431,anomaly,2.9907021690696043,0.39846084960822326,2.1931493,16.26281,gps_candidate,False,True,False,True,False
163.07266,51.09418,948.0131,845.4153,0.8899,1.0,1.098,-0.363,anomaly,2.9768143386233032,0.0,2.1927848,16.26004,gps_candidate,False,False,True,True,False
223.36506,25.39135,989.7142,779.5635,0.8782,2.237,1.473,-0.058,anomaly,2.995509801382923,0.3496659840966297,2.1734214,16.112944,gps_candidate,False,False,False,False,True
183.9593,25.40164,918.3464,825.6426,0.9015,1.379,1.647,-0.088,anomaly,2.963006527859276,0.13956426617584977,2.16762,16.068872,gps_candidate,False,False,False,False,True
130.48689,61.27599,926.1721,940.4256,0.9362,1.662,1.592,-0.119,anomaly,2.96669169417186,0.22063101944809216,2.162836,16.032532,gps_candidate,False,False,False,False,True
143.74443,53.72309,858.242,779.171,0.9011,2.976,0.611,0.375,anomaly,2.933609763892663,0.47363292687384106,2.1300616,15.783558,gps_candidate,False,True,False,True,False
142.15124,55.12803,929.93,852.9255,0.8819,1.917,1.448,-0.172,anomaly,2.968450258491677,0.2826221128780626,2.1223972,15.725334,gps_candidate,False,False,False,False,True
148.02401,40.46052,946.0041,847.6415,0.8836,2.815,1.188,-0.434,anomaly,2.9758930186465253,0.44947839918736504,2.1036007,15.582545,gps_candidate,False,False,False,False,True
223.29556,51.03103,883.6834,954.0004,0.9961,3.077,1.315,-0.416,anomaly,2.9462966968446547,0.48812749624745844,2.1030507,15.578366,gps_candidate,False,True,False,True,False
240.39161,59.44968,957.9837,878.6132,0.9656,3.547,1.198,-0.072,anomaly,2.9813581196628043,0.5498611884719428,2.0973594,15.535132,gps_candidate,False,True,True,True,False
224.13918,62.69716,935.6922,881.7421,0.923,2.795,1.944,-0.027,anomaly,2.971133009180688,0.4463818122224421,2.0890315,15.4718685,gps_candidate,False,True,False,True,False
225.53867,21.58248,920.8005,777.4971,0.8934,3.776,1.461,-0.297,anomaly,2.964165546446216,0.5770319856260313,2.0576732,15.233652,gps_candidate,False,False,False,False,True
197.0893,36.98877,820.5333,628.6766,0.8224,2.423,1.822,-0.388,anomaly,2.914096210876967,0.38435341413750623,2.0535161,15.202072,gps_candidate,False,True,True,True,False
135.75285,56.21859,923.2476,780.3197,0.9271,3.819,1.55,-0.156,anomaly,2.965318187367575,0.5819496583733178,2.040278,15.101507,gps_candidate,False,True,False,True,False
239.78562,39.06992,915.0828,785.2017,0.8619,2.581,1.725,0.005,anomaly,2.961460392379209,0.4117880045438689,2.038524,15.088182,gps_candidate,False,False,False,False,True
152.4775,32.56144,831.0965,880.1461,0.9735,1.774,1.948,-0.2,anomaly,2.919651453368134,0.2489536154957076,2.0368986,15.075836,gps_candidate,False,True,True,True,False
205.70623,36.69298,903.6138,814.9254,0.9056,3.559,1.351,-0.45,anomaly,2.955982854849128,0.551327988003846,2.035236,15.063205,gps_candidate,False,False,False,False,True
131.34028,58.0477,935.7491,953.0022,0.8545,3.005,1.22,-0.13,anomaly,2.971159418083845,0.4778444763387583,2.0283356,15.010786,gps_candidate,False,False,True,True,False
177.70843,31.94738,944.4819,834.2379,0.9218,3.804,0.983,-0.309,anomaly,2.9751936395416605,0.5802405082653763,2.0241973,14.979349,gps_candidate,False,False,False,False,True
134.83743,59.69789,871.6156,780.1665,0.8851,2.467,0.622,0.189,anomaly,2.940324994558716,0.392169149489736,2.018099,14.933023,gps_candidate,False,False,False,False,True
198.52331,41.31237,948.7659,927.026,0.9369,1.164,1.051,-0.325,anomaly,2.977159067137424,0.06595298031386965,2.0139594,14.901576,gps_candidate,False,True,True,True,False
130.12427,20.89198,941.206,793.6026,0.8944,2.587,0.506,0.105,anomaly,2.973684687053267,0.41279642871654343,2.0085702,14.860636,gps_candidate,False,False,False,False,True
182.63008,25.43498,986.8251,780.0338,0.8064,1.525,0.951,0.16,anomaly,2.9942401872839155,0.1832698436828046,2.0045319,14.829959,gps_candidate,False,False,False,False,True
248.69097,35.23307,882.178,764.635,0.9139,3.835,1.544,-0.348,anomaly,2.9455562230210135,0.5837653682849998,1.9771128,14.621667,gps_candidate,False,True,True,True,False
154.19519,40.04697,888.5532,873.7742,0.9739,3.149,1.593,0.409,anomaly,2.948683435264293,0.4981726606365439,1.9723895,14.585786,gps_candidate,False,False,False,False,True
243.87982,34.43127,1048.2298,535.2261,0.4295,43.141,-0.982,-0.951,resolved_agn,3.02045650204812,1.634890207744932,1.9437109,14.367927,unclassified_anomaly,False,True,True,True,False
215.39412,36.28242,796.0128,682.8205,0.8994,1.364,1.58,-0.497,anomaly,2.9009200513113798,0.13481437032046015,1.9412578,14.349291,gps_candidate,False,False,False,False,True
240.18025,44.60219,880.7869,788.1529,0.9102,1.184,0.534,0.018,anomaly,2.9448708467220728,0.07335170238690095,1.92506,14.226243,gps_candidate,False,True,False,True,False
243.79949,45.2907,929.8622,899.6423,0.9506,2.388,1.339,-0.39,anomaly,2.9684185934853544,0.3780343224573315,1.9172834,14.167167,gps_candidate,False,True,True,True,False
157.63757,60.19946,905.0042,787.2025,0.8673,3.399,1.274,0.271,anomaly,2.9566505947108292,0.5313511645830596,1.9161997,14.158935,gps_candidate,False,False,True,True,False
173.32539,59.12481,897.8785,774.7004,0.9666,1.763,0.661,0.076,anomaly,2.9532175723582137,0.24625231229932198,1.9010397,14.04377,gps_candidate,False,False,False,False,True
208.11729,38.74024,723.9065,822.1176,0.9695,1.903,1.918,-0.029,anomaly,2.8596824762022277,0.27943878828702046,1.9000744,14.036437,gps_candidate,False,False,False,False,True
200.11981,58.51851,831.3957,739.8302,0.9828,1.176,1.472,-0.28,anomaly,2.9198077739937447,0.07040732174011965,1.8917716,13.973364,gps_candidate,False,True,False,True,False
135.63393,51.50516,920.6,808.023,0.8562,2.674,0.727,-0.368,anomaly,2.9640709705579553,0.42716140292596555,1.8851981,13.923428,gps_candidate,False,True,False,True,False
136.21696,32.24224,848.141,793.6241,0.9673,1.413,0.601,0.124,anomaly,2.928468057954341,0.1501421618485586,1.8787352,13.874331,gps_candidate,False,False,True,True,False
154.05817,40.03648,865.4683,833.143,0.804,1.873,1.962,-0.217,anomaly,2.937251165351561,0.2725377773752374,1.8751947,13.847436,gps_candidate,False,True,True,True,False
132.85318,24.82581,937.0272,865.6992,0.9352,3.287,0.836,-0.316,anomaly,2.9717521977591286,0.5167997040816243,1.8580841,13.717453,gps_candidate,False,False,True,True,False
191.56479,24.06319,954.1568,713.495,0.816,3.945,0.635,-0.301,anomaly,2.979619749734612,0.596047007545439,1.8322589,13.52127,gps_candidate,False,False,True,True,False
139.64989,23.73542,873.2441,802.8843,0.8945,2.925,1.467,-0.207,anomaly,2.941135660045614,0.46612587041819925,1.8308716,13.510731,gps_candidate,False,False,True,True,False
156.63538,60.15228,767.0051,731.2426,0.9465,1.406,0.764,0.483,anomaly,2.884798251686261,0.14798532068380513,1.8269722,13.48111,gps_candidate,False,False,False,False,True
201.00849,55.95856,922.6035,680.8,0.8169,1.382,0.988,-0.101,anomaly,2.965015097820268,0.14050804303817957,1.8212035,13.437286,gps_candidate,False,False,True,True,False
198.607,41.10993,884.783,829.5797,0.8816,2.231,0.603,-0.107,anomaly,2.946836769614873,0.3484995702838377,1.8198568,13.427055,gps_candidate,False,True,False,True,False
199.93199,40.14569,835.1573,749.1316,0.9076,1.507,1.437,0.383,anomaly,2.921768281577202,0.1781132523146318,1.8021188,13.292307,gps_candidate,False,True,False,True,False
222.65791,29.39125,916.3462,728.0086,0.8644,1.349,1.113,0.171,anomaly,2.9620595832137693,0.13001194967190424,1.7790258,13.116879,gps_candidate,False,True,False,True,False
175.99975,58.36647,859.7945,680.1103,0.8339,2.013,1.395,-0.038,anomaly,2.93439466266132,0.3038437748886545,1.772858,13.070025,gps_candidate,False,True,False,True,False
208.42566,34.51398,894.3941,932.9874,0.9858,1.946,0.894,-0.253,anomaly,2.9515289256654533,0.2891428359323331,1.7594718,12.968335,gps_candidate,False,False,False,False,True
234.6583,40.08738,743.208,762.9733,0.9795,1.072,0.767,0.32,anomaly,2.8711103758202947,0.03019478535675124,1.7590277,12.964962,gps_candidate,False,False,True,True,False
199.27238,62.39067,781.102,782.988,0.9558,2.309,1.259,0.498,anomaly,2.892707749811621,0.3634239329171764,1.7516378,12.908824,gps_candidate,False,False,True,True,False
162.51315,51.72172,720.7937,516.5134,0.8395,1.617,1.69,-0.338,anomaly,2.8578109820953226,0.20871001990640115,1.7494671,12.892334,gps_candidate,False,True,True,True,False
124.0033,54.14588,841.9135,675.6471,0.8763,1.122,1.994,0.48,anomaly,2.925267473444485,0.049992856920142645,1.7477415,12.879225,gps_candidate,False,False,False,False,True
190.61527,22.20735,880.8526,730.6562,0.9803,3.324,0.97,0.247,anomaly,2.9449032405773132,0.5216610151120734,1.7096924,12.59018,gps_candidate,False,False,True,True,False
163.26612,51.60813,1107.0054,459.1468,0.4827,40.214,-0.865,-0.842,resolved_agn,3.0441497393832235,1.6043772735885633,1.7080842,12.577965,unclassified_anomaly,False,False,False,False,True
177.02518,39.79084,861.8849,720.8122,0.957,2.235,0.877,0.381,anomaly,2.935449272051531,0.34927752746795526,1.6997194,12.5144205,gps_candidate,False,True,True,True,False
172.278,59.31929,900.4164,749.4442,0.8724,3.05,0.638,-0.18,anomaly,2.954443396551316,0.48429983934678583,1.6963838,12.489081,gps_candidate,False,False,False,False,True
241.05677,21.11426,819.5418,707.4802,0.9047,3.932,1.582,-0.272,anomaly,2.9135711092748937,0.594613509160098,1.6854899,12.406324,gps_candidate,False,False,True,True,False
228.02188,64.31438,841.8702,859.4074,0.943,3.425,1.778,0.14,anomaly,2.925245136904381,0.5346605758284444,1.6699905,12.288582,gps_candidate,False,True,True,True,False
138.11997,44.19304,810.9061,745.1375,0.85,1.853,1.266,-0.243,anomaly,2.908970567388884,0.2678754193188976,1.6594692,12.208656,gps_candidate,False,False,True,True,False
224.48373,45.02879,800.5391,863.5865,0.9953,2.784,0.905,0.031,anomaly,2.9033825486220195,0.44466923093852445,1.6393462,12.05579,gps_candidate,False,True,False,True,False
175.10687,32.77581,1060.0103,511.219,0.4827,105.436,-0.604,-0.747,resolved_agn,3.025310085275554,2.022988921425964,1.6347682,12.021012,unclassified_anomaly,False,True,True,True,False
169.13932,43.7269,892.1026,694.6011,0.8721,2.138,0.535,-0.183,anomaly,2.9504148051064143,0.3300077008727592,1.625153,11.9479685,gps_candidate,False,True,True,True,False
188.967,47.93672,822.3955,854.4005,0.9705,2.891,1.719,0.083,anomaly,2.9150807252765465,0.46104809167065786,1.622934,11.931112,gps_candidate,False,True,True,True,False
158.90493,61.3036,870.2757,705.8352,0.8791,1.014,0.564,-0.123,anomaly,2.939656857240303,0.006037954997317176,1.6180182,11.893768,gps_candidate,False,False,False,False,True
187.08179,44.12997,999.7406,488.4163,0.4748,27.861,-0.868,-0.899,resolved_agn,2.999887329397385,1.4449967002676956,1.6088191,11.823887,unclassified_anomaly,False,True,False,True,False
244.86121,60.73661,818.5389,714.9995,0.9103,2.715,1.782,0.386,anomaly,2.9130393235206,0.43376983392486573,1.6055998,11.799431,gps_candidate,False,False,True,True,False
162.8985,53.93887,802.3462,731.9617,0.9244,3.476,0.703,0.049,anomaly,2.904361800089055,0.5410797677766288,1.6006422,11.76177,gps_candidate,False,False,True,True,False
179.99243,33.46926,789.1895,719.4015,0.8829,1.719,1.462,0.357,anomaly,2.8971812984220247,0.23527587668705244,1.5896392,11.6781845,gps_candidate,False,True,False,True,False
184.3346,37.80511,813.5447,665.8015,0.9198,2.94,1.93,0.072,anomaly,2.910381420124766,0.46834733041215726,1.5874755,11.661749,gps_candidate,False,True,False,True,False
229.00743,37.54636,807.9176,690.3049,0.8842,1.834,1.058,0.158,anomaly,2.9073670690788465,0.2633993313340023,1.578556,11.59399,gps_candidate,False,False,True,True,False
176.62265,56.12465,846.5184,791.8978,0.9489,1.703,0.769,-0.35,anomaly,2.9276364024114274,0.23121464796260105,1.5785481,11.59393,gps_candidate,False,False,False,False,True
133.6246,20.68486,794.6915,673.9406,0.9332,3.102,1.764,-0.101,anomaly,2.9001985678390425,0.49164179347758613,1.5739224,11.558791,gps_candidate,False,False,True,True,False
209.35252,47.14627,785.9741,737.8137,0.8747,1.492,1.08,0.005,anomaly,2.895408235082144,0.17376882313664999,1.5720968,11.544923,gps_candidate,False,False,True,True,False
204.66882,58.73946,859.8167,907.094,0.9901,2.569,0.944,-0.362,anomaly,2.934405876053625,0.4097641042663462,1.5645936,11.487924,gps_candidate,False,True,False,True,False
222.67083,44.96756,858.9071,731.405,0.9448,2.694,0.525,-0.217,anomaly,2.9339461927727863,0.4303975913869668,1.56016,11.454244,gps_candidate,False,False,False,False,True
154.2607,39.7599,816.9605,843.4502,0.9742,1.516,0.966,-0.195,anomaly,2.912201058923185,0.18069920129603473,1.5534077,11.402948,gps_candidate,False,True,True,True,False
238.11871,33.01205,760.3051,658.4032,0.8588,1.494,0.846,-0.481,anomaly,2.880987903671587,0.17435059747937998,1.5479927,11.361814,gps_candidate,False,False,False,False,True
122.65759,64.18762,891.815,713.2828,0.9504,3.596,0.507,0.269,anomaly,2.950274772748331,0.5558196830611911,1.5383654,11.288678,gps_candidate,False,True,True,True,False
195.13861,61.97148,837.6184,687.9111,0.9429,2.391,0.955,0.185,anomaly,2.9230462089414364,0.3785795761157748,1.5329711,11.247701,gps_candidate,False,False,False,False,True
183.56853,44.38966,754.3885,819.7395,0.9156,3.102,0.826,-0.004,anomaly,2.8775950593360995,0.49164179347758613,1.527065,11.202834,gps_candidate,False,False,True,True,False
244.51241,20.13352,977.3248,504.7857,0.4931,42.111,-0.825,-0.701,resolved_agn,2.9900389193028816,1.624395554631505,1.5268285,11.201037,unclassified_anomaly,False,False,True,True,False
245.04269,25.15361,772.9822,726.689,0.9152,1.763,0.973,0.048,anomaly,2.8881694932316697,0.24625231229932198,1.5255368,11.191224,gps_candidate,False,True,False,True,False
134.66701,23.92221,770.7736,733.9403,0.9749,2.23,1.952,-0.177,anomaly,2.8869268310863316,0.34830486304816066,1.516244,11.120631,gps_candidate,False,True,False,True,False
245.18337,47.21885,766.6948,717.1666,0.9009,1.121,1.353,0.008,anomaly,2.8846225177247824,0.04960561259497315,1.5156685,11.11626,gps_candidate,False,True,False,True,False
218.23936,56.29713,816.6196,688.9084,0.8414,3.651,0.752,-0.009,anomaly,2.912019799380381,0.5624118329497274,1.5101198,11.074108,gps_candidate,False,False,True,True,False
228.64386,56.6235,1022.0166,467.8716,0.4907,53.124,-0.738,-0.767,resolved_agn,3.009457949839644,1.7252907680264729,1.5097202,11.071073,unclassified_anomaly,False,True,False,True,False
161.88788,61.95007,812.3237,766.2374,0.9772,3.566,1.087,-0.114,anomaly,2.909729124204517,0.5521813388393357,1.5084363,11.061319,gps_candidate,False,True,False,True,False
192.10932,45.049,832.6151,767.2186,0.9851,2.32,0.692,-0.329,anomaly,2.9204442828265345,0.3654879848908996,1.5017551,11.010565,gps_candidate,False,False,False,False,True
234.25622,51.38838,818.7237,608.4235,0.8555,2.763,1.598,0.211,anomaly,2.9131373623087535,0.44138088491651134,1.5011246,11.005775,gps_candidate,False,False,False,False,True
211.84051,60.4808,799.8237,778.1658,0.9182,2.462,1.046,-0.076,anomaly,2.9029942687981585,0.39128804859529753,1.4953439,10.961862,gps_candidate,False,False,True,True,False
219.54835,53.04034,815.3567,705.8238,0.8237,3.315,1.047,0.493,anomaly,2.911347644263082,0.520483532740792,1.4823164,10.862896,gps_candidate,False,False,True,True,False
147.45304,34.81112,713.3045,673.4839,0.9419,2.642,0.795,0.425,anomaly,2.853274963848251,0.4219328132785084,1.4579425,10.677738,gps_candidate,False,False,False,False,True
189.77937,41.48542,1019.4994,456.67,0.4668,89.794,-0.943,-1.013,resolved_agn,3.008386974521451,1.9532473182491792,1.4566051,10.667578,unclassified_anomaly,False,True,False,True,False
191.14752,20.38751,852.4184,672.0333,0.8259,1.87,0.658,0.038,anomaly,2.930652815669359,0.27184160653649897,1.4566016,10.667552,gps_candidate,False,False,True,True,False
153.55421,35.83576,860.4836,656.7267,0.8259,3.541,1.549,0.449,anomaly,2.934742597502189,0.549125926758111,1.4520259,10.6327915,gps_candidate,False,True,True,True,False
152.03212,62.41283,764.7102,671.7994,0.8538,1.982,1.897,0.019,anomaly,2.8834968830150998,0.2971036501492565,1.4504403,10.620747,gps_candidate,False,True,False,True,False
176.6903,30.35161,984.7291,457.7627,0.4625,37.288,-0.95,-1.112,resolved_agn,2.993316772064582,1.5715690899245292,1.438532,10.530284,unclassified_anomaly,False,False,False,False,True
239.32731,44.96572,747.7413,816.2192,0.9069,1.587,0.617,-0.28,anomaly,2.8737513686990455,0.20057692675484817,1.4371293,10.519628,gps_candidate,False,False,True,True,False
189.35432,20.84437,794.2388,689.7983,0.8714,3.475,1.572,0.162,anomaly,2.8999510993160023,0.5409548089261327,1.4355321,10.507495,gps_candidate,False,False,False,False,True
222.51921,38.48455,726.0426,689.4177,0.8766,2.981,1.922,-0.347,anomaly,2.860962103347689,0.47436197603263075,1.4337127,10.493674,gps_candidate,False,False,True,True,False
240.99044,25.90031,943.2619,489.8657,0.4665,34.423,-0.806,-0.779,resolved_agn,2.9746322928783178,1.5368487168535474,1.4328653,10.487236,unclassified_anomaly,False,True,True,True,False
194.4007,43.7069,995.4453,509.0311,0.4839,93.355,-0.541,-0.686,resolved_agn,2.9980174004148146,1.9701375832841066,1.4324851,10.484348,unclassified_anomaly,False,False,False,False,True
123.98854,46.44203,1020.1781,454.0285,0.4906,58.29,-0.724,-0.833,resolved_agn,3.0086759963650964,1.765594055319445,1.4320297,10.480889,unclassified_anomaly,False,True,True,True,False
137.72672,55.42853,707.8161,566.6008,0.8615,1.14,1.696,-0.187,anomaly,2.8499204368853284,0.05690485133647256,1.4259417,10.434641,gps_candidate,False,False,False,False,True
199.95932,54.43322,811.9393,776.0717,0.9645,3.834,0.577,-0.186,anomaly,2.9095235629106124,0.5836521085420439,1.4246856,10.425098,gps_candidate,False,True,True,True,False
157.73478,59.59509,1057.0859,421.8163,0.3995,28.488,-0.892,-1.104,resolved_agn,3.024110280003921,1.4546619606661972,1.4227357,10.410286,unclassified_anomaly,False,False,False,False,True
184.64946,62.02538,1074.3939,409.5801,0.4078,59.717,-0.864,-0.758,resolved_agn,3.0311635339087415,1.776097981970409,1.4223409,10.407287,unclassified_anomaly,False,True,True,True,False
180.83882,47.08294,684.7067,705.7407,0.9443,2.426,1.101,0.447,anomaly,2.8355045775515486,0.3848907965305542,1.4215117,10.400988,gps_candidate,False,True,True,True,False
157.22294,45.36143,724.7755,601.589,0.9531,1.422,1.22,-0.215,anomaly,2.860203504212571,0.15289959639374748,1.41768,10.37188,gps_candidate,False,True,True,True,False
249.41456,20.15323,748.9593,660.2636,0.9367,2.666,0.582,0.14,anomaly,2.8744582178788067,0.42586014507784037,1.4169623,10.366427,gps_candidate,False,True,False,True,False
221.85478,34.65773,974.9328,502.0907,0.4575,84.219,-0.834,-0.741,resolved_agn,2.988974681754972,1.9254100803867842,1.4153662,10.354302,unclassified_anomaly,False,False,True,True,False
166.17491,64.31998,787.0535,775.5951,0.9399,1.75,1.155,-0.411,anomaly,2.8960042545510243,0.24303804868629444,1.4148948,10.350722,gps_candidate,False,False,True,True,False
210.04831,45.89392,954.4426,552.7669,0.4989,82.833,-0.895,-0.832,resolved_agn,2.9797498151258677,1.9182033906822609,1.414803,10.350024,unclassified_anomaly,False,False,False,False,True
154.42793,43.59398,795.8007,678.2818,0.8724,3.749,0.524,-0.129,anomaly,2.9008043168234425,0.5739154404215507,1.4134781,10.33996,gps_candidate,False,True,True,True,False
217.40856,39.07797,948.874,506.513,0.4828,97.461,-0.727,-0.963,resolved_agn,2.9772085467394755,1.9888308631529492,1.4127885,10.334721,unclassified_anomaly,False,True,False,True,False
215.79092,22.28712,754.688,659.8812,0.8738,3.248,1.166,-0.325,anomaly,2.8777674444988635,0.5116160205691377,1.4121253,10.329683,gps_candidate,False,True,True,True,False
122.09165,30.39135,1002.8511,483.6657,0.4955,75.497,-0.712,-0.564,resolved_agn,3.001236455205017,1.87792969455195,1.4013588,10.247894,unclassified_anomaly,False,False,False,False,True
184.75786,34.23432,962.1337,486.1841,0.4916,110.41,-0.995,-0.92,resolved_agn,2.9832354266507215,2.0430084098799517,1.4012713,10.24723,unclassified_anomaly,False,True,False,True,False
160.03706,31.30662,996.3612,414.6152,0.499,24.049,-0.519,-0.512,resolved_agn,2.9984168070278674,1.3810970223517989,1.3982524,10.224296,unclassified_anomaly,False,True,True,True,False
240.5763,46.11202,724.9434,765.0548,0.9608,2.186,1.397,0.306,anomaly,2.8603041003265317,0.339650157613684,1.39688,10.213871,gps_candidate,False,False,True,True,False
167.80639,31.16987,713.3674,641.8363,0.9489,2.026,0.537,0.109,anomaly,2.8533132587399206,0.3066394410242616,1.391733,10.174771,gps_candidate,False,False,False,False,True
166.48293,40.33264,1099.1443,383.2367,0.3593,48.273,-0.522,-0.575,resolved_agn,3.0410547120593976,1.6837042895574537,1.3833528,10.11111,unclassified_anomaly,False,False,False,False,True
248.91446,60.07585,1041.1799,417.4367,0.4126,66.371,-0.608,-0.583,resolved_agn,3.017525775453962,1.821978361128711,1.3829312,10.107907,unclassified_anomaly,False,True,True,True,False
135.87289,27.05359,1057.7986,358.4656,0.3743,15.975,-0.531,-0.522,resolved_agn,3.0244029878931404,1.2034408668304377,1.3783832,10.073358,unclassified_anomaly,False,True,False,True,False
206.32321,21.21781,974.144,385.7362,0.4561,19.714,-0.639,-0.432,resolved_agn,2.9886231599411284,1.2947747522184434,1.3688486,10.000927,unclassified_anomaly,False,True,False,True,False
209.42076,36.89539,1016.3571,435.1987,0.4795,39.256,-0.606,-0.756,resolved_agn,3.0070463253802244,1.593906044972859,1.3627708,9.954757,unclassified_anomaly,False,False,False,False,True
170.19931,58.39938,1046.8498,409.0286,0.4595,24.966,-0.755,-0.851,resolved_agn,3.019884374409912,1.397348966176591,1.3603568,9.936419,unclassified_anomaly,False,True,True,True,False
