z,fisher_baseline_single,fisher_baseline_multi,fisher_enhanced_single,fisher_enhanced_multi,fisher_optimal_multi
0.30000000000000004,0.0,46037141750.70413,0.0,46037141750.70413,46037141750.70413
0.5,0.0,266227018496.81268,0.0,266227018496.81268,266227018496.81268
0.7000000000000001,0.0,590023801386.1577,0.0,590023801386.1577,590023801386.1577
0.9,12311148955.017803,845457315870.8654,12311197953.025417,845457315870.8654,845457315870.8654
1.1,49360668892.55959,642404529012.723,49361078352.26689,642404529012.723,642404529012.723
1.3,123391691419.64035,247845001348.54648,123393996544.50551,247845001348.54648,247845001348.54648
1.5,223290800359.4411,375163129366.22095,223300844753.0335,375163129366.22095,375163129366.22095
1.7000000000000002,316958293583.5281,316958293583.5281,316994806767.0453,316958293583.5281,316958293583.5281
1.9,367819047756.7513,367819047756.75116,367934679001.1116,367935476438.4259,367936321771.5184
2.1,353941526939.9058,353941526939.9058,354266294018.3086,354281809480.33453,354305547335.29114
2.3000000000000003,279725104265.2354,279725104265.23535,280529565717.13104,280628467635.8585,281047594600.2195
2.5000000000000004,175025620574.59677,175025620574.59677,176738244595.84308,177127679110.4843,181622374482.75412
2.7,80269527664.92325,80269527664.92326,83226075075.0036,84232899180.9264,111604224791.32857
2.9000000000000004,23902809041.280396,23902809041.280403,27653938781.278076,29116918224.488422,121960519187.5778
3.1000000000000005,4185344014.168648,4185344014.1686482,7551816940.390741,8521451343.403637,196555053931.99066
3.3000000000000003,435564220.99879295,435564220.998793,2787693788.095158,3124205358.8895745,235017325694.58493
