epoch,train_loss,train_acc,val_loss,val_acc
1,0.7364,0.6499,0.4967,0.716
2,0.4869,0.7183,0.4923,0.6925
3,0.4786,0.7194,0.4894,0.704
4,0.4765,0.7225,0.4903,0.7025
5,0.4764,0.7209,0.4911,0.691
6,0.4714,0.7228,0.4885,0.702
7,0.4709,0.72,0.4872,0.709
8,0.4682,0.7224,0.4926,0.697
9,0.466,0.7278,0.49,0.703
10,0.4588,0.7406,0.5034,0.703
11,0.4435,0.7636,0.5134,0.7065
12,0.4025,0.7921,0.5475,0.7105
13,0.3347,0.8333,0.7221,0.718
14,0.2592,0.8774,0.6821,0.716
15,0.1971,0.91,0.8788,0.7225
16,0.1439,0.9389,0.926,0.724
17,0.0915,0.9659,1.026,0.7115
18,0.0459,0.9862,1.2574,0.712
19,0.022,0.9951,1.5986,0.706
20,0.0113,0.998,1.4113,0.711
21,0.0077,0.9989,1.7016,0.7065
22,0.0061,0.9995,1.5061,0.714
23,0.0046,0.9995,1.592,0.71
24,0.0036,0.9998,1.6275,0.7075
25,0.0034,0.9996,1.6273,0.707
26,0.003,0.9998,1.6906,0.7065
27,0.0027,0.9999,1.687,0.7055
28,0.0028,0.9999,1.6928,0.7035
29,0.0025,1.0,1.7392,0.706
30,0.0028,0.9999,1.7189,0.7055
