source_id,type,flux_soft,flux_medium,flux_hard,log_flux_soft,log_flux_medium,log_flux_hard,hr1,hr2,extent,log_extent,variability_index,pileup_fraction,ra,dec,recon_error,error_sigma,xray_class
62406,anomaly,6.9532262685102226e-12,1.4119846575462481e-14,6.562476962006128e-14,-11.1578,-13.8502,-13.1829,-0.9959,0.6459,0.081,-1.0,3.675,0.0912,17.82817,-2.30445,0.6763152,14.889912,unclassified
34284,anomaly,2.2392004504855675e-13,7.361010583557618e-14,9.13124093584754e-14,-12.6499,-13.1331,-13.0395,-0.5052,0.1073,5.047,0.703,8.176,0.0913,167.80021,-72.83725,0.6145674,13.443122,extreme_variable
67896,anomaly,5.810012631989019e-13,2.576004655617326e-15,2.614852819509924e-16,-12.2358,-14.5891,-15.5826,-0.9912,-0.8157,0.009,-1.0,1.4,0.0913,152.81952,48.81964,0.59515417,12.988257,ultra_soft
33038,anomaly,5.397299419943289e-12,8.773811063884758e-15,4.798805560228239e-14,-11.2678,-14.0568,-13.3189,-0.9968,0.6909,2.889,0.4608,4.085,0.0078,52.92371,-52.51594,0.57991445,12.631181,unclassified
53778,xrb,4.0290578300339885e-15,4.178637598388747e-15,1.2932350484310929e-14,-14.3948,-14.379,-13.8883,0.0182,0.5116,0.785,-0.1053,6.699,0.0264,342.9581,9.54676,0.57641757,12.549247,unclassified
16976,xrb,1.1222504934025488e-14,7.269402054035778e-15,1.8854355727610263e-15,-13.9499,-14.1385,-14.7246,-0.2138,-0.5881,0.025,-1.0,3.032,0.1199,72.95367,13.50083,0.57615006,12.542979,unclassified
22917,anomaly,8.623453251714711e-12,2.312775623286899e-14,6.643302998899707e-15,-11.0643,-13.6359,-14.1776,-0.9947,-0.5537,0.095,-1.0,4.804,0.0769,105.67198,-65.3868,0.5601495,12.168076,ultra_soft
12756,anomaly,2.409163972701486e-13,1.5799623883590624e-13,7.681708123028607e-12,-12.6181,-12.8014,-11.1145,-0.2079,0.9597,0.035,-1.0,0.466,0.1231,121.63805,3.14215,0.54189384,11.7403345,unclassified
56650,xrb,2.8162426278939713e-14,2.551377606350887e-14,1.312429577046105e-14,-13.5503,-13.5932,-13.8819,-0.0493,-0.3207,0.093,-1.0,2.351,0.1232,108.9872,-57.59638,0.53122014,11.490243,unclassified
45455,anomaly,1.182454655286649e-13,1.991864165740549e-15,1.095785466050308e-17,-12.9272,-14.7007,-16.9603,-0.9669,-0.9891,0.01,-1.0,4.365,0.1081,210.38734,-40.62325,0.52183497,11.270342,ultra_soft
8963,anomaly,9.53009664256003e-12,1.0450741466708618e-13,1.6949012482533263e-16,-11.0209,-12.9809,-15.7709,-0.9783,-0.9968,0.122,-0.9122,1.487,0.0,15.6646,-54.30088,0.5207216,11.244255,ultra_soft
52141,anomaly,6.709916360808612e-12,1.410461827318317e-13,5.310706524009595e-16,-11.1733,-12.8506,-15.2748,-0.9588,-0.9925,0.111,-0.9532,1.842,0.1078,216.48423,5.52166,0.51340795,11.072891,ultra_soft
54524,anomaly,9.75970811333558e-12,4.6379444710716305e-14,2.90780052373076e-14,-11.0106,-13.3337,-13.5364,-0.9905,-0.2293,2.415,0.3829,4.594,0.0056,333.86224,71.76495,0.5104475,11.003527,unclassified
66722,anomaly,5.928808337162199e-13,1.0705525288202048e-15,5.7583767019142066e-15,-12.227,-14.9704,-14.2397,-0.9964,0.6865,0.058,-1.0,3.321,0.1337,125.42429,2.41103,0.50482607,10.871813,unclassified
42980,xrb,1.3910673435698529e-14,7.132275527169161e-15,3.4717783484825674e-15,-13.8567,-14.1468,-14.4594,-0.3221,-0.3452,0.103,-0.9859,2.377,0.1129,310.13937,-30.9793,0.49020562,10.529246,unclassified
36733,anomaly,8.773370336123271e-13,1.451086906629565e-15,5.809291101582707e-15,-12.0568,-14.8383,-14.2359,-0.9967,0.6003,0.106,-0.9741,1.462,0.1319,242.67788,-37.21579,0.48603544,10.431537,unclassified
43022,anomaly,3.261451107469872e-13,3.507212899712103e-14,9.055747218769305e-14,-12.4866,-13.455,-13.0431,-0.8058,0.4417,0.101,-0.9973,12.827,0.1266,12.39201,10.47192,0.4838458,10.380232,extreme_variable
