source_id,type,mag_F115W,mag_F150W,mag_F200W,mag_F277W,mag_F356W,mag_F444W,F115W_F150W,F150W_F200W,F200W_F277W,F277W_F356W,F356W_F444W,lya_ew,continuum_slope,balmer_break,oiii_ew,ha_ew,photo_z,ra,dec,recon_error,error_sigma,jwst_class
39156,dropout,35.0,28.783,28.924,28.263,28.575,28.822,70.2166,-0.1404,0.6604,-0.312,-0.2468,0.83,-1.748,0.335,2251.28,0.0,9.646,311.31846,86.85031,20.582722,13.477534,ultra_high_z_candidate
25062,dropout,35.0,26.098,26.123,26.656,26.093,26.27,72.9017,-0.0246,-0.5329,0.563,-0.177,104.05,-1.735,0.598,1572.73,0.0,10.021,342.02031,89.23711,18.413408,12.013157,high_z_dropout_candidate
7391,anomaly,24.073,23.614,27.428,23.579,26.563,23.748,0.4595,-3.8138,3.848,-2.9836,2.8146,67.34,-0.57,0.544,118.82,694.98,11.298,357.50329,-60.41356,15.433665,10.001704,ultra_high_z_candidate
14775,dropout,35.0,30.71,28.408,28.602,28.512,28.34,68.2902,2.3021,-0.1939,0.0893,0.1726,169.52,-2.346,0.486,1921.54,0.0,10.215,132.09866,-62.9772,15.15331,9.812452,ultra_high_z_candidate
4235,anomaly,27.472,30.121,30.518,27.227,30.942,27.628,-2.6493,-0.397,3.2916,-3.7153,3.3141,61.38,-0.093,1.69,61.86,5.08,2.15,241.59443,72.17302,15.093799,9.77228,unclassified
44125,dropout,35.0,26.579,26.708,26.901,26.458,26.521,72.4206,-0.1281,-0.1938,0.4433,-0.0627,84.31,-2.106,0.736,1345.34,0.0,9.875,320.286,83.86856,15.085478,9.766663,high_z_dropout_candidate
23808,dropout,35.0,26.236,26.194,26.478,26.365,26.107,72.7642,0.0419,-0.2836,0.1122,0.2579,39.8,-2.476,0.409,1223.77,0.0,9.488,61.72672,54.04598,14.704875,9.50974,high_z_dropout_candidate
2273,dropout,35.0,26.962,27.63,27.528,27.713,27.692,72.038,-0.6682,0.102,-0.1853,0.0214,334.21,-2.028,0.475,81.86,0.0,9.554,20.77441,-76.08725,14.608291,9.444541,high_z_dropout_candidate
46755,dropout,35.0,29.565,30.063,29.826,29.988,29.567,69.4346,-0.4981,0.2378,-0.1625,0.4211,10.77,-2.67,0.583,1848.28,0.0,10.196,19.34062,-4.97989,14.5143795,9.381147,ultra_high_z_candidate
30500,anomaly,27.749,27.145,25.374,27.861,23.979,27.938,0.6045,1.7701,-2.4869,3.8823,-3.9593,44.39,0.049,3.264,16.67,66.11,3.203,183.28742,-39.38932,14.355044,9.273589,unclassified
9749,dropout,35.0,26.048,26.252,26.192,25.906,26.229,72.9523,-0.2039,0.0597,0.2861,-0.3231,114.48,-2.181,0.468,973.24,0.0,9.921,351.89761,76.49297,14.25368,9.205164,high_z_dropout_candidate
31612,dropout,35.0,27.485,27.741,28.144,27.56,27.663,71.515,-0.256,-0.4029,0.5844,-0.1039,47.42,-1.824,0.338,1442.04,0.0,9.396,71.39694,62.32168,13.941078,8.994144,high_z_dropout_candidate
19251,anomaly,22.471,25.035,25.654,22.458,24.993,22.105,-2.5649,-0.6182,3.1957,-2.5348,2.8881,107.59,1.207,3.083,140.61,333.62,11.262,199.01283,-41.31032,13.726244,8.849122,ultra_high_z_candidate
7417,dropout,35.0,30.667,29.281,29.205,29.201,29.145,68.3325,1.3869,0.0753,0.0044,0.0558,34.23,-2.5,0.557,1907.66,0.0,10.661,209.39439,3.37514,13.694222,8.827506,ultra_high_z_candidate
12094,dropout,35.0,26.744,26.529,26.426,26.55,26.859,72.256,0.2151,0.1025,-0.1238,-0.3085,8.95,-2.103,0.471,1215.72,0.0,9.519,198.42384,-30.06095,13.657708,8.802857,high_z_dropout_candidate
11758,anomaly,25.992,27.897,25.168,28.631,25.149,28.47,-1.9049,2.7288,-3.4627,3.4816,-3.3212,278.0,1.182,1.5,73.25,35.32,0.13,302.29731,52.86384,13.546428,8.727738,extremely_red_object
39787,dropout,35.0,28.861,26.318,26.219,26.207,25.801,70.1387,2.5429,0.099,0.0129,0.4058,115.08,-2.053,0.918,1459.34,0.0,10.448,340.48589,67.36929,13.489791,8.689507,high_z_dropout_candidate
24567,dropout,35.0,30.362,28.356,28.525,28.395,28.433,68.638,2.0057,-0.1692,0.1301,-0.0379,57.49,-2.82,0.891,1806.82,0.0,11.226,143.71548,20.15278,13.481719,8.684057,ultra_high_z_candidate
29939,dropout,35.0,26.149,26.17,26.139,25.941,26.68,72.8514,-0.0216,0.0314,0.1974,-0.7382,153.78,-2.61,0.831,606.38,0.0,9.092,243.56783,37.92848,13.4592085,8.668862,high_z_dropout_candidate
13849,anomaly,26.733,29.537,30.31,26.948,30.277,27.75,-2.8036,-0.7728,3.3617,-3.3291,2.5274,18.13,-0.047,2.374,15.89,17.4,11.879,15.17227,84.09498,13.430594,8.649547,ultra_high_z_candidate
31198,dropout,35.0,26.321,25.863,26.223,25.794,26.327,72.6787,0.4584,-0.3598,0.4284,-0.5323,4.49,-1.529,0.913,990.58,0.0,10.153,200.91851,-13.78525,13.420033,8.642417,high_z_dropout_candidate
