n_surveys,surveys,bands,ra,dec,total_score
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,199.400858,14.391824,863.604
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,164.810716,29.361892,781.6368
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,212.028765,43.051034,660.0643
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,199.647114,9.239634,494.1954
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,123.282815,31.550014,457.7777
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,147.2924,14.764242,283.6886
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,227.990442,34.29804,202.6394
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,169.881786,58.209833,201.1222
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,187.613258,15.341924,167.2419
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,235.196867,59.017415,123.6446
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,235.768741,-3.8122,105.6437
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,164.426009,-6.299207,104.5845
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,245.420676,30.202515,94.5696
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,215.372686,-7.093509,85.6915
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,209.323444,57.733278,82.6417
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,159.541798,53.061308,78.484
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,148.989183,59.171059,60.4931
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,181.306631,35.31705,59.7439
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,157.054584,2.514609,56.0985
4,desi-dr1|erosita-dr1|lamost-dr10|sdss-dr18,optical|xray,232.885658,22.702276,45.9324
3,desi-dr1|lamost-dr10|sdss-dr18,optical,229.749742,54.633862,510.9634
3,desi-dr1|lamost-dr10|sdss-dr18,optical,241.019143,20.156959,271.9905
3,desi-dr1|lamost-dr10|sdss-dr18,optical,158.254228,10.104594,239.4587
3,desi-dr1|lamost-dr10|sdss-dr18,optical,191.351113,-7.376031,216.137
3,desi-dr1|lamost-dr10|sdss-dr18,optical,253.55292,38.855766,195.7967
3,desi-dr1|lamost-dr10|sdss-dr18,optical,157.425015,20.968836,161.0421
3,desi-dr1|lamost-dr10|sdss-dr18,optical,217.075754,46.520113,151.515
3,desi-dr1|lamost-dr10|sdss-dr18,optical,171.467863,47.613559,113.6103
3,desi-dr1|lamost-dr10|sdss-dr18,optical,204.378767,50.033137,108.0228
3,desi-dr1|lamost-dr10|sdss-dr18,optical,122.725727,33.026146,91.498
3,desi-dr1|lamost-dr10|sdss-dr18,optical,166.437311,22.327015,77.4526
3,desi-dr1|lamost-dr10|sdss-dr18,optical,226.994732,44.054422,70.2508
3,desi-dr1|lamost-dr10|sdss-dr18,optical,220.062381,29.576597,51.3441
3,desi-dr1|lamost-dr10|sdss-dr18,optical,121.67862,49.704747,18.2184
2,desi-dr1|sdss-dr18,optical,129.908073,31.276349,1487.4795
2,lamost-dr10|sdss-dr18,optical,198.160172,13.484707,59.7232
2,lamost-dr10|sdss-dr18,optical,163.76714,25.857219,47.3712
2,lamost-dr10|sdss-dr18,optical,190.910463,-9.421024,30.0816
2,desi-dr1|lamost-dr10,optical,149.282339,-8.097306,14.5374
2,desi-dr1|sdss-dr18,optical,193.309032,34.652969,11.8419
