sdss_ra,sdss_dec,sdss_score,lamost_ra,lamost_dec,lamost_score,sep_arcsec,combined_score,score_ratio,score_agreement
157.159187,48.421332,83.6028,157.158924,48.421066,969.8393,1.145,1053.4421,0.0862,True
179.587408,12.123014,710.3208,179.58758,12.122979,61.163,0.618,771.4838,11.6136,False
190.809856,-2.371784,96.8914,190.810021,-2.371782,616.7334,0.594,713.6248,0.1571,True
180.1196,44.817116,35.5005,180.119675,44.817052,650.5132,0.3,686.0137,0.0546,True
158.534712,29.432106,445.4037,158.534433,29.432041,91.2597,0.906,536.6634,4.8806,False
245.114372,7.326571,321.3031,245.114455,7.32637,104.7195,0.782,426.0226,3.0682,False
218.794513,39.112728,9.9436,218.794767,39.112788,397.6772,0.742,407.6208,0.025,True
161.862715,31.676013,195.3173,161.862409,31.676509,195.0149,2.017,390.3322,1.0016,True
115.881199,-3.061683,23.5279,115.881412,-3.061947,353.8306,1.22,377.3585,0.0665,True
264.8468,24.197192,354.5483,264.846852,24.197335,8.2198,0.542,362.7681,43.1334,False
162.646591,38.23355,59.3271,162.646912,38.233711,254.6357,1.077,313.9628,0.233,True
170.938514,42.458371,310.6474,170.938635,42.458206,3.2656,0.675,313.913,95.1272,False
266.191818,47.775272,304.1299,266.191775,47.775436,3.6051,0.6,307.735,84.361,False
105.233727,18.798984,19.6911,105.233719,18.799053,284.1737,0.25,303.8648,0.0693,True
112.978426,34.579865,23.7005,112.978615,34.57988,245.4091,0.563,269.1096,0.0966,True
104.388216,48.826505,62.3545,104.388325,48.826164,81.0516,1.254,143.4061,0.7693,True
147.729451,-2.651739,8.4557,147.729483,-2.651727,117.4555,0.123,125.9112,0.072,True
168.802894,56.811257,41.7902,168.803017,56.811146,81.7912,0.467,123.5814,0.5109,True
136.376255,36.162097,53.1167,136.376016,36.162009,63.5454,0.763,116.6621,0.8359,True
247.672427,4.822258,46.0169,247.672654,4.822216,69.8192,0.828,115.8361,0.6591,True
131.54679,36.866068,104.1885,131.546514,36.866285,5.5046,1.115,109.6931,18.9275,False
148.253443,-4.626739,16.4182,148.2533,-4.627005,90.7139,1.086,107.1321,0.181,True
108.713024,-7.226463,12.9567,108.71308,-7.226851,85.6938,1.411,98.6505,0.1512,True
266.254351,45.641254,87.3777,266.254426,45.641192,9.2862,0.292,96.6639,9.4094,False
128.968994,6.606377,43.952,128.968978,6.606685,44.8941,1.11,88.8461,0.979,True
255.103248,43.30676,36.3872,255.103223,43.306929,32.9355,0.612,69.3227,1.1048,True
154.862329,6.75067,13.5968,154.861958,6.75051,53.4161,1.446,67.0129,0.2545,True
131.193872,-5.12731,5.6318,131.194082,-5.127095,50.7079,1.08,56.3397,0.1111,True
178.975204,42.113562,0.6306,178.975059,42.113103,42.2764,1.697,42.907,0.0149,True
198.149948,37.274587,21.8269,198.150095,37.274698,7.0801,0.581,28.907,3.0829,False
