rank,index,object_id,anomaly_score,redshift,ra,dec,true_label,umap_x,umap_y
1,77819,TAX_175078,4433961.775049877,1.6554442096673152,153.6556433068235,73.1330321645335,ultra_rare,-31.97542381286621,-0.6796788573265076
2,155059,TAX_167933,1725287.6827581606,2.44230519099193,180.87124401449665,39.356410813497476,ultra_rare,-28.42302131652832,3.255035877227783
3,144110,TAX_181165,1194724.4956056655,2.284670631292688,166.74440328478127,58.12112114603747,ultra_rare,-15.268585205078125,-9.142352104187012
4,114950,TAX_180802,932699.9437284189,2.0480852862823475,171.35405753283675,62.847255608130084,ultra_rare,-22.373210906982422,4.6020917892456055
5,78244,TAX_175999,899780.606924765,1.6299580035198789,183.0059722456527,29.715533214750426,ultra_rare,-16.660648345947266,-8.446573257446289
6,167469,TAX_168960,874904.417484036,1.6635563330105572,161.5970353091522,81.10741540013387,ultra_rare,-16.92226219177246,-0.4864715337753296
7,142078,TAX_174517,870029.7675018915,2.3473566207674335,176.21722236939584,59.57936291316106,ultra_rare,-26.172395706176758,-13.340909004211426
8,185454,TAX_186089,866599.0410139947,2.2660986116803628,178.1869764093793,38.86961687402794,ultra_rare,-22.7465877532959,-13.519182205200195
9,165497,TAX_175997,858279.7541543222,1.8450783314267931,135.33579998146672,90.0,ultra_rare,-29.518892288208008,3.0035550594329834
10,153161,TAX_182110,853746.3196711923,1.8962384299953776,166.68149807429583,49.87374011465275,ultra_rare,-15.563441276550293,-3.356832504272461
11,67064,TAX_192163,852175.6998025033,1.5593350654079663,142.45498747401246,64.83644939217709,ultra_rare,-31.62803077697754,-9.509897232055664
12,117131,TAX_181607,794955.6587498683,2.5182717440096747,206.319917937542,90.0,ultra_rare,-15.73162841796875,-5.209856033325195
13,156079,TAX_193453,794408.5075048679,2.062048603843043,156.3066908095018,88.53456974816534,ultra_rare,-15.332728385925293,-5.7064290046691895
14,193087,TAX_180666,771813.7068269772,1.5383518562233882,201.71356446930966,72.83447183608027,ultra_rare,-28.487085342407227,-13.110443115234375
15,130281,TAX_171923,715642.1715788569,2.048325580995911,133.2442435086697,66.17751321503138,ultra_rare,-32.4107666015625,-7.938116073608398
16,69595,TAX_183866,714842.0427758608,1.9856680643668665,174.3754229178444,90.0,ultra_rare,-14.637871742248535,-5.891462802886963
17,130526,TAX_174371,659470.146694075,2.403876243850896,164.36155105208877,49.75471513473095,ultra_rare,-33.305171966552734,-6.477475166320801
18,193487,TAX_177079,658648.361839356,1.3683088417038594,149.10773545671998,9.873975934677667,ultra_rare,-20.755813598632812,-12.480083465576172
19,16805,TAX_194107,630523.2734830844,1.799247291239751,157.01333799878995,48.950464336086775,ultra_rare,-21.608592987060547,-12.811294555664062
20,104417,TAX_180793,613178.7543737045,1.7925179847001327,127.33365854950017,17.296831133028057,ultra_rare,-29.633377075195312,1.9245415925979614
21,134391,TAX_187060,609386.2362099636,2.3812761162714464,175.731356216462,71.27771764728337,ultra_rare,-20.753068923950195,3.1814465522766113
22,159964,TAX_186838,584794.2778363626,2.0734729641643863,155.00328526169702,26.00653219604315,ultra_rare,-26.837661743164062,-12.921119689941406
23,27492,TAX_168080,573308.6107945974,2.219305302551977,136.04863727102594,90.0,ultra_rare,-26.06730079650879,-13.821310997009277
24,109372,TAX_177210,563707.0802794031,2.4193807549308888,149.24373978737577,74.9030013853121,ultra_rare,-15.489989280700684,-5.162694931030273
25,69154,TAX_185385,563499.6552921243,2.2046397832388385,145.11851834645222,28.923138449776182,ultra_rare,-21.55926513671875,-13.759576797485352
26,87185,TAX_173466,560168.7866616895,2.1868446127744665,176.52295582612908,26.097483329501948,ultra_rare,-17.692331314086914,-11.480896949768066
27,15757,TAX_190358,556464.5543465182,1.8773059540174337,172.19007528177832,61.82806263041087,ultra_rare,-27.47548484802246,-13.199993133544922
28,171095,TAX_172356,552252.3831924504,2.019358602215695,150.7510530488655,90.0,ultra_rare,-19.509815216064453,3.128286838531494
29,175453,TAX_176380,550466.5955420568,1.736889393528435,159.57508212862416,-1.4869385799275463,ultra_rare,-33.132999420166016,-8.367973327636719
30,57550,TAX_194536,550442.7800468424,2.4298667029929284,157.69721887609992,90.0,ultra_rare,-22.597795486450195,5.217738151550293
31,102633,TAX_181266,545140.9695791167,2.061839848293871,146.59536584111623,87.77781625666131,ultra_rare,-30.693260192871094,-9.814255714416504
32,106239,TAX_172948,545125.1522437338,2.198798745096943,211.32009553555952,15.989452185216265,ultra_rare,-16.59333610534668,-8.596226692199707
33,10858,TAX_179689,537320.1714158568,2.261064340443607,130.78033927004253,90.0,ultra_rare,-31.704607009887695,0.4492332637310028
34,181272,TAX_192236,528224.3931667958,1.7892921995024738,138.6234301333016,90.0,ultra_rare,-25.186542510986328,4.270972728729248
35,37841,TAX_181690,525593.9798099995,2.0550902802425344,165.9799452777124,20.962048305418065,ultra_rare,-25.788410186767578,-13.858829498291016
36,92983,TAX_168735,514007.77748587826,2.3936304662293595,167.86980521404402,45.91721009887568,ultra_rare,-21.197114944458008,4.1363606452941895
37,25673,TAX_169464,507790.31617522443,2.0921589852606526,136.59749643911658,51.98276219616607,ultra_rare,-21.009845733642578,-12.529009819030762
38,185545,TAX_176696,504467.60530028376,2.0620074173625467,148.02612668741725,-25.564816706170845,ultra_rare,-18.247007369995117,1.760528802871704
39,181513,TAX_167915,498438.9276928945,2.226213878270209,200.60524998627344,53.77875996219927,ultra_rare,-32.50294876098633,-1.9777984619140625
40,164451,TAX_180927,492119.8137284692,1.9440084826119357,160.3069910960994,69.1318703409162,ultra_rare,-22.456615447998047,-13.24539566040039
41,140982,TAX_172632,490744.0432579974,2.3582674107496127,107.07678192150729,74.75617771139159,ultra_rare,-15.205854415893555,-6.365030765533447
42,35564,TAX_193409,490485.54303536273,1.9696989711371913,142.16551807935764,50.396330372806496,ultra_rare,-31.969192504882812,-10.41110897064209
43,133600,TAX_173609,486330.6035433097,1.8757606991669085,151.60399461554246,75.64116246067488,ultra_rare,-17.43976593017578,1.8663476705551147
44,55302,TAX_181876,485733.74567116844,1.6613373433485505,144.82805146082896,90.0,ultra_rare,-31.18748664855957,-11.550887107849121
45,154378,TAX_193963,483002.6395827237,2.196337480950279,153.0057684512211,12.43747055310211,ultra_rare,-27.753997802734375,-11.957621574401855
