ra,dec,peak_flux,integrated_flux,flux_ratio,major_axis,minor_axis,axial_ratio,position_angle,spectral_index,type,log_peak_flux,log_integrated_flux,log_flux_ratio,recon_error,error_sigma,radio_class
330.80928,-20.56903,1.455,43.9018,25.7343,77.021,4.11,0.0534,17.84,-0.084,anomaly,0.1628629933219261,1.6424823269401057,1.4105123594806148,1.1208384,17.294352,jet_candidate
314.96759,-29.21946,1.3054,34.2413,23.5273,69.938,6.036,0.0863,31.42,-0.008,anomaly,0.11574360835995784,1.5345502446765207,1.3715720902706985,1.0742354,16.54985,jet_candidate
54.80223,34.88679,0.1108,4.8074,35.4884,469.421,341.558,0.7276,135.67,-0.922,anomaly,-0.9554602396075891,0.681910259129991,1.550086419555116,1.0447515,16.078833,giant_diffuse
19.02912,33.74465,0.1047,10.6245,95.9365,456.702,342.609,0.7502,151.02,-0.903,anomaly,-0.9800533183211576,1.0263085008540707,1.9819838702856678,1.0181105,15.653232,giant_diffuse
65.68967,63.91742,0.1408,4.9063,36.9722,498.187,312.566,0.6274,5.64,-1.732,anomaly,-0.8513973451939065,0.6907540999978011,1.5678752936738116,1.0117822,15.552134,ultra_steep_spectrum
230.82943,-9.03253,0.2686,25.9733,97.0056,450.998,296.45,0.6573,16.54,-0.962,anomaly,-0.5708939916673035,1.414527131791091,1.9867968062136456,1.0101557,15.52615,giant_diffuse
55.31551,30.56294,0.1236,4.2056,36.4919,497.445,362.348,0.7284,134.32,-1.239,anomaly,-0.907981529247203,0.6238279640103688,1.562196476081385,1.0089517,15.506915,giant_diffuse
171.79225,39.24593,0.3195,7.1174,23.2891,498.149,329.519,0.6615,11.35,-1.501,anomaly,-0.49552913750558103,0.8523213739920475,1.367152705684271,0.99490595,15.282529,ultra_steep_spectrum
108.36018,-15.42948,0.2075,19.2697,86.705,478.685,378.925,0.7916,139.08,-1.026,anomaly,-0.6829818989518885,1.284874953401755,1.9380441425719124,0.99067354,15.214914,giant_diffuse
107.62399,23.84265,0.2331,20.6135,86.479,496.063,390.995,0.7882,133.91,-1.263,anomaly,-0.6324577264794233,1.3141517376130365,1.9369106590096286,0.96118295,14.743791,giant_diffuse
296.22919,14.88408,0.5998,18.113,31.8808,474.075,334.725,0.7061,5.29,-1.556,anomaly,-0.22199353857649168,1.2579903871193308,1.503529210817748,0.94669473,14.512336,ultra_steep_spectrum
30.49038,-23.96188,0.2452,18.2714,72.0101,498.636,295.797,0.5932,80.31,-0.981,anomaly,-0.6104795341536225,1.261771825348179,1.8573934140234987,0.92957497,14.23884,giant_diffuse
2.23445,30.38452,0.1573,17.5364,99.6187,491.227,380.695,0.775,152.9,-1.638,anomaly,-0.8032712773767131,1.243940443043527,1.998340869995137,0.9258281,14.178983,ultra_steep_spectrum
93.41883,77.4725,0.127,5.2408,43.2843,497.123,296.673,0.5968,21.53,-1.628,anomaly,-0.8961962790440431,0.7193975864238834,1.6363303984365236,0.92450464,14.15784,ultra_steep_spectrum
210.64404,47.02405,0.3729,28.2385,74.5023,494.321,381.267,0.7713,93.92,-1.34,anomaly,-0.4284076166386928,1.4508416237174253,1.8721696802904375,0.9222763,14.122241,ultra_steep_spectrum
93.85105,28.81653,0.4071,34.2415,93.5338,479.873,346.95,0.723,117.39,-1.113,anomaly,-0.3902988976206005,1.5345527813396354,1.9709685787964772,0.9182651,14.058161,giant_diffuse
142.7226,24.98279,0.529,32.9914,61.8238,477.091,349.515,0.7326,59.83,-1.173,anomaly,-0.2765443279648142,1.5184007453535855,1.791155695458955,0.906521,13.870544,giant_diffuse
45.16346,23.03081,0.3379,31.9575,99.7549,429.613,313.9,0.7307,94.2,-0.785,anomaly,-0.4712118082251037,1.5045727975921532,1.9989342375988393,0.9047371,13.842046,giant_diffuse
256.3449,57.43675,0.9837,88.002,76.7593,485.283,317.937,0.6552,37.54,-1.559,anomaly,-0.007137328610972325,1.9444925423671415,1.8851310055693808,0.90007764,13.767609,ultra_steep_spectrum
1.89503,-14.14197,0.4982,40.5013,85.8249,481.974,329.388,0.6834,149.98,-1.648,anomaly,-0.30259627679951234,1.6074689633076429,1.933613306074211,0.895945,13.701588,ultra_steep_spectrum
338.91723,47.9891,0.5258,56.3505,88.9648,475.454,299.921,0.6308,17.57,-1.375,anomaly,-0.27917941822965603,1.7508977739096776,1.949218206761314,0.8908607,13.620364,ultra_steep_spectrum
95.98948,27.88527,0.9405,65.1627,82.9495,484.797,344.347,0.7103,95.25,-1.271,anomaly,-0.02664120011360232,1.8139990708913476,1.9188137725436778,0.88974476,13.602536,giant_diffuse
16.04148,11.8022,0.4329,20.7097,48.1263,484.131,353.644,0.7305,132.11,-1.149,anomaly,-0.36361241418684337,1.3161738077641314,1.6823824739493067,0.88456833,13.519841,giant_diffuse
207.24757,-1.19422,0.9223,18.5179,20.6059,487.596,310.535,0.6369,23.73,-1.519,anomaly,-0.03512779136222481,1.2675917344990897,1.313991587872872,0.87974787,13.442832,ultra_steep_spectrum
301.48365,37.68997,0.4267,24.1668,59.3436,475.41,327.186,0.6882,159.65,-1.14,anomaly,-0.3698773571406879,1.3832191479522076,1.773373888672958,0.8773171,13.403999,giant_diffuse
275.52672,67.48031,0.5247,46.5417,77.8182,485.581,371.642,0.7654,93.67,-1.332,anomaly,-0.280088935801661,1.667842242447388,1.8910811809895898,0.87567735,13.377804,ultra_steep_spectrum
