source_id,type,flux_band1,log_flux_band1,flux_band2,log_flux_band2,flux_band3,log_flux_band3,flux_band4,log_flux_band4,flux_band5,log_flux_band5,hr1,hr2,hr3,hr4,extent,log_extent,variability,ra,dec,recon_error,error_sigma,xmm_class
27566,anomaly,8.608486707184133e-14,-13.0651,3.415012956325875e-14,-13.4666,4.702493230993754e-13,-12.3277,3.770431030090232e-13,-12.4236,4.2707395584368876e-14,-13.3695,-0.4319,0.8646,-0.11,-0.7965,0.068,-1.0,10.271,36.56728,48.04233,1.307918,21.351177,extreme_variable
22307,anomaly,1.2828135093288885e-11,-10.8918,4.207671069022071e-12,-11.376,5.566161779957276e-12,-11.2544,7.282055620653542e-11,-10.1377,7.517152092650642e-12,-11.1239,-0.506,0.139,0.858,-0.8129,0.661,-0.1797,26.53,64.14157,-9.97683,1.2598151,20.529585,extreme_variable
4989,anomaly,3.2147329427528284e-12,-11.4929,1.4430010320861996e-12,-11.8407,1.0463976771038159e-12,-11.9803,1.4092103478435824e-11,-10.851,2.864419738249213e-12,-11.543,-0.3804,-0.1593,0.8618,-0.6621,0.042,-1.0,20.066,20.98839,22.6808,1.2517581,20.391972,extreme_variable
47525,anomaly,5.290068652525682e-12,-11.2765,4.0991809015677016e-12,-11.3873,1.86854471214114e-12,-11.7285,8.015368299864751e-12,-11.0961,9.01953985407892e-13,-12.0448,-0.1268,-0.3738,0.6219,-0.7977,0.469,-0.3291,21.906,212.93304,-63.95217,1.2085228,19.653517,extreme_variable
31129,anomaly,1.3372370916591778e-12,-11.8738,2.9238279380692926e-13,-12.534,2.598470554456443e-14,-13.5853,7.436180580439799e-13,-12.1287,1.2564166783306535e-11,-10.9009,-0.6412,-0.8368,0.9325,0.8882,0.53,-0.2759,12.399,220.81392,83.84009,1.1769831,19.114822,super_soft_source
22535,anomaly,4.6008618736389774e-12,-11.3372,2.1490410422666255e-12,-11.6678,5.155942858230404e-12,-11.2877,5.092619301563119e-11,-10.2931,6.973861490537514e-12,-11.1565,-0.3632,0.4116,0.8161,-0.7591,2.274,0.3568,25.028,239.12695,84.83897,1.1266783,18.255621,extreme_variable
12660,anomaly,2.9933550652098527e-15,-14.5238,1.9655857395596875e-15,-14.7065,8.124707316885871e-15,-14.0902,9.933648989885201e-16,-15.0029,6.287485903592489e-14,-13.2015,-0.2073,0.6104,-0.7821,0.9689,0.072,-1.0,28.064,153.1558,21.76933,1.0717964,17.318243,ultra_hard_spectrum
52943,anomaly,1.848953406487911e-12,-11.7331,2.2567199765353232e-12,-11.6465,8.864206474853602e-12,-11.0524,1.8416049120534306e-11,-10.7348,5.947100014370158e-13,-12.2257,0.0993,0.5941,0.3501,-0.9374,0.652,-0.1858,27.732,168.58407,-13.77616,1.0707728,17.30076,extreme_variable
95553,anomaly,9.267160869797494e-12,-11.0331,6.275445908303734e-12,-11.2024,6.570600869201614e-12,-11.1824,1.3038077591139957e-11,-10.8848,1.647984008295077e-12,-11.783,-0.1925,0.023,0.3298,-0.7756,1.685,0.2267,29.248,234.94654,20.95319,1.0528004,16.993795,extreme_variable
25495,anomaly,3.0018757483973104e-11,-10.5226,1.4756523502613092e-11,-10.831,3.2685817194330397e-12,-11.4856,9.066322259430055e-12,-11.0426,2.575016673618368e-12,-11.5892,-0.3409,-0.6373,0.47,-0.5576,1.528,0.184,29.488,84.83829,-36.64137,1.024666,16.513262,extreme_variable
