index,label,err_transformer,err_conv_ae,anom_transformer,anom_conv_ae,transformer_only,conv_only
801,1,0.00014541812,0.0058044055,0,1,0,1
31,1,0.00014321101,0.005747371,0,1,0,1
638,1,0.00014630772,0.004999822,0,1,0,1
28023,0,0.00014789832,0.0049550594,0,1,0,1
450,1,0.00012316355,0.0046838173,0,1,0,1
2512,0,6.2238425e-05,0.00452967,0,1,0,1
718,1,0.00015122545,0.0040988377,0,1,0,1
329,1,0.00012884701,0.003627013,0,1,0,1
29882,0,6.77453e-05,0.003604346,0,1,0,1
106,1,0.00014925688,0.0035000115,0,1,0,1
650,1,8.78324e-05,0.00332133,0,1,0,1
597,1,0.00013205287,0.0032250932,0,1,0,1
193,1,0.00013484512,0.00322287,0,1,0,1
939,1,0.000109611276,0.0031326974,0,1,0,1
783,1,7.155881e-05,0.0030695077,0,1,0,1
129,1,9.965808e-05,0.0029515864,0,1,0,1
543,1,0.000102089,0.0029484262,0,1,0,1
151,1,0.00010088028,0.0028678915,0,1,0,1
371,1,0.00010520283,0.0026622314,0,1,0,1
573,1,0.00012871913,0.002628537,0,1,0,1
47969,0,7.128449e-05,0.0024915265,0,1,0,1
286,1,5.5217908e-05,0.0024559319,0,1,0,1
816,1,0.00011672348,0.0023436416,0,1,0,1
511,1,5.6064935e-05,0.0022713153,0,1,0,1
890,1,7.171118e-05,0.0022691642,0,1,0,1
701,1,0.00012140695,0.0022644086,0,1,0,1
27541,0,0.000107998865,0.0022553236,0,1,0,1
25032,0,6.309092e-05,0.0022372387,0,1,0,1
5082,0,1.0476284e-05,0.0022259722,0,1,0,1
40682,0,5.187417e-05,0.002107539,0,1,0,1
48835,0,7.8182624e-05,0.0020981338,0,1,0,1
38966,0,0.00011771129,0.0020714488,0,1,0,1
19440,0,6.487407e-05,0.0020311053,0,1,0,1
46524,0,8.257299e-06,0.0019787813,0,1,0,1
14829,0,0.00014325486,0.0019167326,0,1,0,1
249,1,8.7853565e-05,0.0019080465,0,1,0,1
37948,0,2.8482065e-05,0.0018938149,0,1,0,1
35768,0,7.239024e-05,0.0018855649,0,1,0,1
10658,0,2.257959e-05,0.0018828362,0,1,0,1
16424,0,0.0001505012,0.001873388,0,1,0,1
3344,0,6.5552114e-05,0.0018693523,0,1,0,1
45356,0,9.4483694e-05,0.0018591894,0,1,0,1
984,1,0.0001351108,0.0018398823,0,1,0,1
29093,0,0.000121834746,0.0018257113,0,1,0,1
39697,0,7.8913814e-05,0.001818351,0,1,0,1
17560,0,0.00013269359,0.0017969091,0,1,0,1
