index,label,anomaly_type,obj_type,err_joint,err_spectral,err_photometry,anom_joint,anom_spectral,anom_photometry,joint_only,single_only
0,1,hybrid_subtle,agn,0.30848172,0.15643196,0.020574506,1,1,0,0,0
1,1,cross_modal_break,spiral,0.14310537,0.019125126,0.05572287,1,0,1,0,0
2,1,hybrid_subtle,star,0.46560603,0.33648756,0.11769634,1,1,1,0,0
3,1,spectral_outlier,starburst,3.5524256,1.0134175,0.0006405664,1,1,0,0,0
4,1,hybrid_subtle,elliptical,0.18323281,0.14883612,0.025214532,1,1,0,0,0
5,1,hybrid_subtle,star,0.26330784,0.27948877,0.061029878,1,1,1,0,0
6,1,spectral_outlier,agn,6.2172565,0.7187148,0.009769266,1,1,0,0,0
7,1,color_mismatch,agn,0.15999153,0.028914697,0.03646645,1,0,1,0,0
8,1,cross_modal_break,elliptical,0.10507025,0.015097948,0.06908571,1,0,1,0,0
9,1,color_mismatch,spiral,0.13419816,0.0143985525,0.04577114,1,0,1,0,0
10,1,hybrid_subtle,spiral,0.236258,0.1547632,0.37263453,1,1,1,0,0
11,1,cross_modal_break,star,0.14470282,0.01710191,0.124781094,1,0,1,0,0
12,1,color_mismatch,starburst,0.2669272,0.023413876,0.026592223,1,0,0,1,0
13,1,hybrid_subtle,agn,0.20547986,0.09781962,0.0148868505,1,1,0,0,0
14,1,spectral_outlier,spiral,4.768899,0.7287141,0.014781934,1,1,0,0,0
15,1,cross_modal_break,elliptical,0.12358087,0.017456975,0.15670884,1,0,1,0,0
16,1,cross_modal_break,starburst,0.1286817,0.021175075,0.029088432,1,0,0,1,0
17,1,spectral_outlier,elliptical,3.8305154,3.1096804,0.007908019,1,1,0,0,0
18,1,spectral_outlier,agn,1.862506,0.5556063,0.009808861,1,1,0,0,0
19,1,color_mismatch,starburst,0.10735465,0.029187381,0.032482564,1,0,0,1,0
20,1,spectral_outlier,agn,4.528381,1.3045825,0.0006813717,1,1,0,0,0
21,1,spectral_outlier,spiral,3.469358,0.8882713,0.0023476807,1,1,0,0,0
22,1,hybrid_subtle,star,0.8284519,0.94758093,0.051008105,1,1,1,0,0
23,1,hybrid_subtle,star,0.3919506,0.37254706,0.13699691,1,1,1,0,0
24,1,hybrid_subtle,agn,0.2600523,0.04014281,0.09204092,1,1,1,0,0
25,1,spectral_outlier,elliptical,3.013963,0.9008913,0.018619651,1,1,0,0,0
26,1,color_mismatch,spiral,0.037630405,0.012519791,0.034059647,0,0,1,0,1
27,1,hybrid_subtle,elliptical,0.39708143,0.16879924,0.17337547,1,1,1,0,0
28,1,color_mismatch,elliptical,0.29227418,0.017351579,0.055892587,1,0,1,0,0
29,1,cross_modal_break,starburst,0.13535953,0.017497212,0.043533094,1,0,1,0,0
30,1,cross_modal_break,agn,0.24248034,0.014050734,0.14286366,1,0,1,0,0
31,1,spectral_outlier,star,5.9523854,1.4249276,0.0450825,1,1,1,0,0
32,1,color_mismatch,spiral,0.14831908,0.026505679,0.008635501,1,0,0,1,0
33,1,color_mismatch,spiral,0.07553487,0.02464962,0.021935394,1,0,0,1,0
34,1,cross_modal_break,spiral,0.082991175,0.015688336,0.0050584185,1,0,0,1,0
35,1,hybrid_subtle,elliptical,0.26169991,0.24364652,0.23738122,1,1,1,0,0
36,1,hybrid_subtle,elliptical,0.6408443,0.57516307,0.1600367,1,1,1,0,0
37,1,cross_modal_break,spiral,0.060769007,0.016943622,0.022310732,1,0,0,1,0
38,1,cross_modal_break,elliptical,0.05368738,0.021938004,0.08245729,1,0,1,0,0
39,1,spectral_outlier,starburst,10.456231,5.5046816,0.002427753,1,1,0,0,0
40,1,cross_modal_break,spiral,0.11205733,0.016648475,0.0052490383,1,0,0,1,0
41,1,spectral_outlier,agn,3.4092314,0.6297543,0.0029574558,1,1,0,0,0
42,1,cross_modal_break,agn,0.22125863,0.021953063,0.07495594,1,0,1,0,0
43,1,spectral_outlier,spiral,4.714886,1.4166739,0.0018209532,1,1,0,0,0
44,1,cross_modal_break,agn,0.3771929,0.016303215,0.18780193,1,0,1,0,0
45,1,color_mismatch,agn,0.13142309,0.019645218,0.009733657,1,0,0,1,0
46,1,hybrid_subtle,spiral,0.23005906,0.22036543,0.013065249,1,1,0,0,0
47,1,spectral_outlier,spiral,2.753657,0.83219236,0.014529011,1,1,0,0,0
48,1,spectral_outlier,starburst,2.860095,0.6924874,0.0012094472,1,1,0,0,0
49,1,color_mismatch,elliptical,0.08920598,0.02465304,0.0009411361,1,0,0,1,0
50,1,hybrid_subtle,elliptical,0.17165485,0.0677917,0.011632911,1,1,0,0,0
51,1,spectral_outlier,elliptical,5.2040005,1.2142676,0.018376498,1,1,0,0,0
52,1,spectral_outlier,agn,4.066732,1.7253075,0.003623617,1,1,0,0,0
53,1,spectral_outlier,starburst,6.2828183,4.7664766,0.00553462,1,1,0,0,0
54,1,color_mismatch,agn,0.1630972,0.012579181,0.07335223,1,0,1,0,0
55,1,cross_modal_break,agn,0.2410914,0.024655527,0.099734716,1,0,1,0,0
56,1,hybrid_subtle,spiral,0.08897304,0.03614005,0.04829474,1,1,1,0,0
57,1,color_mismatch,starburst,0.10687869,0.0090871435,0.001067005,1,0,0,1,0
58,1,color_mismatch,elliptical,0.122292176,0.02425177,0.0143849915,1,0,0,1,0
59,1,cross_modal_break,elliptical,0.030262632,0.0139561435,0.041153554,0,0,1,0,1
60,1,spectral_outlier,starburst,9.793639,4.5007353,0.0007239198,1,1,0,0,0
61,1,spectral_outlier,spiral,2.8179784,0.6390583,0.005533181,1,1,0,0,0
62,1,spectral_outlier,starburst,2.5862205,0.5351236,0.010197234,1,1,0,0,0
63,1,spectral_outlier,agn,6.7802253,1.1271791,0.00044805338,1,1,0,0,0
64,1,cross_modal_break,starburst,0.26896626,0.035129514,0.17910571,1,0,1,0,0
65,1,hybrid_subtle,starburst,0.3763142,0.6696179,0.013644258,1,1,0,0,0
66,1,spectral_outlier,starburst,2.380544,0.6929498,0.0013374247,1,1,0,0,0
67,1,cross_modal_break,spiral,0.069102265,0.019960027,0.0145199215,1,0,0,1,0
68,1,color_mismatch,elliptical,0.08140189,0.013086253,0.011197733,1,0,0,1,0
69,1,color_mismatch,spiral,0.04709172,0.021810329,0.01763762,0,0,0,0,0
70,1,hybrid_subtle,elliptical,0.14662467,0.03001122,0.16052277,1,0,1,0,0
71,1,cross_modal_break,spiral,0.079495035,0.017913446,0.016922174,1,0,0,1,0
72,1,color_mismatch,star,0.14575575,0.03542633,0.015226386,1,0,0,1,0
73,1,color_mismatch,elliptical,0.23443508,0.03453482,0.026581306,1,0,0,1,0
74,1,cross_modal_break,elliptical,0.108890176,0.018672042,0.06434598,1,0,1,0,0
75,1,hybrid_subtle,spiral,0.30291662,0.27917194,0.05010727,1,1,1,0,0
76,1,cross_modal_break,spiral,0.04993568,0.007778508,0.08089167,0,0,1,0,1
77,1,spectral_outlier,starburst,4.4537683,0.76131177,0.0023436937,1,1,0,0,0
78,1,color_mismatch,starburst,0.14833517,0.02086974,0.006932247,1,0,0,1,0
79,1,spectral_outlier,agn,2.9129493,0.7026162,0.00036164903,1,1,0,0,0
80,1,hybrid_subtle,starburst,0.3804596,0.12313244,0.041594982,1,1,1,0,0
81,1,spectral_outlier,spiral,5.534466,1.355273,0.0016271885,1,1,0,0,0
82,1,cross_modal_break,agn,0.2710556,0.015433146,0.07110796,1,0,1,0,0
83,1,hybrid_subtle,elliptical,0.27790624,0.11881333,0.06962152,1,1,1,0,0
84,1,spectral_outlier,elliptical,4.082465,5.9733067,0.0059415936,1,1,0,0,0
85,1,cross_modal_break,elliptical,0.112619944,0.0068523563,0.038724013,1,0,1,0,0
86,1,color_mismatch,agn,0.18065584,0.04931821,0.005563044,1,1,0,0,0
87,1,hybrid_subtle,spiral,0.48257312,0.11599915,0.042447988,1,1,1,0,0
88,1,cross_modal_break,elliptical,0.06800522,0.027100325,0.09285392,1,0,1,0,0
89,1,cross_modal_break,spiral,0.056178056,0.0092563825,0.031229228,1,0,0,1,0
