index,label,anomaly_type,obj_type,err_joint,err_spectral,err_photometry,anom_joint,anom_spectral,anom_photometry,joint_only,single_only
636,1,cross_modal_break,starburst,0.39978093,0.020267874,0.030094584,1,0,0,1,0
259,1,color_mismatch,starburst,0.3402652,0.031873655,0.00809942,1,0,0,1,0
163,1,color_mismatch,elliptical,0.33576614,0.010169193,0.015609604,1,0,0,1,0
786,1,color_mismatch,agn,0.31420466,0.028845515,0.0083522415,1,0,0,1,0
732,1,color_mismatch,elliptical,0.30965245,0.013659797,0.020537982,1,0,0,1,0
607,1,color_mismatch,elliptical,0.3055535,0.017586615,0.01634423,1,0,0,1,0
332,1,color_mismatch,starburst,0.30015045,0.012771436,0.018079063,1,0,0,1,0
253,1,color_mismatch,elliptical,0.29170558,0.018131115,0.0040810183,1,0,0,1,0
155,1,color_mismatch,starburst,0.29124168,0.021497991,0.0038589195,1,0,0,1,0
317,1,color_mismatch,starburst,0.29092652,0.009975901,0.03164608,1,0,0,1,0
705,1,color_mismatch,starburst,0.2883363,0.013828233,0.014655523,1,0,0,1,0
678,1,color_mismatch,elliptical,0.28689936,0.010001905,0.027500678,1,0,0,1,0
840,1,color_mismatch,elliptical,0.28435263,0.010235507,0.01843064,1,0,0,1,0
307,1,color_mismatch,starburst,0.28424016,0.020330343,0.00940782,1,0,0,1,0
135,1,color_mismatch,elliptical,0.28165936,0.012812679,0.0116101345,1,0,0,1,0
455,1,color_mismatch,elliptical,0.27900082,0.008489749,0.015815726,1,0,0,1,0
724,1,color_mismatch,elliptical,0.27238995,0.019205322,0.018627023,1,0,0,1,0
12,1,color_mismatch,starburst,0.2669272,0.023413876,0.026592223,1,0,0,1,0
348,1,color_mismatch,starburst,0.266372,0.028713193,0.016406402,1,0,0,1,0
300,1,color_mismatch,agn,0.25599048,0.017103579,0.01794607,1,0,0,1,0
878,1,cross_modal_break,starburst,0.2538758,0.013392834,0.02621021,1,0,0,1,0
794,1,color_mismatch,elliptical,0.2534551,0.025165595,0.0048952037,1,0,0,1,0
90,1,color_mismatch,elliptical,0.25107294,0.0070069665,0.0053287777,1,0,0,1,0
101,1,color_mismatch,starburst,0.25062928,0.034902856,0.0011975466,1,0,0,1,0
159,1,color_mismatch,agn,0.25039807,0.015137418,0.0054502683,1,0,0,1,0
639,1,color_mismatch,star,0.24335596,0.025326863,0.013092959,1,0,0,1,0
715,1,color_mismatch,elliptical,0.23714595,0.01019706,0.012273088,1,0,0,1,0
567,1,color_mismatch,elliptical,0.23596686,0.012959169,0.029572282,1,0,0,1,0
73,1,color_mismatch,elliptical,0.23443508,0.03453482,0.026581306,1,0,0,1,0
564,1,color_mismatch,starburst,0.225661,0.02263103,0.031111166,1,0,0,1,0
374,1,color_mismatch,elliptical,0.22549586,0.0085978545,0.0026708345,1,0,0,1,0
889,1,color_mismatch,starburst,0.22532508,0.03380583,0.020565173,1,0,0,1,0
392,1,color_mismatch,starburst,0.2228846,0.017075391,0.026309384,1,0,0,1,0
380,1,cross_modal_break,starburst,0.21962517,0.017610725,0.027327914,1,0,0,1,0
261,1,color_mismatch,agn,0.21881424,0.014866175,0.020891935,1,0,0,1,0
831,1,color_mismatch,starburst,0.21867892,0.013515406,0.017878762,1,0,0,1,0
345,1,color_mismatch,agn,0.21700466,0.025149088,0.0124161905,1,0,0,1,0
537,1,color_mismatch,elliptical,0.201936,0.017176073,0.03005972,1,0,0,1,0
187,1,color_mismatch,elliptical,0.20024365,0.007967121,0.017815603,1,0,0,1,0
393,1,cross_modal_break,starburst,0.19999784,0.018120347,0.0219892,1,0,0,1,0
535,1,color_mismatch,elliptical,0.19799715,0.015466964,0.018485632,1,0,0,1,0
424,1,cross_modal_break,starburst,0.1946809,0.010344066,0.029365737,1,0,0,1,0
552,1,color_mismatch,elliptical,0.19343992,0.015372926,0.026515802,1,0,0,1,0
282,1,cross_modal_break,elliptical,0.18540098,0.006680005,0.033658963,1,0,0,1,0
892,1,color_mismatch,elliptical,0.18066797,0.025967827,0.028767807,1,0,0,1,0
326,1,cross_modal_break,agn,0.1775958,0.017247764,0.022196727,1,0,0,1,0
777,1,color_mismatch,elliptical,0.1737835,0.033767063,0.0282884,1,0,0,1,0
742,1,color_mismatch,star,0.17010354,0.016935177,0.002324824,1,0,0,1,0
648,1,color_mismatch,starburst,0.16806874,0.019944686,0.0020837307,1,0,0,1,0
255,1,color_mismatch,agn,0.16678494,0.019212753,0.027795691,1,0,0,1,0
397,1,cross_modal_break,spiral,0.16678439,0.00787982,0.030501394,1,0,0,1,0
375,1,color_mismatch,elliptical,0.16650818,0.024490958,0.019882439,1,0,0,1,0
404,1,color_mismatch,star,0.1630866,0.010531669,0.0009541327,1,0,0,1,0
696,1,color_mismatch,agn,0.16165896,0.008744133,0.016298106,1,0,0,1,0
824,1,color_mismatch,agn,0.16113965,0.016949082,0.023566505,1,0,0,1,0
791,1,color_mismatch,spiral,0.15962505,0.026117329,0.0058855037,1,0,0,1,0
781,1,cross_modal_break,star,0.15792741,0.014626885,0.008577252,1,0,0,1,0
646,1,color_mismatch,elliptical,0.15676816,0.0145899905,0.026737673,1,0,0,1,0
284,1,color_mismatch,starburst,0.15596887,0.018815715,0.0033282058,1,0,0,1,0
221,1,color_mismatch,spiral,0.1556564,0.023046779,0.019115964,1,0,0,1,0
692,1,color_mismatch,elliptical,0.15538128,0.0143374475,0.023595316,1,0,0,1,0
316,1,color_mismatch,spiral,0.15478767,0.020071324,0.01834843,1,0,0,1,0
849,1,cross_modal_break,star,0.15474947,0.01318128,0.02616543,1,0,0,1,0
223,1,color_mismatch,star,0.15467419,0.028884932,0.028046558,1,0,0,1,0
886,1,color_mismatch,spiral,0.15158232,0.016755,0.0038616478,1,0,0,1,0
782,1,color_mismatch,spiral,0.14886329,0.01345896,0.013995345,1,0,0,1,0
484,1,color_mismatch,elliptical,0.14883368,0.011907574,0.028308058,1,0,0,1,0
78,1,color_mismatch,starburst,0.14833517,0.02086974,0.006932247,1,0,0,1,0
32,1,color_mismatch,spiral,0.14831908,0.026505679,0.008635501,1,0,0,1,0
72,1,color_mismatch,star,0.14575575,0.03542633,0.015226386,1,0,0,1,0
668,1,color_mismatch,spiral,0.14226666,0.015064981,0.0073934034,1,0,0,1,0
147,1,color_mismatch,spiral,0.14223258,0.02134205,0.014291792,1,0,0,1,0
171,1,color_mismatch,spiral,0.14148556,0.013148693,0.011163502,1,0,0,1,0
555,1,color_mismatch,elliptical,0.1413234,0.0101868715,0.03207931,1,0,0,1,0
697,1,color_mismatch,starburst,0.14118023,0.0075032106,0.003765642,1,0,0,1,0
798,1,color_mismatch,agn,0.14101999,0.02214577,0.00056117174,1,0,0,1,0
514,1,color_mismatch,spiral,0.1406585,0.028091617,0.024920372,1,0,0,1,0
771,1,color_mismatch,starburst,0.14030135,0.035095982,0.019581838,1,0,0,1,0
216,1,color_mismatch,elliptical,0.13873309,0.007546511,0.021245092,1,0,0,1,0
302,1,cross_modal_break,spiral,0.13860478,0.015857138,0.01659983,1,0,0,1,0
800,1,color_mismatch,agn,0.13842951,0.027931985,0.0016133288,1,0,0,1,0
623,1,color_mismatch,spiral,0.13779087,0.0071804086,0.012246281,1,0,0,1,0
616,1,color_mismatch,agn,0.13690907,0.025252514,0.0025904486,1,0,0,1,0
556,1,color_mismatch,spiral,0.13648732,0.011138685,0.0036795519,1,0,0,1,0
866,1,cross_modal_break,star,0.1358038,0.022925265,0.018513935,1,0,0,1,0
353,1,cross_modal_break,starburst,0.13393305,0.020374123,0.01871832,1,0,0,1,0
830,1,color_mismatch,starburst,0.13307539,0.024268182,0.0014608413,1,0,0,1,0
574,1,color_mismatch,star,0.13244148,0.020215914,0.00474575,1,0,0,1,0
788,1,color_mismatch,agn,0.13165224,0.034646243,0.0010535355,1,0,0,1,0
144,1,color_mismatch,spiral,0.13158193,0.016982615,0.002726433,1,0,0,1,0
45,1,color_mismatch,agn,0.13142309,0.019645218,0.009733657,1,0,0,1,0
600,1,cross_modal_break,spiral,0.13078797,0.024783805,0.010710568,1,0,0,1,0
164,1,color_mismatch,starburst,0.12997949,0.021641577,0.01800571,1,0,0,1,0
785,1,cross_modal_break,spiral,0.129733,0.024950348,0.006245827,1,0,0,1,0
295,1,color_mismatch,star,0.12898968,0.017723054,0.02739647,1,0,0,1,0
893,1,color_mismatch,elliptical,0.12890966,0.01898554,0.020348588,1,0,0,1,0
16,1,cross_modal_break,starburst,0.1286817,0.021175075,0.029088432,1,0,0,1,0
570,1,color_mismatch,spiral,0.12854344,0.009322668,0.006032658,1,0,0,1,0
693,1,cross_modal_break,spiral,0.12835129,0.016173687,0.0311579,1,0,0,1,0
842,1,color_mismatch,spiral,0.12754424,0.0039611445,0.020001886,1,0,0,1,0
234,1,color_mismatch,star,0.12734763,0.012102189,0.008144028,1,0,0,1,0
731,1,color_mismatch,elliptical,0.12682982,0.012852527,0.016322449,1,0,0,1,0
718,1,color_mismatch,starburst,0.12657385,0.01770088,0.00797409,1,0,0,1,0
379,1,color_mismatch,agn,0.12576076,0.02353543,0.020657614,1,0,0,1,0
469,1,color_mismatch,spiral,0.1232389,0.01356525,0.0012982319,1,0,0,1,0
274,1,color_mismatch,starburst,0.12241623,0.025450516,0.0043044887,1,0,0,1,0
583,1,color_mismatch,spiral,0.12233421,0.010055363,0.014690374,1,0,0,1,0
58,1,color_mismatch,elliptical,0.122292176,0.02425177,0.0143849915,1,0,0,1,0
150,1,color_mismatch,agn,0.12225113,0.015990218,0.003660831,1,0,0,1,0
368,1,color_mismatch,spiral,0.121549,0.020100623,0.00654366,1,0,0,1,0
730,1,color_mismatch,spiral,0.12042595,0.012188222,0.024881322,1,0,0,1,0
256,1,color_mismatch,agn,0.11926328,0.023991626,0.0073953033,1,0,0,1,0
754,1,color_mismatch,starburst,0.11835806,0.02263127,0.010568713,1,0,0,1,0
670,1,color_mismatch,elliptical,0.118197456,0.023830492,0.0033197596,1,0,0,1,0
581,1,color_mismatch,spiral,0.117660485,0.013725207,0.011982197,1,0,0,1,0
653,1,color_mismatch,elliptical,0.11647846,0.023731306,0.032064088,1,0,0,1,0
527,1,color_mismatch,star,0.11628737,0.029961625,0.015566832,1,0,0,1,0
194,1,cross_modal_break,elliptical,0.1160596,0.009141386,0.025132058,1,0,0,1,0
450,1,color_mismatch,elliptical,0.11567213,0.01347834,0.028469384,1,0,0,1,0
896,1,hybrid_subtle,spiral,0.1154422,0.021939253,0.015130517,1,0,0,1,0
140,1,color_mismatch,spiral,0.11543059,0.017169427,0.023132157,1,0,0,1,0
415,1,color_mismatch,elliptical,0.11543044,0.025864718,0.0041610445,1,0,0,1,0
304,1,color_mismatch,star,0.11454624,0.016507898,0.0075908015,1,0,0,1,0
413,1,color_mismatch,star,0.112141185,0.021492068,0.004132475,1,0,0,1,0
40,1,cross_modal_break,spiral,0.11205733,0.016648475,0.0052490383,1,0,0,1,0
