index,label,plate_id,spec_type,err_sdss_native,err_desi_transfer,anom_sdss,anom_desi,sdss_only,desi_only
1006,1,42,galaxy,0.0053986404,0.017714247,0,1,0,1
1135,1,2,galaxy,0.005274628,0.01482976,0,1,0,1
865,1,34,galaxy,0.002019191,0.013913724,0,1,0,1
1033,1,15,galaxy,0.0030358592,0.013037435,0,1,0,1
877,1,37,galaxy,0.004313627,0.012579404,0,1,0,1
224,1,36,galaxy,0.0057152184,0.012202691,0,1,0,1
943,1,23,galaxy,0.006077103,0.012190089,0,1,0,1
330,1,27,galaxy,0.004819545,0.0119253015,0,1,0,1
665,1,34,galaxy,0.005733428,0.011455058,0,1,0,1
414,1,0,galaxy,0.005337134,0.011353557,0,1,0,1
537,1,5,galaxy,0.0047187717,0.011349428,0,1,0,1
815,1,41,galaxy,0.0043452648,0.0110310465,0,1,0,1
398,1,14,galaxy,0.0061582257,0.01071637,0,1,0,1
111,1,39,galaxy,0.0038329076,0.010377516,0,1,0,1
539,1,1,galaxy,0.004858952,0.010315982,0,1,0,1
172,1,38,star,0.001593599,0.0103083765,0,1,0,1
1181,1,46,star,0.002513312,0.010258785,0,1,0,1
546,1,21,star,0.005359606,0.010123759,0,1,0,1
1063,1,35,galaxy,0.003207452,0.010112689,0,1,0,1
636,1,11,qso,0.0044010007,0.009893048,0,1,0,1
304,1,27,galaxy,0.0034614732,0.009787703,0,1,0,1
659,1,14,star,0.0014018434,0.009751806,0,1,0,1
136,1,30,galaxy,0.005072506,0.009690892,0,1,0,1
1195,1,31,qso,0.004076374,0.009566814,0,1,0,1
939,1,25,galaxy,0.0022448725,0.009553237,0,1,0,1
392,1,18,galaxy,0.00402699,0.009534473,0,1,0,1
734,1,10,star,0.0017386738,0.00944512,0,1,0,1
420,1,46,galaxy,0.002179305,0.009323542,0,1,0,1
592,1,11,galaxy,0.0016855187,0.009280644,0,1,0,1
843,1,1,galaxy,0.0049725287,0.00899429,0,1,0,1
163,1,20,qso,0.005507364,0.008983807,0,1,0,1
1178,1,12,star,0.0046157227,0.008903233,0,1,0,1
1113,1,14,star,0.0017926891,0.0088282395,0,1,0,1
483,1,39,galaxy,0.004263362,0.008824969,0,1,0,1
562,1,24,galaxy,0.0027977582,0.0088121025,0,1,0,1
801,1,15,star,0.004833193,0.008753791,0,1,0,1
791,1,22,galaxy,0.0047704624,0.008676858,0,1,0,1
302,1,0,galaxy,0.00538468,0.008640278,0,1,0,1
342,1,31,galaxy,0.002022812,0.008636551,0,1,0,1
698,1,2,galaxy,0.004911893,0.008482308,0,1,0,1
109,1,35,star,0.0023824798,0.00843138,0,1,0,1
1174,1,0,star,0.003929934,0.008341794,0,1,0,1
261,1,8,galaxy,0.0030794994,0.008247501,0,1,0,1
680,1,36,star,0.004902518,0.008234191,0,1,0,1
575,1,18,galaxy,0.0021688428,0.008213475,0,1,0,1
212,1,39,galaxy,0.0013380419,0.008181587,0,1,0,1
1017,1,24,galaxy,0.0032520343,0.008107381,0,1,0,1
540,1,35,star,0.002732897,0.008078617,0,1,0,1
796,1,48,galaxy,0.0034676285,0.008042014,0,1,0,1
293,1,16,qso,0.0022276798,0.008040456,0,1,0,1
767,1,23,galaxy,0.0015986131,0.008009476,0,1,0,1
1124,1,42,galaxy,0.004643161,0.007999857,0,1,0,1
655,1,26,star,0.003820145,0.007986589,0,1,0,1
528,1,45,galaxy,0.0056583392,0.0079835085,0,1,0,1
585,1,46,galaxy,0.0033666631,0.007916465,0,1,0,1
1066,1,46,qso,0.0021400664,0.007838358,0,1,0,1
359,1,37,galaxy,0.0023291036,0.0077753165,0,1,0,1
858,1,33,galaxy,0.0029276568,0.00776374,0,1,0,1
137,1,1,galaxy,0.0049391696,0.0077411216,0,1,0,1
1097,1,37,galaxy,0.0040106014,0.007634417,0,1,0,1
690,1,49,galaxy,0.00554077,0.0076325717,0,1,0,1
786,1,1,galaxy,0.0048124306,0.007595986,0,1,0,1
481,1,41,galaxy,0.0029792949,0.0075930064,0,1,0,1
449,1,14,star,0.0013034067,0.007592186,0,1,0,1
816,1,2,galaxy,0.0047641234,0.0074772076,0,1,0,1
26350,0,2,galaxy,0.006460822,0.007416897,0,1,0,1
256,1,33,qso,0.0034033803,0.0074051223,0,1,0,1
1054,1,3,galaxy,0.0036038742,0.0073895766,0,1,0,1
217,1,4,star,0.006117908,0.00738658,0,1,0,1
628,1,25,star,0.005852237,0.0073600095,0,1,0,1
46074,0,2,galaxy,0.0064232107,0.007354697,0,1,0,1
32788,0,1,galaxy,0.0064690565,0.007339794,0,1,0,1
46885,0,49,galaxy,0.0064387163,0.0073361867,0,1,0,1
2172,0,49,galaxy,0.0060455906,0.0072889156,0,1,0,1
489,1,30,galaxy,0.0034396173,0.00722951,0,1,0,1
573,1,2,qso,0.0022559639,0.007225572,0,1,0,1
28898,0,0,galaxy,0.0063999305,0.0072125345,0,1,0,1
24276,0,0,galaxy,0.006434869,0.00719303,0,1,0,1
36721,0,30,galaxy,0.0062773535,0.0071842475,0,1,0,1
48582,0,26,galaxy,0.006307383,0.0071754497,0,1,0,1
864,1,42,galaxy,0.005378981,0.0071709836,0,1,0,1
898,1,3,galaxy,0.0055243648,0.007150489,0,1,0,1
317,1,36,galaxy,0.0041822777,0.00714931,0,1,0,1
18126,0,9,galaxy,0.006318091,0.0071457406,0,1,0,1
15625,0,35,galaxy,0.005678934,0.0071451594,0,1,0,1
25970,0,16,galaxy,0.0063951514,0.007100913,0,1,0,1
441,1,15,galaxy,0.0050863125,0.0070973136,0,1,0,1
906,1,20,qso,0.002713773,0.007093572,0,1,0,1
5371,0,36,galaxy,0.006109541,0.0070872884,0,1,0,1
682,1,47,star,0.0042519076,0.00708613,0,1,0,1
1247,1,23,galaxy,0.0033818479,0.0070853494,0,1,0,1
21990,0,1,galaxy,0.006323069,0.007084303,0,1,0,1
5,1,42,star,0.0056101847,0.007083377,0,1,0,1
5773,0,1,galaxy,0.0062878644,0.007081487,0,1,0,1
365,1,25,galaxy,0.004561722,0.007079584,0,1,0,1
488,1,38,qso,0.003632997,0.0070581213,0,1,0,1
6186,0,19,galaxy,0.0063937255,0.0070487736,0,1,0,1
24538,0,2,galaxy,0.006421745,0.0070411433,0,1,0,1
1064,1,37,galaxy,0.0041257124,0.007036123,0,1,0,1
24332,0,5,galaxy,0.006344865,0.0070320885,0,1,0,1
49611,0,45,galaxy,0.006302331,0.0070266607,0,1,0,1
37526,0,0,galaxy,0.0064265784,0.0070196046,0,1,0,1
4152,0,45,galaxy,0.0063578016,0.0070191044,0,1,0,1
37965,0,1,galaxy,0.006167324,0.007017853,0,1,0,1
3165,0,20,galaxy,0.0063036247,0.007006908,0,1,0,1
25409,0,19,galaxy,0.006472334,0.0070060645,0,1,0,1
31410,0,48,galaxy,0.0064633773,0.0070057325,0,1,0,1
33350,0,12,galaxy,0.006326099,0.0070048654,0,1,0,1
42608,0,30,galaxy,0.006461077,0.006997117,0,1,0,1
17428,0,19,galaxy,0.006397651,0.0069970414,0,1,0,1
16372,0,48,galaxy,0.0064678965,0.006991422,0,1,0,1
48581,0,27,galaxy,0.006163665,0.00698636,0,1,0,1
40282,0,27,galaxy,0.0063342755,0.0069807423,0,1,0,1
8913,0,7,galaxy,0.0064409985,0.0069799176,0,1,0,1
48368,0,19,galaxy,0.0060621486,0.0069713662,0,1,0,1
152,1,45,galaxy,0.0043204585,0.006968235,0,1,0,1
204,1,22,qso,0.0020785483,0.006967169,0,1,0,1
42051,0,20,galaxy,0.0061787637,0.006965184,0,1,0,1
17375,0,12,galaxy,0.0063042035,0.006961977,0,1,0,1
868,1,22,galaxy,0.0051174024,0.006960325,0,1,0,1
32912,0,12,galaxy,0.0060991747,0.0069577144,0,1,0,1
18994,0,30,galaxy,0.0062998654,0.00695756,0,1,0,1
17737,0,20,galaxy,0.0063824207,0.0069474042,0,1,0,1
9565,0,45,galaxy,0.0062916433,0.0069411453,0,1,0,1
482,1,12,galaxy,0.003828776,0.006938985,0,1,0,1
66,1,45,galaxy,0.0041146213,0.0069374056,0,1,0,1
852,1,48,galaxy,0.0057549113,0.006931105,0,1,0,1
179,1,25,galaxy,0.0030749426,0.0069310125,0,1,0,1
12373,0,35,galaxy,0.0064259837,0.006929171,0,1,0,1
1233,1,37,galaxy,0.0062694927,0.0069261985,0,1,0,1
38168,0,0,galaxy,0.0059640245,0.0069257347,0,1,0,1
33387,0,7,galaxy,0.006213796,0.006922253,0,1,0,1
26220,0,37,galaxy,0.006258388,0.0069185393,0,1,0,1
23440,0,2,galaxy,0.0063966336,0.006914429,0,1,0,1
19328,0,26,galaxy,0.0061694547,0.0069092805,0,1,0,1
32130,0,1,galaxy,0.006376416,0.006908547,0,1,0,1
3311,0,20,galaxy,0.006401236,0.0069072037,0,1,0,1
2222,0,1,galaxy,0.006238525,0.0069059394,0,1,0,1
40267,0,12,galaxy,0.0062472937,0.0069057895,0,1,0,1
14653,0,48,galaxy,0.006436303,0.0069050766,0,1,0,1
3731,0,42,galaxy,0.006250227,0.0069027003,0,1,0,1
6018,0,37,galaxy,0.006372198,0.0068985918,0,1,0,1
1120,1,0,galaxy,0.0048787133,0.006894294,0,1,0,1
6198,0,7,galaxy,0.006315457,0.0068913708,0,1,0,1
35663,0,7,galaxy,0.006436599,0.006889481,0,1,0,1
24691,0,20,galaxy,0.0060927533,0.006888619,0,1,0,1
44461,0,37,galaxy,0.0063280547,0.006887792,0,1,0,1
429,1,35,galaxy,0.004748505,0.006886968,0,1,0,1
34562,0,20,galaxy,0.006318981,0.0068778936,0,1,0,1
12360,0,1,galaxy,0.006382998,0.00687585,0,1,0,1
18710,0,8,galaxy,0.006341653,0.006871615,0,1,0,1
149,1,2,galaxy,0.004181735,0.0068713706,0,1,0,1
6503,0,27,galaxy,0.0064108423,0.0068680444,0,1,0,1
15330,0,30,galaxy,0.006342144,0.0068675485,0,1,0,1
40669,0,5,galaxy,0.006339928,0.006867403,0,1,0,1
48717,0,45,galaxy,0.0063973223,0.0068598837,0,1,0,1
36585,0,45,galaxy,0.0064611677,0.0068588965,0,1,0,1
34759,0,24,qso,0.0064553386,0.0068553374,0,1,0,1
18681,0,2,star,0.0063947816,0.006852657,0,1,0,1
6411,0,20,galaxy,0.0064687007,0.0068417503,0,1,0,1
24008,0,24,galaxy,0.0063933833,0.0068387813,0,1,0,1
32956,0,0,galaxy,0.0063325195,0.006837107,0,1,0,1
40667,0,12,galaxy,0.0064508854,0.0068352297,0,1,0,1
9518,0,45,galaxy,0.006383181,0.0068325247,0,1,0,1
24882,0,16,galaxy,0.0049205474,0.0068324264,0,1,0,1
44505,0,33,galaxy,0.0062179025,0.0068315025,0,1,0,1
37655,0,20,galaxy,0.0064296112,0.0068282555,0,1,0,1
4750,0,2,galaxy,0.0057620606,0.00682226,0,1,0,1
35897,0,12,galaxy,0.006377004,0.0068204426,0,1,0,1
30316,0,12,galaxy,0.0062831407,0.0068182023,0,1,0,1
27215,0,48,galaxy,0.0064342734,0.0068171476,0,1,0,1
33777,0,4,galaxy,0.006450323,0.0068140263,0,1,0,1
19886,0,15,galaxy,0.006302599,0.0068128468,0,1,0,1
6351,0,2,galaxy,0.006431946,0.0068095326,0,1,0,1
