index,label,plate_id,spec_type,err_sdss_native,err_desi_transfer,anom_sdss,anom_desi,sdss_only,desi_only
19715,0,30,star,0.006637602,0.0066831056,1,0,1,0
40891,0,20,star,0.006633702,0.0067159226,1,0,1,0
994,1,26,star,0.006628406,0.0067109535,1,0,1,0
7084,0,27,star,0.006622873,0.0066502756,1,0,1,0
12189,0,48,star,0.0066209906,0.0067012534,1,0,1,0
41647,0,30,star,0.0066189384,0.006710962,1,0,1,0
8644,0,2,star,0.0066180592,0.0067198365,1,0,1,0
1665,0,19,star,0.0066116243,0.0067196763,1,0,1,0
31881,0,20,star,0.0066077816,0.006704043,1,0,1,0
228,1,27,star,0.0066019082,0.006665132,1,0,1,0
4077,0,30,star,0.006601538,0.006650008,1,0,1,0
7383,0,30,star,0.006601469,0.006674827,1,0,1,0
14691,0,26,star,0.0066012177,0.0067138383,1,0,1,0
25432,0,1,star,0.0065892595,0.006633456,1,0,1,0
42348,0,27,star,0.0065890187,0.0066550095,1,0,1,0
2143,0,30,star,0.0065884455,0.006690377,1,0,1,0
13951,0,1,star,0.0065882457,0.0066741193,1,0,1,0
25702,0,8,star,0.0065839333,0.0067116735,1,0,1,0
49906,0,37,star,0.0065828585,0.0066639837,1,0,1,0
18513,0,26,star,0.0065820822,0.0066510555,1,0,1,0
45879,0,2,star,0.006578982,0.006690541,1,0,1,0
18805,0,26,star,0.0065777716,0.0066796173,1,0,1,0
16806,0,26,star,0.006576505,0.0066654277,1,0,1,0
8860,0,48,star,0.0065753884,0.00670834,1,0,1,0
17014,0,30,star,0.0065741357,0.0066294274,1,0,1,0
44407,0,26,star,0.0065725246,0.006705909,1,0,1,0
33165,0,0,star,0.0065719094,0.0067095337,1,0,1,0
11190,0,12,star,0.006565488,0.0066944286,1,0,1,0
10421,0,22,star,0.0065645915,0.006693371,1,0,1,0
38140,0,48,star,0.0065637724,0.006697385,1,0,1,0
28142,0,2,star,0.0065633766,0.006628796,1,0,1,0
41398,0,30,star,0.0065632756,0.0066089407,1,0,1,0
4164,0,35,star,0.0065621934,0.006683674,1,0,1,0
28266,0,27,star,0.006561736,0.006658219,1,0,1,0
23156,0,1,star,0.006560071,0.0066499673,1,0,1,0
25374,0,0,star,0.006559415,0.006709554,1,0,1,0
27984,0,1,star,0.006559145,0.0066528274,1,0,1,0
6028,0,26,star,0.006555623,0.0066573014,1,0,1,0
1975,0,2,star,0.00655505,0.0066461116,1,0,1,0
37128,0,7,star,0.006554852,0.006685585,1,0,1,0
44846,0,2,star,0.0065546907,0.0066224206,1,0,1,0
38439,0,16,star,0.006553414,0.006714308,1,0,1,0
7326,0,12,star,0.006553362,0.0066426224,1,0,1,0
42570,0,26,star,0.006552539,0.00671787,1,0,1,0
33202,0,37,star,0.0065517654,0.006657254,1,0,1,0
4160,0,20,star,0.00655065,0.00664454,1,0,1,0
11099,0,22,star,0.0065488988,0.006619301,1,0,1,0
11709,0,2,star,0.006548285,0.006662888,1,0,1,0
19172,0,0,star,0.006544509,0.0066663083,1,0,1,0
29615,0,0,star,0.0065427753,0.0066777393,1,0,1,0
36547,0,19,star,0.006540888,0.006701547,1,0,1,0
28229,0,20,star,0.0065405574,0.006669653,1,0,1,0
46023,0,0,star,0.0065402985,0.0066508395,1,0,1,0
29782,0,22,star,0.006539973,0.0067119393,1,0,1,0
48493,0,26,star,0.0065377518,0.006692696,1,0,1,0
5239,0,45,star,0.006536842,0.006664721,1,0,1,0
29458,0,2,star,0.0065361816,0.006624524,1,0,1,0
42220,0,37,star,0.0065359776,0.006699529,1,0,1,0
27453,0,22,star,0.0065359483,0.006671852,1,0,1,0
9777,0,19,star,0.0065356316,0.0066900593,1,0,1,0
2692,0,45,star,0.0065349047,0.0066198525,1,0,1,0
19457,0,30,star,0.006533867,0.0067081954,1,0,1,0
22392,0,2,star,0.006533406,0.0065872604,1,0,1,0
33967,0,2,star,0.006532117,0.0066193533,1,0,1,0
16938,0,37,star,0.006530946,0.006657023,1,0,1,0
13069,0,22,star,0.0065307715,0.006714848,1,0,1,0
26750,0,32,star,0.0065305796,0.0067036552,1,0,1,0
40491,0,2,star,0.0065296274,0.0066213193,1,0,1,0
6522,0,7,star,0.006529415,0.0066903383,1,0,1,0
47128,0,26,star,0.0065284683,0.0066352296,1,0,1,0
36985,0,0,star,0.0065282597,0.006575972,1,0,1,0
7861,0,26,star,0.006527896,0.006614982,1,0,1,0
36406,0,48,star,0.0065265703,0.006653501,1,0,1,0
26304,0,22,star,0.0065252795,0.0066828136,1,0,1,0
44291,0,12,star,0.0065248557,0.0066137887,1,0,1,0
48220,0,0,star,0.006523345,0.0066229943,1,0,1,0
