epoch,train_loss,train_acc,val_loss,val_acc
1,0.7554,0.6481,0.5079,0.6905
2,0.4965,0.7083,0.4917,0.7185
3,0.4818,0.7204,0.493,0.6915
4,0.4772,0.7209,0.4913,0.693
5,0.4741,0.7184,0.4881,0.7185
6,0.4708,0.7286,0.4887,0.7175
7,0.4715,0.7228,0.4886,0.71
8,0.463,0.7416,0.4905,0.717
9,0.4525,0.7601,0.4971,0.7135
10,0.422,0.7909,0.5143,0.716
11,0.3545,0.8281,0.6058,0.7135
12,0.2905,0.8705,0.7117,0.716
13,0.191,0.9221,0.8635,0.703
14,0.1397,0.9474,1.1212,0.715
15,0.0817,0.9711,1.9125,0.71
16,0.0575,0.9806,1.5595,0.715
17,0.0404,0.9882,1.7453,0.7135
18,0.0225,0.9941,1.8939,0.71
19,0.0211,0.9955,2.0355,0.7095
20,0.0092,0.9984,2.208,0.7095
21,0.0066,0.9991,2.0941,0.713
22,0.0039,0.9994,2.2402,0.7095
23,0.0033,0.9996,2.3437,0.709
24,0.0027,0.9999,2.3652,0.709
25,0.0024,0.9998,2.3372,0.7085
26,0.0027,0.9996,2.3686,0.709
27,0.0025,0.9996,2.4008,0.7095
28,0.0026,0.9999,2.3553,0.71
29,0.0018,0.9999,2.3835,0.708
30,0.0023,0.9996,2.3705,0.7095
