recon_error,ir_error_frac,label,predicted
0.005557351,0.25451213,normal,normal
0.037633047,0.53238475,normal,normal
0.025838105,0.62169015,normal,normal
0.011038891,0.50425696,normal,normal
0.012289311,0.66100466,normal,normal
0.01657501,0.46732736,normal,normal
0.039842345,0.49469987,normal,normal
0.0045998464,0.71713525,normal,normal
0.062019143,0.64124215,normal,normal
0.020746855,0.4575817,normal,normal
0.037404623,0.5361195,normal,normal
0.005400895,0.51624644,normal,normal
0.037814304,0.58732283,normal,normal
0.0050244,0.17117582,normal,normal
0.007480167,0.44066107,normal,normal
0.011648129,0.6302211,normal,normal
0.0022811792,0.45165598,normal,normal
0.002241721,0.13729508,normal,normal
0.03158603,0.65368074,normal,normal
0.007607386,0.53897077,normal,normal
0.003980892,0.48888648,normal,normal
0.08945474,0.6487534,normal,normal
0.0060030445,0.53453225,normal,normal
0.0035624397,0.30690378,normal,normal
0.014409541,0.6385392,normal,normal
0.008734432,0.42688003,normal,normal
0.016388107,0.5502707,normal,normal
0.00265949,0.35095277,normal,normal
0.029124198,0.37108687,normal,normal
0.049838807,0.6152353,normal,normal
0.0047024917,0.33324116,normal,normal
0.00439333,0.7664025,normal,normal
0.013487355,0.462637,normal,normal
0.027406586,0.5986473,normal,normal
0.0014714687,0.45230916,normal,normal
0.01891722,0.40487167,normal,normal
0.0047254553,0.2670941,normal,normal
0.004156248,0.5048055,normal,normal
0.006772988,0.19292046,normal,normal
0.0014471286,0.34845594,normal,normal
0.012134775,0.32586014,normal,normal
0.004333697,0.5231011,normal,normal
0.029900057,0.47032398,normal,normal
0.0033259965,0.6448485,normal,normal
0.04795096,0.61950517,normal,normal
0.013297781,0.51129776,normal,normal
0.003165192,0.11760793,normal,normal
0.0037320666,0.30873147,normal,normal
0.026231054,0.6375946,normal,normal
0.023238888,0.5057101,normal,normal
0.03266882,0.34336865,normal,normal
0.009639115,0.4038806,normal,normal
0.03387129,0.6047258,normal,normal
0.0069535426,0.6650286,normal,normal
0.061563533,0.60749537,normal,normal
0.033469792,0.63055676,normal,normal
0.0083598355,0.60418665,normal,normal
0.004608037,0.6643507,normal,normal
0.0047750347,0.47564888,normal,normal
0.0027500445,0.25594538,normal,normal
0.005082638,0.6418032,normal,normal
0.006774127,0.39825335,normal,normal
0.006108505,0.39630023,normal,normal
0.0024548648,0.5537036,normal,normal
0.0056349467,0.45794,normal,normal
0.009123993,0.4065414,normal,normal
0.00423239,0.54658675,normal,normal
0.0022790225,0.42992416,normal,normal
0.010499025,0.42067167,normal,normal
0.012956911,0.68652874,normal,normal
0.007631239,0.50649816,normal,normal
0.024027504,0.5216044,normal,normal
0.002737034,0.3705124,normal,normal
0.0025720098,0.36883983,normal,normal
0.0016837983,0.3195017,normal,normal
0.00991321,0.4548284,normal,normal
0.021272438,0.62250775,normal,normal
0.003500267,0.3732353,normal,normal
0.120558135,0.6325681,normal,normal
0.020696303,0.69916195,normal,normal
0.0028873584,0.580452,normal,normal
0.020688772,0.6078237,normal,normal
0.0031670453,0.3315603,normal,normal
0.012491413,0.31132823,normal,normal
0.018104522,0.5622986,normal,normal
0.0057961093,0.29456368,normal,normal
0.008053088,0.6688916,normal,normal
0.01794399,0.67492425,normal,normal
0.0011145293,0.46902198,normal,normal
0.011433376,0.6647257,normal,normal
0.0018186406,0.36596662,normal,normal
0.026259698,0.6797589,normal,normal
0.004386357,0.44441408,normal,normal
0.0040234607,0.5154407,normal,normal
0.050048728,0.603534,normal,normal
0.051004574,0.42214465,normal,normal
0.015994726,0.5779741,normal,normal
0.0019107001,0.3607937,normal,normal
0.04546133,0.5558133,normal,normal
0.0028472606,0.48912004,normal,normal
0.02743225,0.55419886,normal,normal
0.008142399,0.40367618,normal,normal
