z_center,fcw,fcw_err
2.105263157894736795e-02,5.077201256551482356e-01,1.020452290564841753e-03
6.315789473684210731e-02,5.077750818216956175e-01,6.060683637509151024e-04
1.052631578947368363e-01,5.080891287085139707e-01,6.312939151490319688e-04
1.473684210526315930e-01,5.076896936228959545e-01,7.285995184203850929e-04
1.894736842105262942e-01,5.075344529177914232e-01,8.591941731149406502e-04
2.315789473684210509e-01,5.090508988736106577e-01,1.017696727905171260e-03
2.736842105263157521e-01,5.068591148679970626e-01,1.196035731522977199e-03
3.157894736842105088e-01,5.076479190545828413e-01,1.405611651745313937e-03
3.578947368421052655e-01,5.067740793580983727e-01,1.637452103001266765e-03
4.000000000000000222e-01,5.070125126624720480e-01,1.888436365985336285e-03
4.421052631578947234e-01,5.127405391100525733e-01,2.173166103684516515e-03
4.842105263157894801e-01,5.069310361899104223e-01,2.487415530230929241e-03
5.263157894736842923e-01,5.083225008718810223e-01,2.814959201664649080e-03
5.684210526315789380e-01,5.073559460563955570e-01,3.195994441207793135e-03
6.105263157894735837e-01,5.121788283658786911e-01,3.583188995600557463e-03
6.526315789473684514e-01,5.066649494494172012e-01,4.011988429575380662e-03
6.947368421052630971e-01,5.089497861555520863e-01,4.449052472355404138e-03
7.368421052631579649e-01,5.068089430894309189e-01,5.040019098133789906e-03
7.789473684210526105e-01,5.072028811524610381e-01,5.477752872390722824e-03
