tier,targetid,target_ra,target_dec,anomaly_score,z,zwarn,spectype,deltachi2,flux_r,w1_w2,morphtype,gaia_phot_g_mean_mag,survey,program,family_id,cluster_id
FT-A,39627903570285763,247.89528622860487,4.669908635675013,3.4962830605408985,6.087791193358123,0,QSO,23.410387009382248,0.25459253787994385,,PSF,0.0,main,dark,0.0,6.0
FT-A,39627607293039577,201.10136679182716,-7.553336516975153,3.231711406802799,6.063803890675078,0,QSO,135.46354953944683,0.32961511611938477,,PSF,0.0,main,dark,0.0,14.0
FT-A,39628216868014338,239.9283885787028,18.01577398149372,3.06132485887994,5.193758800930653,0,QSO,22.023962132632732,0.07334503531455994,,SER,0.0,main,dark,0.0,6.0
FT-A,39627849358909321,252.47160267966893,2.60072990400137,3.033364329176698,4.3338059788905685,0,QSO,4205.142083585262,0.8864946365356445,,,0.0,main,dark,0.0,6.0
FT-B,103610381762578,223.91433715820312,50.217323303222656,3.1050760764412093,1.1154300119969345,4,GALAXY,1.8674338459968567,0.0,0.8220005035400391,,0.0,sv1,other,3.0,22.0
FT-C,39627812453222421,212.5952922809314,0.9209543013287365,7.1506360059372,1.0798427095175585,0,GALAXY,54.043706805445254,0.5319551229476929,,REX,0.0,sv3,dark,6.0,5.0
FT-C,39627812461610773,213.07783207480364,0.9658390007220918,6.394493587000085,1.186799625617636,0,GALAXY,47.00507989525795,0.4721691310405731,,REX,0.0,sv3,dark,6.0,5.0
FT-C,39627877817258319,149.92219007479088,3.7739580406018414,6.180183383587556,1.1989373634487532,0,GALAXY,58.527009189128876,0.36758261919021606,,REX,0.0,sv3,dark,6.0,5.0
FT-C,39633001079899014,217.9871716306598,36.00150319582155,4.746535147834208,1.3533313340167903,0,GALAXY,122.2014385163784,0.38834625482559204,,REX,0.0,sv3,dark,2.0,21.0
FT-C,39633407088529181,97.49930363101475,61.656638857853984,4.641575475362699,1.309763718521135,0,GALAXY,44.20639458298683,0.17556555569171906,,PSF,0.0,main,dark,5.0,20.0
FT-E,39627812453222421,212.5952922809314,0.9209543013287365,7.1506360059372,1.0798427095175585,0,GALAXY,54.043706805445254,0.5319551229476929,,REX,0.0,sv3,dark,6.0,5.0
FT-E,1070924837158914,252.78765633494365,35.77080830887715,5.319876539454421,0.11555591333080759,4,GALAXY,0.7329640425741673,0.0,,,0.0,sv3,bright,2.0,21.0
FT-E,39633407088529181,97.49930363101475,61.656638857853984,4.641575475362699,1.309763718521135,0,GALAXY,44.20639458298683,0.17556555569171906,,PSF,0.0,main,dark,5.0,20.0
FT-E,1070131593609217,149.69872550668967,0.8355588953417142,4.565228933047037,0.8681768091690059,4,GALAXY,3.571856789290905,0.0,,,0.0,sv3,bright,2.0,13.0
FT-E,39636182677589446,64.05184297017472,-16.74090643653275,4.320934157174128,0.006263061894435663,0,GALAXY,18204.78943683207,75.83722686767578,,SER,0.0,main,bright,0.0,1.0
FT-E,39627748041295714,333.3194906653924,-1.7396111078931402,4.2517795382137,1.4202575597710925,0,GALAXY,31.56563925743103,0.19954286515712738,,PSF,0.0,main,dark,1.0,8.0
FT-E,39633369285264389,275.33969295695226,58.539695802485596,4.115426699716282,0.727843563001142,4,GALAXY,3.489855006337166,0.20134766399860382,,PSF,0.0,main,dark,1.0,12.0
FT-E,1070759501889569,194.4048950091024,27.751037607622155,3.9631559478161003,0.5237426007152468,4,GALAXY,1.2588935047388077,0.0,,,0.0,sv3,bright,4.0,2.0
FT-E,1070259272417281,210.20608910928453,6.121929454757653,3.7620810563754876,0.8731236576549505,4,GALAXY,2.1425999477505684,0.0,,,0.0,sv3,bright,7.0,4.0
FT-E,39627799471853674,158.98597510484535,0.5783825211754324,3.6167456738395063,1.4637498726179656,4,GALAXY,0.6963731199502945,0.01942218467593193,,PSF,0.0,main,dark,0.0,10.0
FT-E,39628361990931280,150.95166975905818,24.436479495189303,3.592524453603954,0.9264120214294433,0,GALAXY,590.2125391960144,0.596563458442688,,DEV,0.0,main,dark,0.0,9.0
FT-E,1070874476150795,217.24189158399653,33.16795106783774,3.533305694058611,0.4713252895911036,4,GALAXY,3.693402796983719,0.0,,,0.0,sv3,bright,3.0,22.0
FT-E,39627903570285763,247.89528622860487,4.669908635675013,3.4962830605408985,6.087791193358123,0,QSO,23.410387009382248,0.25459253787994385,,PSF,0.0,main,dark,0.0,6.0
FT-E,39628507847853660,255.35261142077246,31.363831349188526,3.425843218240137,1.2814133978712292,0,GALAXY,20.280642420053482,0.38112521171569824,,PSF,0.0,main,dark,0.0,16.0
FT-E,39633418778053415,143.59822275421794,62.82237772526027,3.4162014145606783,1.36585728424498,0,GALAXY,82.72912347316742,0.23673348128795624,,PSF,0.0,main,dark,0.0,17.0
FT-E,39633432057219468,96.5415314367101,63.886516195522475,3.3865648723094477,0.9304202294128435,0,GALAXY,220.82451629638672,0.41372817754745483,,REX,0.0,main,dark,1.0,19.0
FT-E,39628387353889221,17.031173985327683,25.767630701459417,3.363038661041412,1.3409742277389656,0,GALAXY,102.75164526700974,0.5623776912689209,,REX,0.0,main,dark,0.0,0.0
FT-E,39627817989705740,182.69435038222986,1.3432781709208654,3.324906746947709,1.2953525269005313,0,GALAXY,48.48265182971954,0.3114449381828308,,PSF,0.0,sv3,dark,0.0,14.0
FT-E,39633062929108448,182.23513441893184,39.178784137382564,3.279144104038697,0.23030021950862545,0,GALAXY,21.586817197035998,0.3699704706668854,,REX,0.0,main,dark,8.0,3.0
FT-E,39633426692703230,98.75150271133722,63.5251512979798,3.264057888205232,0.7160538114253382,4,GALAXY,2.7277335077524185,29.31231117248535,,EXP,0.0,main,bright,0.0,18.0
FT-E,1070090426515458,215.89907216731055,-1.0599414608539341,3.2466830145009244,1.4126731245648345,4,GALAXY,0.8935457564402896,0.0,,,0.0,sv3,bright,4.0,11.0
