ra,dec,tid,score
194.455819,21.730232,-242117190,25.16
156.180693,2.107486,-262397190,24.61
206.638057,9.050749,-242337192,24.53
172.864342,-2.343388,-218427377,24.20
201.287378,-7.662389,-237137377,22.30
99.051627,59.112695,-260408264,20.98
171.254179,-2.086120,-218424222,20.87
195.372686,-5.492670,-252707377,20.50
199.207434,8.654999,-226434222,20.29
194.589991,22.226541,-242117261,20.25
263.841056,42.625420,-240426131,19.96
167.106375,-7.335035,-218354222,19.85
172.674463,-2.484924,-218427261,19.81
212.618192,-2.355503,-248077261,19.45
201.096054,-7.804091,-237137261,19.16
168.386765,-7.662669,-218357192,18.73
211.783783,1.212318,-216814222,18.71
207.128373,-2.547648,-237314222,18.60
153.189967,7.911975,-246427377,18.57
226.888726,21.822664,-11932521,18.49
266.731054,22.653338,-251384222,18.32
244.882129,8.152490,-251414222,18.26
142.639364,-0.699473,-230884222,18.10
239.136243,-0.361763,-232357190,18.05
174.863536,0.358866,-249804222,17.85
99.122143,59.882314,-260407300,17.72
157.149452,-3.723835,616088449090323141,17.55
168.144208,1.265760,-249754222,17.54
167.209507,-2.371668,-218393212,17.48
248.846701,24.093911,-204208127,17.15
141.960116,-3.692558,-231017261,17.08
268.267167,28.156202,-240312292,16.98
220.770945,-1.504739,-232217377,16.97
182.523402,-2.125390,-234177261,16.85
271.081330,46.762311,-208925052,16.70
97.191583,63.255246,-70095052,16.65
148.125075,-0.686310,-215207261,16.35
225.118529,35.768428,-200075052,16.34
275.350356,45.666193,-224495449,16.33
224.057561,41.786727,-17747190,16.32
72.250868,-0.869904,-24905449,16.30
109.983006,38.026533,-52785158,16.30
197.960396,-0.012825,-252904222,16.29
195.182122,-5.634261,-252707261,16.24
218.463057,0.401414,-216614222,16.17
245.054298,19.732446,-14215052,16.16
200.451382,55.950802,-16467190,16.08
273.167278,43.148904,-240143380,15.99
146.603547,-2.492395,616088479092179594,15.99
170.132410,-4.778432,-234088437,15.98
160.348071,3.767254,-246816131,15.98
61.162388,-14.948882,-86897377,15.94
260.206839,54.270218,-207905449,15.91
96.743852,60.883046,-260405449,15.84
205.352942,9.382063,-242334222,15.80
192.951073,-6.367727,-237144222,15.80
194.492803,-5.313736,-94064222,15.78
145.725331,-5.854253,-246896274,15.78
58.421048,-17.861030,-245628344,15.77
163.061753,40.742039,-219585097,15.77
279.208451,53.584255,-20715052,15.70
62.394614,-7.129106,-230448229,15.68
185.112291,2.934707,-211407377,15.68
107.257055,50.144122,-240807377,15.67
158.713274,-2.849294,-262466505,15.66
14.750285,0.852087,-217395155,15.53
132.379363,1.345970,-246535449,15.50
186.848642,-3.439005,-205766016,15.43
217.069755,37.309449,-211955052,15.41
160.797329,3.597617,-204844222,15.38
216.056826,39.866049,-258615449,15.37
239.447888,0.276247,-232357377,15.36
259.248530,9.973535,-251264222,15.36
134.732959,-2.661525,-56547261,15.35
139.880527,5.262943,-88005449,15.34
195.987246,4.514046,-211254222,15.33
327.393301,7.763272,-255427377,15.31
68.394791,-5.025861,-24825449,15.27
270.315051,43.365334,-208905052,15.26
163.997995,4.334920,-251925052,15.26
279.330962,57.885370,-20705449,15.25
178.657408,56.309431,-205957261,15.24
270.488080,58.494918,-200016020,15.24
227.168042,2.220464,-216684222,15.23
42.103814,3.319857,39627863950886368,15.20
266.694935,45.444318,-208935052,15.18
258.634197,34.884087,-66206131,15.18
195.640952,52.509700,-206371051,15.17
215.119427,2.484389,616088601037373983,15.17
159.583234,13.590444,-236265525,15.17
326.826804,-3.880560,-208613504,15.15
208.871595,35.467796,-242977401,15.14
204.598504,-3.232047,-201203171,15.13
196.332824,-6.900669,-237124222,15.12
104.838959,60.884722,-213128174,15.12
107.692038,43.094784,-256851178,15.08
126.890029,0.143708,616088545198604408,15.08
127.420996,29.712242,-101847377,15.07
165.467553,17.038928,-236033317,15.07
207.717232,37.078548,616093772698092476,15.05
103.897499,61.182891,-213128024,15.00
133.405954,30.582762,-86557377,14.99
154.873298,70.684999,-213255052,14.98
242.033810,8.745037,-43527377,14.97
254.535034,34.449380,-19235052,14.97
7.673865,-6.817938,616088374368796968,14.97
215.391412,3.249314,-247864222,14.93
203.840291,5.038477,-99187261,14.93
129.181230,-3.734539,-103601178,14.93
233.114647,50.048222,-207805449,14.93
150.896931,36.254353,-250397261,14.92
199.100746,6.213964,-258195449,14.92
61.995112,-3.476852,-245695449,14.91
258.601077,58.942081,-207477377,14.88
26.342786,28.340991,-223635052,14.88
172.345360,-5.146656,-249737377,14.87
35.821065,-4.723767,-222395449,14.86
159.325312,37.709958,-234735449,14.83
137.879284,7.332936,-25465449,14.80
296.727949,66.330113,-220728294,14.79
241.836313,21.280444,-12475052,14.78
21.641985,7.786795,-241617377,14.78
334.709571,27.976871,-250097377,14.75
226.011532,20.456474,-11925052,14.75
327.186875,12.295180,-18390303,14.71
218.756502,4.596685,616088649364145192,14.71
101.580711,64.542770,-260071072,14.71
255.742863,55.152233,-17445052,14.69
179.529639,1.217906,-235984222,14.69
7.545850,28.757896,616089204127957639,14.68
185.931400,50.492742,-237465052,14.68
267.996653,19.075871,-251367377,14.67
248.128324,4.864144,-204045449,14.66
199.562769,36.057987,-211697377,14.66
176.730225,9.201925,-30255449,14.65
211.407590,31.182490,-37727377,14.65
207.472337,-4.676956,-78575449,14.64
58.295474,-17.647092,-245628229,14.63
330.670680,21.138792,-232177377,14.63
177.387541,-1.343060,-234144222,14.63
251.286507,26.284417,-14095052,14.63
156.491360,2.746107,-262397377,14.62
221.538355,36.078020,-69005449,14.61
172.464428,31.448547,-203817377,14.61
195.542412,1.622540,-211267377,14.60
43.664057,7.085696,616088706587034599,14.59
270.438713,53.386246,-18965052,14.58
332.192913,3.069958,-239436415,14.56
127.171862,3.595010,-237087377,14.56
117.700586,26.457661,-213744222,14.55
14.909978,10.138026,616088783825141839,14.55
267.639604,24.959003,-112807261,14.55
20.331434,8.556179,-241615449,14.54
207.209763,8.422559,-201215052,14.53
267.501654,26.476101,-66135449,14.53
27.261776,10.792011,-51301299,14.53
49.468936,-6.546600,-253907261,14.52
14.451309,-0.995868,-217391149,14.52
70.724070,-7.560230,-261731159,14.52
244.603287,10.920410,-233537377,14.52
136.975274,61.108054,-260385449,14.52
221.317801,2.759364,-216766131,14.51
162.528332,-3.748185,-218404222,14.50
339.821308,0.011760,-255697377,14.50
200.436506,55.757147,-222145449,14.48
269.706280,40.058354,-208895052,14.47
171.947477,61.446824,-206325052,14.47
229.200528,6.498697,-216995052,14.47
230.146961,4.681399,-89397377,14.47
224.342099,-3.348060,-216606274,14.46
133.642993,44.968970,-240605449,14.46
185.286551,72.507493,-232014095,14.45
119.063802,29.158046,-260717261,14.44
151.840205,3.926939,-72075449,14.44
208.476865,32.622924,-212096131,14.43
123.119458,14.958043,-23665052,14.43
199.527884,51.465481,-253507261,14.43
261.226585,27.337411,-19175052,14.43
233.073374,-1.067544,-216697190,14.42
196.496338,0.237151,-226834222,14.41
128.700716,9.182262,-213707192,14.41
204.849919,14.682549,-210895052,14.40
139.135866,66.327442,-260167261,14.40
227.208945,54.536256,-207695449,14.40
43.427528,-4.383317,-110582405,14.40
272.598207,62.301981,616094166484517725,14.39
278.824876,63.534340,-205076411,14.38
203.053784,3.138590,-201335052,14.38
255.746134,55.160734,-207445052,14.38
133.323741,32.716774,616093687255925205,14.37
218.463085,0.401415,-26614222,14.36
248.628665,18.207355,-203886131,14.36
270.880674,47.731268,-208925449,14.35
214.397306,53.162518,-237947377,14.35
254.478310,21.116436,-13945052,14.35
197.783967,-2.841758,-221584222,14.34
105.502302,49.384904,-240808002,14.32
254.239165,37.777364,-19245052,14.32
236.382326,33.487159,-202435449,14.32
221.579481,38.504611,-227685052,14.31
130.475549,-4.999514,-230961178,14.30
193.056227,22.630637,-242114222,14.27
314.451871,7.739186,-208465449,14.26
109.680657,35.185139,-227134258,14.26
34.375778,29.105176,-18017261,14.25
33.196671,-3.893608,-206647261,14.25
223.363417,51.363365,-207785052,14.25
150.392944,65.764531,616094202840744602,14.25
165.508329,11.121916,-92995449,14.25
15.149065,9.847411,-226036384,14.25
144.727898,39.600237,-250787192,14.24
111.294814,34.431837,-256904428,14.23
167.034283,50.636634,-252983423,14.23
35.806437,0.730093,-63705052,14.22
214.417356,44.666077,-242935449,14.21
65.803074,-0.293888,-215105449,14.21
61.593451,-11.838452,-245658344,14.20
232.978098,0.337529,-200985052,14.20
162.533354,-4.019117,-218404121,14.18
60.946353,-11.446241,-245658047,14.18
166.977156,-0.210642,-12687377,14.18
245.162356,16.396458,-14185052,14.18
204.931526,8.803296,-226450250,14.17
251.561756,52.918263,-17425052,14.17
12.484783,1.014705,-217187261,14.17
143.901593,8.240855,-56363294,14.17
327.123539,3.740104,-239464324,14.15
228.508975,22.716541,-217697377,14.14
247.486209,36.648603,-254377093,14.13
151.111025,65.998130,-213295449,14.13
200.600761,37.832848,616093787042612202,14.13
3.411068,-8.284957,-11617261,14.12
261.855706,41.639111,-209315449,14.11
235.607281,8.791494,-202105052,14.11
248.938491,27.064587,-249537377,14.11
142.216322,38.744490,-235324222,14.10
14.747171,1.420223,-217395449,14.09
315.832963,4.695232,-208325449,14.09
229.912732,-1.491466,-200960375,14.08
165.768085,32.847497,-234727261,14.07
215.595705,32.592059,-211975449,14.07
216.833252,29.433111,-212065449,14.07
214.602811,43.700617,-242935052,14.06
40.013779,-5.769503,-32476345,14.06
259.316768,34.798465,-256207261,14.06
173.505745,-1.282174,-12737261,14.05
353.621365,25.779274,-100542523,14.05
317.315814,6.838222,-65515449,14.05
358.133380,-6.328782,616088392228143328,14.04
335.302492,-5.291184,-255627192,14.04
17.151753,0.223039,-257455052,14.04
324.069152,3.958380,-239474174,14.04
169.227122,53.968426,-221711006,14.03
153.186734,-0.686561,-246406345,14.03
126.813566,26.796093,616089163036361519,14.02
40.750908,-0.763266,-238027377,14.02
324.949021,-0.815190,-239551288,14.01
186.925276,64.871964,-237828323,14.01
186.139873,43.965814,-47497377,14.01
178.957182,8.820328,616088750761444242,14.01
206.741028,6.648510,616088703302893694,14.00
238.341839,18.262264,-233476131,14.00
228.485587,-0.261826,616088534821896719,13.99
191.385607,4.846811,-52475052,13.98
181.373170,74.378809,-244657261,13.98
227.441603,53.567333,-207695052,13.98
145.570562,58.397272,-229084174,13.97
354.770067,18.285755,-69357377,13.97
166.647988,10.399375,-92997275,13.97
327.058082,-4.238874,-208613277,13.96
255.087221,50.096051,-207581088,13.95
0.926066,-0.602938,-259844025,13.95
231.715270,3.427521,-10995052,13.95
146.311792,-0.770588,-103447377,13.92
57.755182,-17.469917,-245628047,13.91
353.092137,7.442740,-212327261,13.91
146.247991,-0.715031,-230815449,13.91
221.345289,4.152041,-42597261,13.91
336.914150,1.995133,-81027377,13.91
137.507014,9.854928,-245415449,13.90
144.248808,-0.955460,-230887377,13.90
252.800656,49.791656,-17417377,13.89
158.396286,47.396067,-250747377,13.89
234.580643,32.509053,-249437377,13.89
188.210277,-7.223766,-252764222,13.89
144.221371,40.053302,616093828738188135,13.89
136.245500,3.217807,-231067377,13.88
107.002065,49.123946,-240808265,13.88
15.977614,-1.189380,-257451436,13.88
12.233277,24.502882,-225737377,13.86
49.231521,3.101117,-206817190,13.86
170.295278,0.346470,-59783518,13.85
151.329616,11.889949,-72105052,13.84
136.337255,41.996692,-209836411,13.84
196.626597,39.163932,616093815421272287,13.83
327.284086,1.823567,-239461182,13.83
29.474398,1.427194,-48425449,13.83
129.831512,5.623432,-245027377,13.83
260.859842,69.399475,-200315449,13.83
196.299672,5.023963,-211255449,13.83
239.766250,34.480216,-207385052,13.83
159.681941,60.484512,616094145223590420,13.82
198.535708,50.586577,-206524164,13.81
55.649334,-1.234854,-102605449,13.79
220.217004,0.138035,-247835449,13.78
8.048354,25.618964,-225751072,13.78
65.314215,-12.465169,-230681094,13.78
27.228279,6.913487,-257368132,13.78
40.102849,18.572507,-62557261,13.78
276.139751,41.870071,-224436456,13.77
230.443108,36.747872,-223367093,13.77
180.185227,-3.601110,-59815052,13.77
162.036103,-1.405556,-215787027,13.77
168.773403,-0.339154,-234187261,13.76
113.404610,26.854059,-237105052,13.76
139.654510,-2.249960,-215397377,13.76
70.898977,-0.555776,-103154308,13.76
121.176346,22.325487,-229537377,13.76
71.744406,-1.201494,-214904348,13.75
103.915887,62.122221,-260105052,13.75
244.297557,26.369920,-202495052,13.75
242.255144,7.745308,-27886502,13.75
168.671814,36.827684,616093767333577662,13.75
113.157580,39.621075,-209765052,13.74
153.732914,37.423172,-44743410,13.74
165.717678,62.998874,-206335052,13.74
153.527583,70.865157,-213254121,13.74
34.371667,29.676050,-80507261,13.73
199.425332,20.876020,616089036947193869,13.73
164.472697,47.102005,-110235449,13.72
57.574523,-17.544293,-245628029,13.72
330.059689,22.479870,-250187261,13.72
23.220074,23.558136,-98215449,13.71
321.981060,18.835262,-200765449,13.71
317.706788,-0.692186,-223905052,13.70
247.490249,23.614119,-204201094,13.70
250.790425,50.568300,-17415449,13.70
169.083135,4.619936,-220415449,13.69
10.688384,1.217231,-232965449,13.69
64.812093,-12.817546,-230681366,13.69
204.424906,-3.692652,-221604222,13.68
238.911065,42.120798,-95357377,13.68
67.102521,-1.059474,-215107377,13.68
199.489954,61.873410,616094160209839299,13.68
202.721103,3.459934,616088624974266796,13.68
266.498960,46.413250,-208935449,13.67
225.764261,5.447713,-248011345,13.67
358.397725,3.121861,-38117377,13.67
244.772557,13.035257,-28267192,13.66
112.967765,30.806062,-214145052,13.66
277.186245,50.230470,-256262337,13.66
321.010383,10.076785,-255571094,13.66
280.163405,54.466305,616094068157448657,13.65
233.738901,41.207454,-239057377,13.65
308.656699,-0.649249,-240024375,13.65
260.562957,33.900132,-240437190,13.65
11.594830,1.319945,-67507377,13.65
157.505564,48.662194,616093980383248576,13.65
164.374659,40.598535,-219587261,13.65
217.150173,48.939126,-258781477,13.64
326.197550,4.530238,-96165449,13.63
186.371221,2.001963,-226975449,13.63
241.695198,22.254004,-202475449,13.63
215.758703,31.623471,-211975052,13.63
324.970553,5.160236,-223775449,13.63
222.102991,5.427012,-73665449,13.63
137.459399,-5.546047,-262527377,13.63
202.641774,11.983563,-210885052,13.63
58.401216,-17.963066,-245628367,13.62
253.282347,42.963965,-207601366,13.61
235.884138,32.892850,-28157377,13.60
54.186899,-2.685350,-238257377,13.60
149.789007,3.468889,-119317261,13.59
324.210298,2.985015,-223771237,13.59
166.153991,-3.723014,-218385449,13.59
326.686875,24.707594,-232094285,13.59
136.386981,48.449068,-256394121,13.59
354.527333,25.004871,-212415052,13.58
248.546896,25.557137,-204206355,13.58
94.990251,69.558064,-103335449,13.58
48.994627,2.281244,-253807377,13.58
247.638375,40.414101,-48675449,13.58
71.497563,-3.047124,-214901237,13.57
219.180553,44.797356,-258637377,13.57
241.581446,31.362838,-202457377,13.57
176.437421,4.562720,-235837377,13.57
159.310107,53.037357,-221861006,13.57
104.289174,61.070187,-213128068,13.56
316.455987,3.569314,616088626882675629,13.56
135.829399,4.694948,-215285449,13.55
72.032785,-8.125397,-24807275,13.55
134.515406,33.078076,616093692360393679,13.55
216.904752,5.426000,-42515449,13.55
68.275211,0.777385,-203154121,13.54
261.565546,50.111385,-19016131,13.54
193.747864,36.790986,-21715449,13.54
320.659231,15.334182,-232103423,13.54
266.178691,42.049835,-208995052,13.53
61.106820,-15.360755,-245641509,13.53
221.367584,8.784186,-11263277,13.53
322.193654,5.473926,-208167190,13.52
214.731222,-2.104360,-216637377,13.52
141.485852,-3.417284,616088454861685744,13.51
140.985506,-3.749956,-231015052,13.51
162.830665,-7.725528,-218343277,13.51
235.487379,34.707180,-233997377,13.50
195.156849,35.171360,616093738304798944,13.50
144.921102,39.527775,-250787261,13.50
50.538873,-6.949355,-118647377,13.50
191.237908,-0.986742,-252751178,13.49
105.584061,60.743157,-213128367,13.48
99.732684,57.251525,-256494098,13.47
342.575749,-6.126829,-205287190,13.47
331.286884,4.513156,-18535052,13.47
187.759584,17.790190,-211045509,13.47
217.130136,31.821597,-211977377,13.47
261.864946,53.728868,-207906389,13.47
195.542412,1.622540,-21267377,13.47
70.813659,-3.313567,616088459706106176,13.46
319.202876,13.237797,-247701162,13.46
236.042351,8.068037,-59605449,13.46
219.965411,43.895456,-258923471,13.46
132.790771,-2.465505,-25327261,13.46
135.524706,-5.789925,-246615052,13.46
136.140244,42.006750,-209836345,13.45
279.582032,56.916217,-20705052,13.45
126.919244,55.927090,-209365052,13.45
181.103621,-1.726003,-234174222,13.45
116.225323,38.459070,-115377097,13.44
208.438151,5.316566,-201125052,13.44
235.216036,8.500944,-233662457,13.44
217.072825,49.656357,-211807377,13.44
179.932615,-3.578635,616088455503413467,13.44
291.389893,69.149528,-236405449,13.44
137.637469,4.836945,-246655449,13.44
33.531310,17.850419,-51447261,13.44
266.625228,19.852098,-251365449,13.44
203.232311,-7.884148,-78527261,13.43
215.900579,6.729245,-216844222,13.43
171.316393,-6.526129,-234037261,13.43
266.755442,17.486334,-235427377,13.43
220.301702,2.483281,-247857377,13.43
253.566819,53.121371,616094046401594506,13.42
281.960881,72.795044,-205107377,13.42
173.876438,3.943942,-251555449,13.42
110.527006,68.568477,-260057377,13.42
273.032564,37.972366,-18845052,13.42
324.572887,3.640820,-239475052,13.41
255.429765,31.457751,-224845295,13.41
3.611399,23.264173,-20195449,13.41
178.996945,-1.600869,-234147377,13.41
96.906635,67.907741,-260171299,13.40
155.139181,51.396018,-250885449,13.40
15.429921,23.217260,616089084531573197,13.40
145.552690,5.700497,-230971178,13.40
165.066121,8.499581,-92991259,13.40
332.262384,-11.512626,-224337261,13.39
178.283699,6.831854,-108105052,13.39
10.012718,9.768740,616088771833627341,13.39
346.050515,-6.253239,-30906352,13.39
239.588154,25.459983,-218115155,13.39
207.624722,-0.413409,-201105052,13.38
182.207650,-4.994322,-234154174,13.38
344.032543,6.155280,616088693580497054,13.38
32.306351,-12.595665,-63865449,13.38
