======================================================================
DESI DR1 FULL-SCALE INFERENCE — H200 GPU
======================================================================
Model loaded on H200 (150 GB VRAM)

Mapping DESI DR1 pixels...
Total DR1 main survey pixels: 27488
Estimated spectra: ~17M

Processing with 8 parallel downloads...
  [100/27488] 71016 spectra, 514 anomalies, 839 spec/s, ETA: 6.4h
  [200/27488] 108356 spectra, 1005 anomalies, 856 spec/s, ETA: 4.8h
  [300/27488] 137601 spectra, 1578 anomalies, 843 spec/s, ETA: 4.1h
  [400/27488] 252989 spectra, 1954 anomalies, 859 spec/s, ETA: 5.5h
  [500/27488] 352511 spectra, 2396 anomalies, 882 spec/s, ETA: 6.0h
  [600/27488] 396020 spectra, 2599 anomalies, 886 spec/s, ETA: 5.6h
  [700/27488] 494974 spectra, 2976 anomalies, 883 spec/s, ETA: 6.0h
  [800/27488] 535848 spectra, 3167 anomalies, 876 spec/s, ETA: 5.7h
  [900/27488] 576655 spectra, 3589 anomalies, 871 spec/s, ETA: 5.4h
  [1000/27488] 624740 spectra, 3944 anomalies, 875 spec/s, ETA: 5.3h
  [1100/27488] 654296 spectra, 4259 anomalies, 873 spec/s, ETA: 5.0h
  [1200/27488] 691943 spectra, 4498 anomalies, 869 spec/s, ETA: 4.8h
  [1300/27488] 721500 spectra, 4880 anomalies, 868 spec/s, ETA: 4.6h
  [1400/27488] 749759 spectra, 5485 anomalies, 867 spec/s, ETA: 4.5h
  [1500/27488] 784118 spectra, 6108 anomalies, 864 spec/s, ETA: 4.4h
  [1600/27488] 809909 spectra, 6187 anomalies, 863 spec/s, ETA: 4.2h
  [1700/27488] 843441 spectra, 6309 anomalies, 861 spec/s, ETA: 4.1h
  [1800/27488] 880877 spectra, 6559 anomalies, 861 spec/s, ETA: 4.1h
  [1900/27488] 917850 spectra, 6749 anomalies, 860 spec/s, ETA: 4.0h
  [2000/27488] 964131 spectra, 6884 anomalies, 859 spec/s, ETA: 4.0h
  [2100/27488] 1028616 spectra, 7460 anomalies, 861 spec/s, ETA: 4.0h
  [2200/27488] 1090068 spectra, 8368 anomalies, 862 spec/s, ETA: 4.0h
  [2300/27488] 1182490 spectra, 9632 anomalies, 866 spec/s, ETA: 4.2h
  [2400/27488] 1236793 spectra, 10237 anomalies, 867 spec/s, ETA: 4.1h
  [2500/27488] 1317432 spectra, 11621 anomalies, 873 spec/s, ETA: 4.2h
  [2600/27488] 1376750 spectra, 12225 anomalies, 874 spec/s, ETA: 4.2h
  [2700/27488] 1473888 spectra, 12768 anomalies, 881 spec/s, ETA: 4.3h
  [2800/27488] 1520439 spectra, 12972 anomalies, 881 spec/s, ETA: 4.2h
  [2900/27488] 1549891 spectra, 13055 anomalies, 881 spec/s, ETA: 4.1h
  [3000/27488] 1582838 spectra, 13211 anomalies, 879 spec/s, ETA: 4.1h
  [3100/27488] 1625276 spectra, 14080 anomalies, 878 spec/s, ETA: 4.0h
  [3200/27488] 1695409 spectra, 15404 anomalies, 879 spec/s, ETA: 4.1h
  [3300/27488] 1733547 spectra, 15756 anomalies, 879 spec/s, ETA: 4.0h
  [3400/27488] 1802160 spectra, 17307 anomalies, 853 spec/s, ETA: 4.2h
  [3500/27488] 1875810 spectra, 18679 anomalies, 858 spec/s, ETA: 4.2h
  [3600/27488] 1931907 spectra, 18950 anomalies, 859 spec/s, ETA: 4.1h
  [3700/27488] 1969239 spectra, 19133 anomalies, 858 spec/s, ETA: 4.1h
  [3800/27488] 2017529 spectra, 19621 anomalies, 828 spec/s, ETA: 4.2h
  [3900/27488] 2093172 spectra, 19892 anomalies, 832 spec/s, ETA: 4.2h
  [4000/27488] 2148612 spectra, 20021 anomalies, 834 spec/s, ETA: 4.2h
  [4100/27488] 2204489 spectra, 20149 anomalies, 835 spec/s, ETA: 4.2h
  [4200/27488] 2255224 spectra, 20268 anomalies, 836 spec/s, ETA: 4.2h
  [4300/27488] 2302908 spectra, 20384 anomalies, 837 spec/s, ETA: 4.1h
  [4400/27488] 2352140 spectra, 20491 anomalies, 840 spec/s, ETA: 4.1h
  [4500/27488] 2394500 spectra, 20598 anomalies, 841 spec/s, ETA: 4.0h
  [4600/27488] 2432924 spectra, 20712 anomalies, 841 spec/s, ETA: 4.0h
  [4700/27488] 2474110 spectra, 20864 anomalies, 841 spec/s, ETA: 4.0h
  [4800/27488] 2568018 spectra, 21294 anomalies, 843 spec/s, ETA: 4.0h
  [4900/27488] 2651825 spectra, 21621 anomalies, 846 spec/s, ETA: 4.0h
  [5000/27488] 2722796 spectra, 22018 anomalies, 848 spec/s, ETA: 4.0h
  [5100/27488] 2808870 spectra, 22432 anomalies, 850 spec/s, ETA: 4.0h
  [5200/27488] 2919355 spectra, 23637 anomalies, 855 spec/s, ETA: 4.1h
  [5300/27488] 2983358 spectra, 24301 anomalies, 856 spec/s, ETA: 4.1h
  [5400/27488] 3041692 spectra, 25070 anomalies, 857 spec/s, ETA: 4.0h
  [5500/27488] 3157168 spectra, 25475 anomalies, 859 spec/s, ETA: 4.1h
  [5600/27488] 3225260 spectra, 25696 anomalies, 861 spec/s, ETA: 4.1h
  [5700/27488] 3382836 spectra, 26194 anomalies, 865 spec/s, ETA: 4.2h
  [5800/27488] 3583826 spectra, 26917 anomalies, 869 spec/s, ETA: 4.3h
  [5900/27488] 3722447 spectra, 27422 anomalies, 874 spec/s, ETA: 4.3h
  [6000/27488] 3889198 spectra, 27911 anomalies, 877 spec/s, ETA: 4.4h
  [6100/27488] 4073787 spectra, 28431 anomalies, 878 spec/s, ETA: 4.5h
  [6200/27488] 4185654 spectra, 28755 anomalies, 878 spec/s, ETA: 4.5h
  [6300/27488] 4222040 spectra, 28856 anomalies, 878 spec/s, ETA: 4.5h
  [6400/27488] 4320358 spectra, 29161 anomalies, 876 spec/s, ETA: 4.5h
  [6500/27488] 4462823 spectra, 29707 anomalies, 880 spec/s, ETA: 4.5h
  [6600/27488] 4644734 spectra, 30334 anomalies, 882 spec/s, ETA: 4.6h
  [6700/27488] 4778487 spectra, 30784 anomalies, 883 spec/s, ETA: 4.7h
  [6800/27488] 4952773 spectra, 31643 anomalies, 884 spec/s, ETA: 4.7h
  [6900/27488] 5104606 spectra, 32259 anomalies, 887 spec/s, ETA: 4.8h
  [7000/27488] 5222155 spectra, 32672 anomalies, 889 spec/s, ETA: 4.8h
  [7100/27488] 5269765 spectra, 32807 anomalies, 889 spec/s, ETA: 4.7h
  [7200/27488] 5339678 spectra, 33008 anomalies, 889 spec/s, ETA: 4.7h
  [7300/27488] 5436207 spectra, 33314 anomalies, 891 spec/s, ETA: 4.7h
  [7400/27488] 5460405 spectra, 33370 anomalies, 890 spec/s, ETA: 4.6h
  [7500/27488] 5487042 spectra, 33442 anomalies, 890 spec/s, ETA: 4.6h
  [7600/27488] 5512376 spectra, 33512 anomalies, 889 spec/s, ETA: 4.5h
  [7700/27488] 5553909 spectra, 33644 anomalies, 889 spec/s, ETA: 4.5h
  [7800/27488] 5606405 spectra, 34148 anomalies, 888 spec/s, ETA: 4.4h
  [7900/27488] 5684893 spectra, 34718 anomalies, 889 spec/s, ETA: 4.4h
  [8000/27488] 5841428 spectra, 35150 anomalies, 889 spec/s, ETA: 4.4h
  [8100/27488] 6017773 spectra, 35871 anomalies, 891 spec/s, ETA: 4.5h
  [8200/27488] 6134307 spectra, 36467 anomalies, 891 spec/s, ETA: 4.5h
  [8300/27488] 6229847 spectra, 36957 anomalies, 893 spec/s, ETA: 4.5h
