targetid,z,spectype,obs_wavelength,rest_wavelength,rest_region,extended_match,ext_offset,matched,anomaly_score
39627863950886368,0.2588994,GALAXY,4597.076,3651.66,optical_region,[OII],75.34,False,15.197404
39627688557676343,1.0350127,GALAXY,3902.339,1917.6,uv_iron_region,CIII],8.6,True,9.615297
-260095289,3.2480648,QSO,3902.339,918.62,lyman_forest_region,Ly-limit (912A),6.62,True,8.405875
-260091073,3.2467117,QSO,3889.4736,915.88,lyman_forest_region,Ly-limit (912A),3.88,True,8.277551
-19275275,3.412926e-05,STAR,7603.2,7602.94,nir_region,[SII] 6731,871.94,False,8.207238
39633049880629906,3.6794765,QSO,4867.2515,1040.13,lyman_forest_region,Ly-beta,14.13,True,7.976654
-219718485,0.46836925,GALAXY,4172.5146,2841.6,uv_iron_region,MgI 2853,11.4,True,7.8254914
-235393123,-0.00018003982,STAR,4365.497,4366.28,optical_region,H-gamma,26.28,True,7.8134313
39627827825349098,0.9702605,GALAXY,3838.0117,1947.97,uv_iron_region,CIII],38.97,True,7.79464
39627859613979079,-7.3696315e-06,STAR,4069.5906,4069.62,optical_region,H-delta,32.38,True,7.470527
39637210621808589,-4.6040022e-05,STAR,8819.2,8819.61,nir_region,CaII 8662,157.61,False,7.246204
39633010877796273,5.2670794,QSO,9331.2,1488.92,uv_emission_region,CIV,60.08,False,7.2322445
39627815108215497,5.4908418e-05,STAR,5587.719,5587.41,optical_region,NaI D,305.59,False,7.1899247
39627746053195172,4.557627,QSO,5188.8887,933.65,lyman_forest_region,Ly-limit (912A),21.65,True,7.1802278
-202593518,1.3383855,GALAXY,3863.7427,1652.31,uv_emission_region,HeII,12.31,True,6.997431
-70707178,0.40100867,QSO,9216.0,6578.12,optical_region,[NII],5.88,True,6.9552054
616093777555096061,-0.00010134094,STAR,4391.228,4391.67,optical_region,H-gamma,51.67,False,6.932942
39633516731827038,4.455971,QSO,5278.9473,967.55,lyman_forest_region,Ly-gamma,4.45,True,6.8917813
39627748016133080,0.73469776,GALAXY,9484.8,5467.7,optical_region,MgI b,292.7,False,6.6801505
-115924235,5.370331,QSO,3889.4736,610.56,sub_lyman_limit,Ly-limit (912A),301.44,False,6.6739745
39627580000702657,2.514092,QSO,8435.2,2400.39,uv_iron_region,FeII UV2 (2383),17.39,True,6.660613
-13870070,0.5989663,GALAXY,5176.0234,3237.11,optical_region,MgI 2853,384.11,False,6.6130247
-228643518,1.1802081,GALAXY,3850.8772,1766.29,uv_emission_region,AlIII,90.71,False,6.5766077
-240671076,0.513994,GALAXY,3915.2046,2586.01,uv_iron_region,FeII UV3 (2587),0.99,True,6.517319
-84016333,1.2857002,GALAXY,5779.241,2528.43,uv_iron_region,FeII UV3 (2587),58.57,False,6.5154457
39628170294461087,-0.00015059602,STAR,3863.7427,3864.32,optical_region,[NeIII],4.68,True,6.453563
39627908125299000,-0.00016999166,STAR,4352.6313,4353.37,optical_region,H-gamma,13.37,True,6.4524345
-236853518,0.91830266,GALAXY,4378.363,2282.42,uv_iron_region,FeII UV1 (2344),61.58,False,6.4343495
39633305221469827,6.188018,QSO,9689.6,1348.02,uv_emission_region,CII 1335,13.02,True,6.365745
-91622156,9.6745986e-05,STAR,4339.766,4339.35,optical_region,H-gamma,0.65,True,6.3219995
-245679458,4.295937,QSO,6433.448,1214.79,lyman_forest_region,Ly-alpha,1.21,True,6.286079
39628019534399146,1.6240802,GALAXY,3902.339,1487.13,uv_emission_region,CIV,61.87,False,6.2801085
616088599716167843,1.3996594,GALAXY,7523.793,3135.36,optical_region,MgI 2853,282.36,False,6.2566633
