priority_rank,priority_score,targetid,ra,dec,z,spectype,anomaly_score,obs_wavelength,rest_wavelength,rest_region,extended_match,ext_lab_wavelength,ext_offset,matched,physical_interpretation,worst_band
1,13.02,39633010877796273,220.96112060546875,36.38758850097656,5.2670793533325195,QSO,7.232244491577148,9331.2001953125,1488.92,uv_emission_region,CIV,1549,60.08,False,"UV desert: no standard emission line, possible unusual FeII or BAL feature",Z
2,12.4,39633191367084936,162.18775939941406,46.62178039550781,6.195603370666504,QSO,5.300685405731201,5804.896484375,806.73,sub_lyman_limit,Ly-limit (912A),912,105.27,False,Near Lyman limit: possible LyC leaker or DLA Gunn-Peterson trough,Z
3,10.87,39637210621808589,19.819772720336914,27.101287841796875,-4.604002242558636e-05,STAR,7.246203899383545,8819.2001953125,8819.61,nir_region,CaII 8662,8662,157.61,False,NIR region: possible molecular band or telluric residual,Z
4,9.23,39628080880291871,130.62265014648438,12.314024925231934,5.990307807922363,QSO,3.9442031383514404,3632.163818359375,519.6,sub_lyman_limit,Ly-limit (912A),912,392.4,False,EXTREME sub-LL: possible ionizing continuum anomaly or misclassified z,Z
5,8.81,39628203496572448,124.61415100097656,17.381088256835938,5.95452880859375,QSO,3.7651784420013428,3645.029296875,524.12,sub_lyman_limit,Ly-limit (912A),912,387.88,False,EXTREME sub-LL: possible ionizing continuum anomaly or misclassified z,Z
6,8.54,39627789988529182,313.527099609375,-0.08734394609928131,6.009199142456055,QSO,3.6492934226989746,4378.36279296875,624.66,sub_lyman_limit,Ly-limit (912A),912,287.34,False,Deep sub-LL: Lyman continuum leaker candidate or z error,Z
7,8.46,39633152393611253,107.70769500732422,44.15154266357422,6.229721546173096,QSO,3.615532159805298,5780.70166015625,799.57,sub_lyman_limit,Ly-limit (912A),912,112.43,False,Deep sub-LL: Lyman continuum leaker candidate or z error,Z
8,7.95,39633127475250050,226.92343139648438,42.704734802246094,1.6364126205444336,GALAXY,5.299241542816162,5792.06884765625,2196.95,uv_iron_region,FeII UV1 (2344),2344,147.05,False,UV iron pseudo-continuum region: possible unusual FeII/MgII feature,R
9,7.81,39633169590258797,105.24641418457031,45.18284225463867,1.636776089668274,GALAXY,5.209512710571289,5792.06884765625,2196.65,uv_iron_region,FeII UV1 (2344),2344,147.35,False,UV iron pseudo-continuum region: possible unusual FeII/MgII feature,R
10,7.74,39627663148586278,307.7635498046875,-5.195883750915527,5.7764410972595215,QSO,3.3061163425445557,4339.76611328125,640.42,sub_lyman_limit,Ly-limit (912A),912,271.58,False,Deep sub-LL: Lyman continuum leaker candidate or z error,Z
