index,targetid,ra,dec,z,spectype,anomaly_score,obs_wavelength,rest_wavelength,matched_line,lab_wavelength,offset_angstrom,classification,is_unmatched,worst_band
2,-260095289,97.399734,63.89374,3.2480648,QSO,8.405875,3902.339,918.62,UNMATCHED,,107.38,Intermediate-z QSO UNMATCHED anomaly -- INVESTIGATE,True,B
3,-260091073,96.33825,62.139523,3.2467117,QSO,8.277551,3889.4736,915.88,UNMATCHED,,110.12,Intermediate-z QSO UNMATCHED anomaly -- INVESTIGATE,True,B
10,39637210621808589,19.819773,27.101288,-4.6040022e-05,STAR,7.246204,8819.2,8819.61,UNMATCHED,,157.61,Unidentified stellar anomaly,True,Z
12,39627815108215497,10.764724,1.3076634,5.4908418e-05,STAR,7.1899247,5587.719,5587.41,UNMATCHED,,305.59,Unidentified stellar anomaly,True,B
13,39627746053195172,214.8091,-1.8368413,4.557627,QSO,7.1802278,5188.8887,933.65,UNMATCHED,,92.35,High-z QSO UNMATCHED anomaly -- INVESTIGATE,True,R
18,39627748016133080,331.97714,-1.7680736,0.73469776,GALAXY,6.6801505,9484.8,5467.7,UNMATCHED,,292.7,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,Z
19,-115924235,221.23125,35.497143,5.370331,QSO,6.6739745,3889.4736,610.56,UNMATCHED,,415.44,High-z QSO UNMATCHED anomaly -- INVESTIGATE,True,B
20,39627580000702657,359.93875,-8.7791195,2.514092,QSO,6.660613,8435.2,2400.39,UNMATCHED,,397.61,Intermediate-z QSO UNMATCHED anomaly -- INVESTIGATE,True,B
21,-13870070,257.21683,18.162268,0.5989663,GALAXY,6.6130247,5176.0234,3237.11,UNMATCHED,,439.11,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,Z
22,-228643518,154.95198,77.77901,1.1802081,GALAXY,6.5766077,3850.8772,1766.29,UNMATCHED,,126.29,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,B
23,-240671076,120.51958,53.559437,0.513994,GALAXY,6.517319,3915.2046,2586.01,UNMATCHED,,211.99,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,R
24,-84016333,113.70114,31.995949,1.2857002,GALAXY,6.5154457,5779.241,2528.43,UNMATCHED,,269.57,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,R
