tid,ra,dec,anomaly_score,worst_band,residual_B,residual_R,residual_Z,W1mag,W2mag,W3mag,W4mag,W1_W2,wise_source,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,likely_star,sdss_umag,sdss_gmag,sdss_rmag,sdss_imag,sdss_zmag,sdss_class,known_qso,qso_type,qso_z,has_wise,has_gaia,has_sdss,in_any_catalog,classification,qso_confidence
-246816131,160.348071,3.767254,15.976,B,4.279,3.3165,0.2528,18.17200088500977,17.309999465942383,,,0.862,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-25465449,137.879284,7.332936,14.796,B,4.4396,2.8677,0.2472,16.520000457763672,15.619000434875488,,,0.901,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-200985052,232.978098,0.337529,14.196,B,4.5212,2.6309,0.2735,17.415000915527344,16.513999938964844,12.039999961853027,8.659000396728516,0.901,AllWISE,,,,,,,23.69499969482422,23.538999557495117,22.867000579833984,22.89699935913086,21.895000457763672,,0,,,1,0,1,1,QSO_CANDIDATE,SILVER
-100542523,353.621365,25.779274,14.054,R,0.7227,3.9637,3.1902,17.114999771118164,16.21299934387207,12.741999626159668,8.755000114440918,0.902,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-206524164,198.535708,50.586577,13.813,B,4.8555,0.2349,1.5904,17.909000396728516,17.034000396728516,12.927000045776367,9.305999755859377,0.875,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-221854121,164.167419,52.843327,13.336,B,4.584,0.2235,1.5487,17.81399917602539,16.81999969482422,12.65999984741211,9.267000198364258,0.994,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-207905052,260.428437,53.304748,13.274,B,4.5236,2.2028,0.3729,17.513999938964844,16.06100082397461,12.9350004196167,9.543999671936035,1.453,AllWISE,,,,,21.045751571655273,0.0,20.430999755859375,20.31399917602539,20.378999710083008,20.03300094604492,19.836999893188477,,0,,,1,1,1,1,QSO_CANDIDATE,GOLD
-213475449,94.196824,67.258071,13.176,B,4.5598,2.0875,0.3406,18.562999725341797,17.454999923706055,,,1.108,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-240789055,118.908868,47.246539,13.032,B,4.7522,0.3365,1.4358,18.89699935913086,17.229000091552734,,,1.668,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-83225052,200.918879,9.728762,12.88,B,4.4214,2.349,0.3494,18.20800018310547,17.006000518798828,,,1.202,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-204205052,248.022104,24.747923,12.858,B,4.4499,1.8995,0.5608,17.829999923706055,16.827999114990234,12.470000267028809,8.62399959564209,1.002,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-208965449,270.219875,54.360232,12.802,B,4.4999,2.0554,0.6109,18.18899917602539,17.304000854492188,,,0.885,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-209836265,135.886775,42.009767,12.727,B,4.1558,2.4177,0.2096,18.5939998626709,17.663000106811523,,,0.931,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-12365052,237.847047,25.944433,12.694,B,4.4078,2.1299,0.266,17.527999877929688,16.54199981689453,13.041999816894531,9.032999992370604,0.986,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
39633024018548501,117.839775,37.270435,12.676,B,4.2692,2.2649,0.273,18.118000030517575,17.10099983215332,,,1.017,CatWISE2020,,,,,,,25.93600082397461,24.874000549316406,23.281999588012695,21.368999481201172,20.246000289916992,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-63976502,32.478026,-3.719544,12.652,B,4.0883,2.6294,0.2761,17.898000717163086,16.652999877929688,,,1.245,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-35191072,118.020236,40.883246,12.638,B,4.3376,2.0571,0.4449,17.632999420166016,16.628000259399414,11.960000038146973,8.645000457763672,1.005,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-200791448,323.257537,18.802348,12.63,B,4.2194,2.2876,0.2719,18.385000228881836,16.746000289916992,,,1.639,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-222243135,205.035744,54.790687,12.59,B,4.4374,0.3476,1.5798,17.87299919128418,17.045000076293945,,,0.828,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-231265449,159.52765,-2.746022,12.546,B,4.4614,1.9623,0.2293,18.36199951171875,17.5310001373291,,,0.831,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-246787261,160.098878,-2.028508,12.387,B,4.0805,2.503,0.3337,18.266000747680664,17.354999542236328,,,0.911,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-221567261,207.159627,-7.177434,12.378,B,4.3042,2.1508,0.1833,18.48900032043457,17.614999771118164,,,0.874,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-207347377,236.37298,42.630245,12.372,B,4.4433,2.101,0.2793,18.52300071716309,17.54199981689453,,,0.981,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
