tid,ra,dec,anomaly_score,worst_band,residual_B,residual_R,residual_Z,W1mag,W2mag,W3mag,W4mag,W1_W2,wise_source,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,likely_star,sdss_umag,sdss_gmag,sdss_rmag,sdss_imag,sdss_zmag,sdss_class,known_qso,qso_type,qso_z,has_wise,has_gaia,has_sdss,in_any_catalog,classification,qso_confidence
-207905052,260.428437,53.304748,13.274,B,4.5236,2.2028,0.3729,17.513999938964844,16.06100082397461,12.9350004196167,9.543999671936035,1.453,AllWISE,,,,,21.045751571655273,0.0,20.430999755859375,20.31399917602539,20.378999710083008,20.03300094604492,19.836999893188477,,0,,,1,1,1,1,QSO_CANDIDATE,GOLD
-213475449,94.196824,67.258071,13.176,B,4.5598,2.0875,0.3406,18.562999725341797,17.454999923706055,,,1.108,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-240789055,118.908868,47.246539,13.032,B,4.7522,0.3365,1.4358,18.89699935913086,17.229000091552734,,,1.668,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-83225052,200.918879,9.728762,12.88,B,4.4214,2.349,0.3494,18.20800018310547,17.006000518798828,,,1.202,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-204205052,248.022104,24.747923,12.858,B,4.4499,1.8995,0.5608,17.829999923706055,16.827999114990234,12.470000267028809,8.62399959564209,1.002,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
39633024018548501,117.839775,37.270435,12.676,B,4.2692,2.2649,0.273,18.118000030517575,17.10099983215332,,,1.017,CatWISE2020,,,,,,,25.93600082397461,24.874000549316406,23.281999588012695,21.368999481201172,20.246000289916992,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-63976502,32.478026,-3.719544,12.652,B,4.0883,2.6294,0.2761,17.898000717163086,16.652999877929688,,,1.245,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-35191072,118.020236,40.883246,12.638,B,4.3376,2.0571,0.4449,17.632999420166016,16.628000259399414,11.960000038146973,8.645000457763672,1.005,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-200791448,323.257537,18.802348,12.63,B,4.2194,2.2876,0.2719,18.385000228881836,16.746000289916992,,,1.639,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-256491228,99.369578,55.640154,12.327,B,4.5086,0.2541,1.4868,18.01799964904785,16.937999725341797,,,1.08,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-18217377,323.758764,3.019886,12.239,B,4.2158,2.2961,0.2146,18.76300048828125,17.266000747680664,,,1.497,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
