ts,aug,batch_idx,total_fwd,wall_s,img_per_sec,gpu_mem_gb
21:49:11,rot0_flip0,50,25600,1.9,13806,0.31
21:49:12,rot0_flip0,100,51200,3.0,16991,0.31
21:49:14,rot0_flip0,150,76800,4.2,18393,0.31
21:49:15,rot0_flip0,200,102400,5.3,19194,0.31
21:49:16,rot0_flip0,250,128000,6.5,19700,0.31
21:49:17,rot0_flip0,300,153600,7.7,20066,0.31
21:49:18,rot0_flip0,350,179200,8.8,20330,0.31
21:49:19,rot0_flip0,400,204800,10.0,20532,0.31
21:49:20,rot0_flip0,450,230400,11.1,20691,0.31
21:49:22,rot0_flip0,500,256000,12.3,20815,0.31
21:49:23,rot0_flip0,550,281600,13.5,20922,0.31
21:49:24,rot0_flip0,600,307200,14.6,21002,0.31
21:49:25,rot0_flip0,650,332800,15.8,21073,0.31
21:49:26,rot0_flip0,700,358400,17.0,21139,0.31
21:49:27,rot0_flip0,750,384000,18.1,21192,0.31
21:49:29,rot0_flip0,800,409600,19.3,21234,0.31
21:49:30,rot0_flip0,850,435200,20.5,21273,0.31
21:49:31,rot0_flip0,900,460800,21.6,21309,0.31
21:49:32,rot0_flip0,950,486400,22.8,21335,0.31
21:49:33,rot0_flip0,1000,512000,24.0,21364,0.31
21:49:34,rot0_flip0,1050,537600,25.1,21391,0.31
21:49:36,rot0_flip0,1100,563200,26.3,21419,0.31
21:49:37,rot0_flip0,1150,588800,27.5,21442,0.31
21:49:38,rot0_flip0,1200,614400,28.6,21465,0.31
21:49:39,rot0_flip0,1250,640000,29.8,21485,0.31
21:49:40,rot0_flip0,1300,665600,31.0,21500,0.31
21:49:41,rot0_flip0,1350,691200,32.1,21513,0.31
21:49:43,rot0_flip0,1400,716800,33.3,21530,0.31
21:49:44,rot0_flip0,1450,742400,34.4,21552,0.31
21:49:45,rot0_flip0,1500,768000,35.6,21567,0.31
21:49:46,rot0_flip0,1550,793600,36.8,21582,0.31
21:49:47,rot0_flip0,1600,819200,37.9,21589,0.31
21:49:48,rot0_flip0,1650,844800,39.1,21601,0.31
21:49:50,rot0_flip0,1700,870400,40.3,21611,0.31
21:49:51,rot0_flip0,1750,896000,41.4,21619,0.31
21:49:52,rot0_flip0,1800,921600,42.6,21627,0.31
21:49:53,rot0_flip0,1850,947200,43.8,21633,0.31
21:49:54,rot0_flip0,1900,972800,44.9,21642,0.31
21:49:55,rot0_flip0,1950,998400,46.1,21648,0.31
21:49:57,rot0_flip1,50,25600,1.2,21587,0.31
21:49:58,rot0_flip1,100,51200,2.4,21590,0.31
21:49:59,rot0_flip1,150,76800,3.5,21694,0.31
21:50:00,rot0_flip1,200,102400,4.7,21672,0.31
21:50:01,rot0_flip1,250,128000,5.9,21702,0.31
21:50:03,rot0_flip1,300,153600,7.1,21682,0.31
21:50:04,rot0_flip1,350,179200,8.3,21668,0.31
21:50:05,rot0_flip1,400,204800,9.5,21665,0.31
21:50:06,rot0_flip1,450,230400,10.6,21639,0.31
21:50:07,rot0_flip1,500,256000,11.8,21643,0.31
21:50:09,rot0_flip1,550,281600,13.0,21643,0.31
21:50:10,rot0_flip1,600,307200,14.2,21640,0.31
21:50:11,rot0_flip1,650,332800,15.4,21652,0.31
21:50:12,rot0_flip1,700,358400,16.6,21648,0.31
21:50:13,rot0_flip1,750,384000,17.7,21649,0.31
21:50:14,rot0_flip1,800,409600,18.9,21647,0.31
21:50:16,rot0_flip1,850,435200,20.1,21647,0.31
21:50:17,rot0_flip1,900,460800,21.3,21642,0.31
21:50:18,rot0_flip1,950,486400,22.5,21642,0.31
21:50:19,rot0_flip1,1000,512000,23.7,21644,0.31
21:50:20,rot0_flip1,1050,537600,24.8,21649,0.31
21:50:22,rot0_flip1,1100,563200,26.0,21656,0.31
21:50:23,rot0_flip1,1150,588800,27.2,21657,0.31
21:50:24,rot0_flip1,1200,614400,28.4,21657,0.31
21:50:25,rot0_flip1,1250,640000,29.6,21656,0.31
21:50:26,rot0_flip1,1300,665600,30.7,21656,0.31
21:50:27,rot0_flip1,1350,691200,31.9,21659,0.31
21:50:29,rot0_flip1,1400,716800,33.1,21659,0.31
21:50:30,rot0_flip1,1450,742400,34.3,21660,0.31
21:50:31,rot0_flip1,1500,768000,35.5,21658,0.31
21:50:32,rot0_flip1,1550,793600,36.6,21658,0.31
21:50:33,rot0_flip1,1600,819200,37.8,21657,0.31
21:50:35,rot0_flip1,1650,844800,39.0,21656,0.31
21:50:36,rot0_flip1,1700,870400,40.2,21650,0.31
21:50:37,rot0_flip1,1750,896000,41.4,21651,0.31
21:50:38,rot0_flip1,1800,921600,42.6,21650,0.31
21:50:39,rot0_flip1,1850,947200,43.8,21647,0.31
21:50:40,rot0_flip1,1900,972800,44.9,21646,0.31
21:50:42,rot0_flip1,1950,998400,46.1,21643,0.31
21:50:43,rot1_flip0,50,25600,1.2,21329,0.31
21:50:44,rot1_flip0,100,51200,2.4,21342,0.31
21:50:45,rot1_flip0,150,76800,3.6,21308,0.31
21:50:47,rot1_flip0,200,102400,4.8,21299,0.31
21:50:48,rot1_flip0,250,128000,6.0,21283,0.31
21:50:49,rot1_flip0,300,153600,7.2,21304,0.31
21:50:50,rot1_flip0,350,179200,8.4,21305,0.31
21:50:51,rot1_flip0,400,204800,9.6,21303,0.31
21:50:53,rot1_flip0,450,230400,10.8,21287,0.31
21:50:54,rot1_flip0,500,256000,12.0,21293,0.31
21:50:55,rot1_flip0,550,281600,13.2,21293,0.31
21:50:56,rot1_flip0,600,307200,14.4,21299,0.31
21:50:57,rot1_flip0,650,332800,15.6,21310,0.31
21:50:59,rot1_flip0,700,358400,16.8,21310,0.31
21:51:00,rot1_flip0,750,384000,18.0,21313,0.31
21:51:01,rot1_flip0,800,409600,19.2,21314,0.31
21:51:02,rot1_flip0,850,435200,20.4,21320,0.31
21:51:03,rot1_flip0,900,460800,21.6,21317,0.31
21:51:05,rot1_flip0,950,486400,22.8,21323,0.31
21:51:06,rot1_flip0,1000,512000,24.0,21327,0.31
21:51:07,rot1_flip0,1050,537600,25.2,21329,0.31
21:51:08,rot1_flip0,1100,563200,26.4,21332,0.31
21:51:09,rot1_flip0,1150,588800,27.6,21330,0.31
21:51:11,rot1_flip0,1200,614400,28.8,21330,0.31
21:51:12,rot1_flip0,1250,640000,30.0,21337,0.31
