ts,batch,iter,total_fwd,wall_s,img_per_sec,gpu_mem_gb
22:02:10,128,100,12800,1.4,9410,0.14
22:02:10,128,200,25600,2.0,12761,0.14
22:02:11,128,300,38400,2.7,14467,0.14
22:02:12,128,400,51200,3.3,15518,0.14
22:02:12,128,500,64000,3.9,16227,0.14
22:02:13,128,600,76800,4.6,16726,0.14
22:02:14,128,700,89600,5.2,17102,0.14
22:02:14,128,800,102400,5.9,17402,0.14
22:02:15,128,900,115200,6.5,17642,0.14
22:02:15,128,1000,128000,7.2,17839,0.14
22:02:16,128,1100,140800,7.8,18003,0.14
22:02:17,128,1200,153600,8.5,18131,0.14
22:02:17,128,1300,166400,9.1,18224,0.14
22:02:18,128,1400,179200,9.8,18328,0.14
22:02:19,128,1500,192000,10.4,18419,0.14
22:02:19,128,1600,204800,11.1,18500,0.14
22:02:20,128,1700,217600,11.7,18570,0.14
22:02:21,128,1800,230400,12.4,18633,0.14
22:02:21,128,1900,243200,13.0,18688,0.14
22:02:22,128,2000,256000,13.7,18740,0.14
22:02:23,128,2100,268800,14.3,18780,0.14
22:02:23,128,2200,281600,15.0,18824,0.14
22:02:24,128,2300,294400,15.6,18858,0.14
22:02:25,128,2400,307200,16.3,18887,0.14
22:02:25,128,2500,320000,16.9,18920,0.14
22:02:26,128,2600,332800,17.6,18953,0.14
22:02:27,128,2700,345600,18.2,18980,0.14
22:02:27,128,2800,358400,18.9,19008,0.14
22:02:28,128,2900,371200,19.5,19035,0.14
22:02:28,128,3000,384000,20.1,19059,0.14
22:02:29,128,3100,396800,20.8,19082,0.14
22:02:30,128,3200,409600,21.4,19103,0.14
22:02:30,128,3300,422400,22.1,19121,0.14
22:02:31,128,3400,435200,22.7,19140,0.14
22:02:32,128,3500,448000,23.4,19157,0.14
22:02:32,128,3600,460800,24.0,19174,0.14
22:02:33,128,3700,473600,24.7,19190,0.14
22:02:34,128,3800,486400,25.3,19206,0.14
22:02:34,128,3900,499200,26.0,19221,0.14
22:02:35,128,4000,512000,26.6,19234,0.14
22:02:36,128,4100,524800,27.3,19240,0.14
22:02:36,128,4200,537600,27.9,19253,0.14
22:02:37,128,4300,550400,28.6,19274,0.14
