cell,env_class,n,n_cw,cw_fraction,sigma_from_half,R_s_mpc_h,N_grid,lambda_th
R10_N256_L0.1,void,594,284,0.4781144781144781,-1.0667929218208836,10.0,256,0.1
R10_N256_L0.1,wall,14428,7289,0.5051982256723039,1.248786491635442,10.0,256,0.1
R10_N256_L0.1,filament,445352,221308,0.4969282724676211,-4.099816222366223,10.0,256,0.1
R10_N256_L0.1,cluster,352419,175230,0.4972206379338231,-3.2999303894599246,10.0,256,0.1
R10_N256_L0.3,void,837,405,0.4838709677419355,-0.9332565252573828,10.0,256,0.3
R10_N256_L0.3,wall,16505,8318,0.5039684943956377,1.0196791317159892,10.0,256,0.3
R10_N256_L0.3,filament,451320,224244,0.4968625365594257,-4.215518109012571,10.0,256,0.3
R10_N256_L0.3,cluster,344131,171144,0.49732224065835395,-3.141690776207515,10.0,256,0.3
R10_N256_L0,void,363,177,0.48760330578512395,-0.4723774929733302,10.0,256,0.0
R10_N256_L0,wall,13539,6834,0.5047640150675825,1.1086549902635603,10.0,256,0.0
R10_N256_L0,filament,442361,219851,0.4969945361367752,-3.9978815420957203,10.0,256,0.0
R10_N256_L0,cluster,356530,177249,0.49715030993184306,-3.4031074677403113,10.0,256,0.0
R25_N256_L0.1,void,627,300,0.4784688995215311,-1.0782761361716768,25.0,256,0.1
R25_N256_L0.1,wall,7362,3705,0.5032599837000815,0.5594268810200526,25.0,256,0.1
R25_N256_L0.1,filament,413269,205780,0.49793233946896576,-2.6584325635748445,25.0,256,0.1
R25_N256_L0.1,cluster,391535,194326,0.4963183368025847,-4.607436380059592,25.0,256,0.1
R25_N256_L0.3,void,853,414,0.48534583821805394,-0.855983696747376,25.0,256,0.3
R25_N256_L0.3,wall,8964,4515,0.5036813922356091,0.6970966755769258,25.0,256,0.3
R25_N256_L0.3,filament,423273,210693,0.4977709421578981,-2.900424847516755,25.0,256,0.3
R25_N256_L0.3,cluster,379703,188489,0.4964116691203388,-4.422262237153467,25.0,256,0.3
R25_N256_L0,void,428,207,0.48364485981308414,-0.6767155423319645,25.0,256,0.0
R25_N256_L0,wall,6673,3359,0.5033717967930466,0.5508735892872288,25.0,256,0.0
R25_N256_L0,filament,408187,203261,0.4979604935972973,-2.606061457640616,25.0,256,0.0
R25_N256_L0,cluster,397505,197284,0.49630570684645475,-4.658355716765813,25.0,256,0.0
R50_N256_L0.1,void,599,283,0.4724540901502504,-1.3483434466349709,50.0,256,0.1
R50_N256_L0.1,wall,2192,1126,0.5136861313868614,1.2815364865751413,50.0,256,0.1
R50_N256_L0.1,filament,414202,206118,0.4976267618215267,-3.05476226861552,50.0,256,0.1
R50_N256_L0.1,cluster,395800,196584,0.4966750884284992,-4.1835791509639195,50.0,256,0.1
R50_N256_L0.3,void,825,400,0.48484848484848486,-0.8703882797784892,50.0,256,0.3
R50_N256_L0.3,wall,2784,1428,0.5129310344827587,1.364576478442026,50.0,256,0.3
R50_N256_L0.3,filament,426591,212247,0.4975421422392877,-3.210647200865767,50.0,256,0.3
R50_N256_L0.3,cluster,382593,190036,0.49670537620918315,-4.0757199552102055,50.0,256,0.3
R50_N256_L0,void,401,191,0.4763092269326683,-0.9488147219339523,50.0,256,0.0
R50_N256_L0,wall,1929,990,0.5132192846034215,1.1611920726344067,50.0,256,0.0
R50_N256_L0,filament,407438,202771,0.4976732656256903,-2.9703496001956444,50.0,256,0.0
R50_N256_L0,cluster,403025,200159,0.4966416475404752,-4.264049743596749,50.0,256,0.0
