cell,env_class,n,n_cw,cw_fraction,sigma_from_half,R_s_mpc_h,N_grid,lambda_th
R10_N256_L0,void,69750,34702,0.49751971326164873,-1.3100986309965628,10.0,256,0.0
R10_N256_L0,wall,624213,310448,0.49734305437406784,-4.198354115892803,10.0,256,0.0
R10_N256_L0,filament,3696152,1837192,0.4970553159069216,-11.322533580266487,10.0,256,0.0
R10_N256_L0,cluster,1181037,586811,0.4968608096105372,-6.8230633498256195,10.0,256,0.0
R10_N256_L0.1,void,183829,91366,0.4970162487964358,-2.5585836200171017,10.0,256,0.1
R10_N256_L0.1,wall,769259,382860,0.4976997344197468,-4.03500678773062,10.0,256,0.1
R10_N256_L0.1,filament,3507540,1743192,0.49698421115653707,-11.29619659640376,10.0,256,0.1
R10_N256_L0.1,cluster,1110524,551735,0.49682402181312607,-6.693780714993404,10.0,256,0.1
R10_N256_L0.3,void,450938,224558,0.49797976661980137,-2.713250898358596,10.0,256,0.3
R10_N256_L0.3,wall,942275,468980,0.4977103287256905,-4.445206755291719,10.0,256,0.3
R10_N256_L0.3,filament,3175448,1577886,0.49690185447848617,-11.041658505976882,10.0,256,0.3
R10_N256_L0.3,cluster,1002491,497729,0.49649223783555163,-7.024256729728108,10.0,256,0.3
R25_N256_L0,void,91991,45818,0.4980704634148993,-1.1704575923208447,25.0,256,0.0
R25_N256_L0,wall,577722,287079,0.49691547145512893,-4.688978510063885,25.0,256,0.0
R25_N256_L0,filament,3766470,1872839,0.4972398558862808,-10.71344168906051,25.0,256,0.0
R25_N256_L0,cluster,1134969,563417,0.49641620167599293,-7.6359936309294625,25.0,256,0.0
R25_N256_L0.1,void,231565,115161,0.4973160883553214,-2.5830610423818867,25.0,256,0.1
R25_N256_L0.1,wall,741818,369121,0.4975897052915944,-4.151918563088227,25.0,256,0.1
R25_N256_L0.1,filament,3537138,1758657,0.4971977344395384,-10.540598889113525,25.0,256,0.1
R25_N256_L0.1,cluster,1060631,526214,0.4961329623591994,-7.96508754094862,25.0,256,0.1
R25_N256_L0.3,void,538416,268393,0.49848630055570414,-2.221409504887495,25.0,256,0.3
R25_N256_L0.3,wall,939423,467313,0.4974468370478475,-4.949246949077356,25.0,256,0.3
R25_N256_L0.3,filament,3138018,1559348,0.49692130510404975,-10.907478423499233,25.0,256,0.3
R25_N256_L0.3,cluster,955295,474099,0.49628544062305363,-7.261160774723077,25.0,256,0.3
R50_N256_L0,void,81445,40540,0.49775922401620726,-1.2789708629084178,50.0,256,0.0
R50_N256_L0,wall,453445,225130,0.4964879974418066,-4.7298473860888866,50.0,256,0.0
R50_N256_L0,filament,3944934,1961404,0.4971956438307967,-11.139944757474613,50.0,256,0.0
R50_N256_L0,cluster,1091328,542079,0.4967150114356087,-6.86343470963124,50.0,256,0.0
R50_N256_L0.1,void,222649,110724,0.49730292972346607,-2.5452628163383184,50.0,256,0.1
R50_N256_L0.1,wall,643616,320067,0.497294970914334,-4.340256046891466,50.0,256,0.1
R50_N256_L0.1,filament,3694141,1836236,0.49706711248975066,-11.274106568557254,50.0,256,0.1
R50_N256_L0.1,cluster,1010746,502126,0.49678752129615156,-6.4593864573644755,50.0,256,0.1
R50_N256_L0.3,void,533667,265697,0.49787039483423184,-3.111460281536964,50.0,256,0.3
R50_N256_L0.3,wall,889806,442660,0.4974792258087718,-4.755668832425089,50.0,256,0.3
R50_N256_L0.3,filament,3242861,1611241,0.496857867173462,-11.316671319077786,50.0,256,0.3
R50_N256_L0.3,cluster,904818,449555,0.49684577450934886,-6.000719806929301,50.0,256,0.3
