classifier,env_class,n,n_cw,cw_fraction,sigma_from_half,n_eff,n_cw_eff
astra_argmax,void,2985.0,1435.0,0.4807370184254606,-2.1048719111014935,,
astra_argmax,wall,7980.0,4002.0,0.5015037593984962,0.268664197703787,,
astra_argmax,filament,8864.0,4326.0,0.48804151624548736,-2.251754229909063,,
astra_argmax,cluster,5357.0,2660.0,0.49654657457532203,-0.5055229781386513,,
astra_entropy_weighted,void,,,0.4857615592048019,-1.9965446930783473,3338.139892578125,1621.5400390625
astra_entropy_weighted,wall,,,0.4974765664689923,-0.5697967092240648,7723.599609375,3842.309814453125
astra_entropy_weighted,filament,,,0.4920518325115417,-1.9533611985055244,8432.810546875,4149.3798828125
astra_entropy_weighted,cluster,,,0.4936826156970305,-1.173604409392675,5691.4501953125,2809.77001953125
vweb_on_same_overlap,void,1.0,0.0,0.0,-1.0,,
vweb_on_same_overlap,wall,2.0,2.0,1.0,1.414213562373095,,
vweb_on_same_overlap,filament,7972.0,3991.0,0.500627195183141,0.11199956992247725,,
vweb_on_same_overlap,cluster,17211.0,8430.0,0.4898030329440474,-2.6754945100445853,,
