q_low,q_high,density_low,density_high,n,n_cw,n_ccw,cw_fraction,sigma_from_half,z_low,z_high
0.0,0.2,156.26770493002172,113825.68786066657,17588,8712,8876,0.4953377302706391,-1.2366181590250016,0.0,0.05
0.2,0.4,113825.68786066657,175686.87624265277,17587,8720,8867,0.4958207767100699,-1.1084636427233137,0.0,0.05
0.4,0.6,175686.87624265277,256603.9308672491,17587,8757,8830,0.4979246034002388,-0.5504615368625979,0.0,0.05
0.6,0.8,256603.9308672491,405310.62195802724,17587,8746,8841,0.4972991414112697,-0.7163540548211891,0.0,0.05
0.8,1.0,405310.62195802724,17517436.63045353,17588,8762,8826,0.49818057766659085,-0.4825826962048787,0.0,0.05
0.0,0.2,42.84117312170033,117335.62134509435,39385,19454,19931,0.49394439507426685,-2.403548855161763,0.05,0.1
0.2,0.4,117335.62134509435,180933.63343555055,39384,19667,19717,0.4993652244566321,-0.25194752298204187,0.05,0.1
0.4,0.6,180933.63343555055,263914.08797686134,39384,19524,19860,0.49573430834856796,-1.6930873544393215,0.05,0.1
0.6,0.8,263914.08797686134,418179.01438619144,39384,19657,19727,0.499111314239285,-0.3527265321748586,0.05,0.1
0.8,1.0,418179.01438619144,12667826.822934957,39385,19654,19731,0.4990224704836867,-0.38799425963827205,0.05,0.1
0.0,0.2,61.12684064126171,117330.45615823993,63954,31825,32129,0.4976232917409388,-1.2020975923398274,0.1,0.2
0.2,0.4,117330.45615823993,179046.990780439,63954,31910,32044,0.4989523720173875,-0.5298719650445292,0.1,0.2
0.4,0.6,179046.990780439,259464.0032793972,63954,31663,32291,0.49509022109641304,-2.4832805525967485,0.1,0.2
0.6,0.8,259464.0032793972,406767.9861314285,63954,31608,32346,0.494230227976358,-2.918250076140765,0.1,0.2
0.8,1.0,406767.9861314285,22580461.98682346,63954,31774,32180,0.4968258435750696,-1.6054329687170061,0.1,0.2
0.0,0.2,287.908572509143,117757.79633543032,27760,13920,13840,0.5014409221902018,0.48015367376734364,0.2,0.3
0.2,0.4,117757.79633543032,178652.09163154574,27759,13873,13886,0.4997658417089953,-0.07802637737408227,0.2,0.3
0.4,0.6,178652.09163154574,257906.7634455085,27760,13598,14162,0.4898414985590778,-3.3850834000597727,0.2,0.3
0.6,0.8,257906.7634455085,401328.82191230846,27759,13747,14012,0.49522677329875,-1.5905376926255235,0.2,0.3
0.8,1.0,401328.82191230846,27829231.705107465,27760,13892,13868,0.5004322766570605,0.1440461021302031,0.2,0.3
0.0,0.2,274.953296438064,107143.02936009745,9168,4624,4544,0.5043630017452007,0.8355119862887136,0.3,0.5
0.2,0.4,107143.02936009745,167862.196220378,9168,4584,4584,0.5,0.0,0.3,0.5
0.4,0.6,167862.196220378,245203.98040323218,9168,4509,4659,0.4918193717277487,-1.566584974291338,0.3,0.5
0.6,0.8,245203.98040323218,385705.6649218259,9168,4595,4573,0.5011998254799301,0.22976579622939625,0.3,0.5
0.8,1.0,385705.6649218259,8725461.516749792,9169,4605,4564,0.50223579452503,0.4281765419222069,0.3,0.5
0.0,0.2,447.42945274251196,97812.63596234436,271,160,111,0.5904059040590406,2.976538022230856,0.5,0.8
0.2,0.4,97812.63596234436,156038.29303341845,271,124,147,0.4575645756457565,-1.39715050023081,0.5,0.8
0.4,0.6,156038.29303341845,236007.09486712242,271,153,118,0.5645756457564576,2.1260985873077543,0.5,0.8
0.6,0.8,236007.09486712242,375861.0904060738,271,139,132,0.5129151291512916,0.42521971746155085,0.5,0.8
0.8,1.0,375861.0904060738,7183095.2256692145,271,144,127,0.5313653136531366,1.0326764566923379,0.5,0.8
0.0,0.2,8262.133304479163,120463.33678763566,52,31,21,0.5961538461538461,1.386750490563073,0.8,1.2
0.2,0.4,120463.33678763566,167634.74660901923,51,26,25,0.5098039215686274,0.14002800840280097,0.8,1.2
0.4,0.6,167634.74660901923,239180.29594285737,52,29,23,0.5576923076923077,0.8320502943378437,0.8,1.2
0.6,0.8,239180.29594285737,342270.0905776544,51,21,30,0.4117647058823529,-1.2602520756252087,0.8,1.2
0.8,1.0,342270.0905776544,3805108.7855055905,52,23,29,0.4423076923076923,-0.8320502943378437,0.8,1.2
0.0,0.2,6593.273662778462,106722.8148182779,146,68,78,0.4657534246575342,-0.827605888602368,1.2,2.0
0.2,0.4,106722.8148182779,171176.68807706228,146,75,71,0.5136986301369864,0.3310423554409472,1.2,2.0
0.4,0.6,171176.68807706228,236423.8325649769,146,63,83,0.4315068493150685,-1.655211777204736,1.2,2.0
0.6,0.8,236423.8325649769,360507.4713162386,146,73,73,0.5,0.0,1.2,2.0
0.8,1.0,360507.4713162386,3518225.8890380315,146,70,76,0.4794520547945205,-0.49656353316142077,1.2,2.0
