pix,n_cw,n,n_ccw,cw_fraction,sigma_from_half
498,23,57,34,0.40350877192982454,-1.4569855927715483
499,41,87,46,0.47126436781609193,-0.5360562674188973
500,43,90,47,0.4777777777777778,-0.4216370213557839
505,38,71,33,0.5352112676056338,0.5933908290969266
506,38,68,30,0.5588235294117647,0.9701425001453319
508,36,71,35,0.5070422535211268,0.11867816581938533
509,24,56,32,0.42857142857142855,-1.0690449676496976
564,41,85,44,0.4823529411764706,-0.32539568672798425
565,66,132,66,0.5,0.0
566,42,91,49,0.46153846153846156,-0.7337993857053429
571,36,74,38,0.4864864864864865,-0.23249527748763857
572,38,77,39,0.4935064935064935,-0.11396057645963795
574,17,53,36,0.32075471698113206,-2.6098507150250914
580,33,66,33,0.5,0.0
633,28,64,36,0.4375,-1.0
634,44,90,46,0.4888888888888889,-0.21081851067789195
635,45,85,40,0.5294117647058824,0.5423261445466404
636,45,90,45,0.5,0.0
637,53,106,53,0.5,0.0
638,49,113,64,0.4336283185840708,-1.4110813025753959
639,44,91,47,0.4835164835164835,-0.3144854510165755
640,55,131,76,0.4198473282442748,-1.8347785189881796
641,38,85,47,0.4470588235294118,-0.9761870601839528
642,41,79,38,0.5189873417721519,0.3375263702778072
643,26,60,34,0.43333333333333335,-1.0327955589886444
644,30,58,28,0.5172413793103449,0.2626128657194451
645,27,59,32,0.4576271186440678,-0.6509445549041194
646,40,89,49,0.449438202247191,-0.953998092005724
647,27,62,35,0.43548387096774194,-1.016001016001524
650,23,50,27,0.46,-0.565685424949238
664,26,57,31,0.45614035087719296,-0.6622661785325219
707,54,98,44,0.5510204081632653,1.0101525445522108
708,34,74,40,0.4594594594594595,-0.6974858324629157
709,48,101,53,0.4752475247524752,-0.4975185951049946
710,50,99,49,0.5050505050505051,0.10050378152592121
711,89,166,77,0.536144578313253,0.9313806308475994
712,49,94,45,0.5212765957446809,0.41256849850351734
713,39,76,37,0.5131578947368421,0.22941573387056174
714,54,101,47,0.5346534653465347,0.6965260331469925
715,41,77,36,0.5324675324675324,0.5698028822981898
718,36,58,22,0.6206896551724138,1.8382900600361156
720,42,82,40,0.5121951219512195,0.22086305214969307
723,34,62,28,0.5483870967741935,0.762000762001143
738,31,66,35,0.4696969696969697,-0.4923659639173309
739,33,81,48,0.4074074074074074,-1.6666666666666667
740,22,50,28,0.44,-0.848528137423857
741,28,56,28,0.5,0.0
742,24,53,29,0.4528301886792453,-0.6868028197434451
785,44,92,48,0.4782608695652174,-0.41702882811414954
786,34,79,45,0.43037974683544306,-1.2375966910186262
787,46,98,52,0.46938775510204084,-0.6060915267313265
788,48,107,59,0.4485981308411215,-1.0634101379502299
789,41,88,47,0.4659090909090909,-0.6396021490668313
790,67,119,52,0.5630252100840336,1.3750477455423171
791,56,117,61,0.47863247863247865,-0.4622501635210242
792,22,60,38,0.36666666666666664,-2.065591117977289
793,29,61,32,0.47540983606557374,-0.3841106397986879
797,35,51,16,0.6862745098039216,2.6605321596532185
798,37,77,40,0.4805194805194805,-0.3418817293789138
799,44,75,31,0.5866666666666667,1.5011106998930268
817,53,97,44,0.5463917525773195,0.9138115486202573
818,38,71,33,0.5352112676056338,0.5933908290969266
819,30,59,29,0.5084745762711864,0.13018891098082389
820,33,69,36,0.4782608695652174,-0.3611575592573076
866,23,58,35,0.39655172413793105,-1.5756771943166705
868,37,67,30,0.5522388059701493,0.8551861104941365
869,37,77,40,0.4805194805194805,-0.3418817293789138
870,33,78,45,0.4230769230769231,-1.3587324409735149
871,31,52,21,0.5961538461538461,1.386750490563073
872,49,95,46,0.5157894736842106,0.30779350562554625
873,62,123,61,0.5040650406504065,0.09016696346674323
874,56,98,42,0.5714285714285714,1.4142135623730951
875,36,82,46,0.43902439024390244,-1.1043152607484654
876,24,54,30,0.4444444444444444,-0.816496580927726
880,34,64,30,0.53125,0.5
881,36,72,36,0.5,0.0
882,25,53,28,0.4716981132075472,-0.4120816918460671
883,26,54,28,0.48148148148148145,-0.2721655269759087
900,32,60,28,0.5333333333333333,0.5163977794943222
901,34,73,39,0.4657534246575342,-0.5852057359806528
903,37,79,42,0.46835443037974683,-0.562543950463012
904,38,78,40,0.48717948717948717,-0.22645540682891913
952,21,54,33,0.3888888888888889,-1.632993161855452
954,42,90,48,0.4666666666666667,-0.6324555320336759
955,65,97,32,0.6701030927835051,3.350642344940943
956,23,53,30,0.4339622641509434,-0.9615239476408232
957,48,96,48,0.5,0.0
958,76,145,69,0.5241379310344828,0.5813183589761798
959,32,74,42,0.43243243243243246,-1.162476387438193
960,95,153,58,0.6209150326797386,2.99127270878144
961,51,98,47,0.5204081632653061,0.40406101782088427
964,20,50,30,0.4,-1.414213562373095
966,33,70,37,0.4714285714285714,-0.47809144373375745
967,29,55,26,0.5272727272727272,0.40451991747794525
968,27,81,54,0.3333333333333333,-3.0
969,24,53,29,0.4528301886792453,-0.6868028197434451
986,28,71,43,0.39436619718309857,-1.7801724872907798
1042,24,51,27,0.47058823529411764,-0.42008402520840293
1043,35,79,44,0.4430379746835443,-1.0125791108334214
1044,27,69,42,0.391304347826087,-1.805787796286538
1045,27,75,48,0.36,-2.424871130596428
1046,48,95,47,0.5052631578947369,0.10259783520851541
1047,52,105,53,0.49523809523809526,-0.09759000729485333
1048,47,101,54,0.46534653465346537,-0.6965260331469925
1049,42,82,40,0.5121951219512195,0.22086305214969307
1050,36,70,34,0.5142857142857142,0.23904572186687872
1051,45,88,43,0.5113636363636364,0.21320071635561041
1054,36,84,48,0.42857142857142855,-1.3093073414159544
1056,47,93,46,0.5053763440860215,0.10369516947304253
1057,50,107,57,0.4672897196261682,-0.6767155423319645
1058,53,97,44,0.5463917525773195,0.9138115486202573
1059,34,79,45,0.43037974683544306,-1.2375966910186262
1060,30,72,42,0.4166666666666667,-1.4142135623730951
1077,26,61,35,0.4262295081967213,-1.1523319193960637
1078,20,58,38,0.3448275862068966,-2.363515791475006
1080,31,61,30,0.5081967213114754,0.12803687993289598
1082,32,69,37,0.463768115942029,-0.601929265428846
1132,44,92,48,0.4782608695652174,-0.41702882811414954
1136,44,90,46,0.4888888888888889,-0.21081851067789195
1137,47,88,41,0.5340909090909091,0.6396021490668313
1139,23,53,30,0.4339622641509434,-0.9615239476408232
1140,35,67,32,0.5223880597014925,0.36650833306891567
1141,28,63,35,0.4444444444444444,-0.8819171036881969
1142,30,69,39,0.43478260869565216,-1.0834726777719228
1143,43,85,42,0.5058823529411764,0.10846522890932808
1144,26,55,29,0.4727272727272727,-0.40451991747794525
1145,24,52,28,0.46153846153846156,-0.5547001962252291
1149,39,82,43,0.47560975609756095,-0.44172610429938614
1150,44,97,53,0.4536082474226804,-0.9138115486202573
1151,42,91,49,0.46153846153846156,-0.7337993857053429
1152,42,86,44,0.4883720930232558,-0.21566554640687682
1153,44,83,39,0.5301204819277109,0.5488212999484517
1154,33,56,23,0.5892857142857143,1.3363062095621219
1172,21,53,32,0.39622641509433965,-1.5109662034355793
1173,40,68,28,0.5882352941176471,1.4552137502179978
1174,40,77,37,0.5194805194805194,0.3418817293789138
1175,44,78,34,0.5641025641025641,1.1322770341445956
1176,26,53,27,0.49056603773584906,-0.13736056394868904
1177,33,70,37,0.4714285714285714,-0.47809144373375745
1178,28,63,35,0.4444444444444444,-0.8819171036881969
1179,35,88,53,0.3977272727272727,-1.9188064472004938
1228,28,55,27,0.509090909090909,0.13483997249264842
1229,58,122,64,0.47540983606557374,-0.5432144762551112
1230,43,95,52,0.45263157894736844,-0.9233805168766388
1231,30,54,24,0.5555555555555556,0.816496580927726
1233,33,80,47,0.4125,-1.5652475842498528
1234,41,83,42,0.4939759036144578,-0.10976425998969035
1240,34,64,30,0.53125,0.5
1242,33,61,28,0.5409836065573771,0.6401843996644799
1243,33,71,38,0.4647887323943662,-0.5933908290969266
1244,31,52,21,0.5961538461538461,1.386750490563073
1245,28,58,30,0.4827586206896552,-0.2626128657194451
1246,34,67,33,0.5074626865671642,0.12216944435630522
1247,68,125,57,0.544,0.9838699100999074
1248,60,127,67,0.47244094488188976,-0.6211495565912797
1249,41,103,62,0.39805825242718446,-2.0691914841450156
1250,42,81,39,0.5185185185185185,0.3333333333333333
1251,40,78,38,0.5128205128205128,0.22645540682891913
1252,30,57,27,0.5263157894736842,0.39735970711951313
1271,34,69,35,0.4927536231884058,-0.1203858530857692
1273,46,81,35,0.5679012345679012,1.2222222222222223
1274,43,88,45,0.48863636363636365,-0.21320071635561041
1276,39,90,51,0.43333333333333335,-1.2649110640673518
1277,37,70,33,0.5285714285714286,0.47809144373375745
1278,46,98,52,0.46938775510204084,-0.6060915267313265
