status	url	local_evidence_or_note
200	https://arxiv.org/abs/1104.4028	resolved
200	https://arxiv.org/abs/1111.0884	resolved
200	https://arxiv.org/abs/1402.4854	resolved
200	https://arxiv.org/abs/hep-ph/0306087	resolved
200	https://arxiv.org/abs/hep-th/0507253	resolved
200	https://doi.org/10.1007/JHEP06(2011)107	resolved to Springer
200	https://doi.org/10.1016/0370-1573(94)90022-1	resolved to Elsevier
200	https://doi.org/10.1016/j.physrep.2004.11.004	resolved to Elsevier
403	https://doi.org/10.1063/1.1665738	DOI resolved to AIP; publisher bot protection
200	https://doi.org/10.1088/0264-9381/31/18/185002	resolved to IOP
200	https://doi.org/10.1088/1742-6596/360/1/012011	resolved to IOP
403	https://doi.org/10.1103/PhysRevD.72.104002	DOI resolved to APS; publisher bot protection
403	https://doi.org/10.1103/RevModPhys.48.393	DOI resolved to APS; publisher bot protection
403	https://doi.org/10.1103/RevModPhys.64.649	DOI resolved to APS; publisher bot protection
PRE-PUSH-404	https://github.com/Hubify-Projects/bigbounce/blob/7befce143848b925998a3e6ecc850aa510ab3a94/arxiv/scripts/fierz_lemma_check.py	git cat-file PASS; SHA-256 a989ccef618dad3843c96b67fb81b718525f2c6f31efac31c8b2bc8df799cdca
PRE-PUSH-404	https://github.com/Hubify-Projects/bigbounce/blob/7befce143848b925998a3e6ecc850aa510ab3a94/arxiv/scripts/njl_gap_equation_route1.py	git cat-file PASS; corrected script SHA-256 69681ea3a420d562b28faaa534d1e729269a6cfa9c966f44b89a9326d5d8843c
PRE-PUSH-404	https://github.com/Hubify-Projects/bigbounce/blob/7befce143848b925998a3e6ecc850aa510ab3a94/arxiv/scripts/njl_gap_equation_route1_results.json	git cat-file PASS; corrected JSON SHA-256 a53d19e1db2cf0de7102b4e864ca5dbf4924794469f848652b447ef7d4c31d3f
PRE-PUSH-404	https://github.com/Hubify-Projects/bigbounce/tree/7befce143848b925998a3e6ecc850aa510ab3a94	local immutable commit exists; remote resolves only after serialized push
MAILTO	mailto:houston@hubify.com	author email
