dataset,chain,cohort,rows,H0,delta_neff,tau
planck_only,planck_only,new,117,70.142546,0.312837,0.050170
planck_only,planck_only_chain2,new,264,68.190975,0.117571,0.061670
planck_only,planck_only_chain3,new,280,67.803307,0.030083,0.055632
planck_only,planck_only_chain4,new,274,69.232431,0.231025,0.061266
planck_only,planck_only_chain5,new,327,67.262703,0.083012,0.048476
planck_only,planck_only_chain6,new,356,68.501987,0.195764,0.057660
planck_only,planck_only_chain7,new,319,66.567172,-0.180408,0.061202
planck_bao,planck_bao,new,95,70.314200,0.396280,0.051207
planck_bao,planck_bao_chain2,new,385,67.331798,-0.025038,0.049299
planck_bao,planck_bao_chain3,new,372,68.310304,0.069871,0.063010
planck_bao,planck_bao_chain4,new,253,69.288704,0.275903,0.053873
planck_bao,planck_bao_chain5,new,262,68.554270,0.132148,0.055387
planck_bao,planck_bao_chain6,new,315,68.000321,0.105560,0.047559
planck_bao,planck_bao_chain7,new,333,68.150103,0.104007,0.052191
planck_bao_sn,planck_bao_sn,new,89,68.964719,0.227338,0.057216
planck_bao_sn,planck_bao_sn_chain2,new,273,67.900651,0.095694,0.049503
planck_bao_sn,planck_bao_sn_chain3,new,294,69.510300,0.354426,0.046627
planck_bao_sn,planck_bao_sn_chain4,new,366,68.369301,0.145341,0.049225
planck_bao_sn,planck_bao_sn_chain5,new,426,67.718649,0.069711,0.051626
planck_bao_sn,planck_bao_sn_chain6,new,390,68.248682,0.117038,0.049341
planck_bao_sn,planck_bao_sn_chain7,new,357,67.547850,0.002362,0.056219
full_tension,full_tension,new,232,68.277881,0.083177,0.059644
full_tension,full_tension_chain2,new,632,68.538526,0.123550,0.055114
full_tension,full_tension_chain3,new,555,68.506942,0.078645,0.056342
full_tension,full_tension_chain4,new,655,68.251390,0.065767,0.051075
full_tension,full_tension_chain5,new,626,68.149657,0.042643,0.053824
full_tension,full_tension_chain6,new,755,68.411062,0.103167,0.052841
full_tension,full_tension_chain7,new,561,67.663800,-0.027418,0.054788
