dataset,param,Rhat_m1_cohort_main,ESS_cohort_main,drift_cohort_main,Rhat_m1_all,ESS_all,drift_all
full_tension,H0,0.003642,780.6,0.0074,0.149959,788.1,-0.0101
full_tension,delta_neff,0.003121,693.6,0.0066,0.218589,701.0,-0.0143
full_tension,omegam,0.004429,1546.8,,0.033292,1587.2,
full_tension,ombh2,0.001477,1330.0,,0.055508,1340.9,
full_tension,ns,0.001800,943.2,,0.084734,958.5,
full_tension,tau,0.007078,1242.7,,0.110706,1248.7,
full_tension,sigma8,0.004269,905.6,,0.356363,916.1,
planck_only,H0,0.004224,568.7,-0.0242,0.257178,583.2,-0.004
planck_only,delta_neff,0.003527,547.0,-0.035,0.304153,558.3,-0.0199
planck_only,omegam,0.005843,776.4,,0.132037,793.6,
planck_only,ombh2,0.005170,556.8,,0.185341,585.1,
planck_only,ns,0.005541,519.1,,0.253713,537.2,
planck_only,tau,0.009024,608.6,,0.258488,615.9,
planck_only,sigma8,0.003017,508.5,,0.282285,526.1,
planck_bao_sn,H0,0.008053,691.3,-0.0293,0.113726,698.7,-0.0231
planck_bao_sn,delta_neff,0.012575,565.1,-0.0162,0.244350,570.0,-0.0171
planck_bao_sn,omegam,0.001017,1516.0,,0.027665,1537.7,
planck_bao_sn,ombh2,0.001711,1749.1,,0.016544,1768.2,
planck_bao_sn,ns,0.004218,1190.4,,0.097329,1204.1,
planck_bao_sn,tau,0.003081,724.0,,0.188586,731.3,
planck_bao_sn,sigma8,0.008583,894.8,,0.176457,907.9,
planck_bao,H0,0.026577,479.2,0.0619,0.406104,483.8,0.0572
planck_bao,delta_neff,0.022969,439.5,0.051,0.446598,442.8,0.0458
planck_bao,omegam,0.016622,917.7,,0.140867,932.2,
planck_bao,ombh2,0.024098,591.8,,0.247176,613.2,
planck_bao,ns,0.019073,619.1,,0.334236,630.0,
planck_bao,tau,0.005899,840.0,,0.139232,843.3,
planck_bao,sigma8,0.025978,376.7,,0.641566,385.5,
