dataset,param,Rhat_all,Rhat_m1_all,ESS_all,drift_all,Rhat_new,Rhat_m1_new,ESS_new,drift_new
planck_only,H0,1.258909,0.258909,574.7,-0.0067,,,,
planck_only,delta_neff,1.307750,0.307750,551.7,-0.0221,,,,
planck_only,omegam,1.131793,0.131793,781.1,,,,,
planck_only,ombh2,1.185498,0.185498,582.6,,,,,
planck_only,ns,1.253732,0.253732,528.6,,,,,
planck_only,tau,1.262280,0.262280,612.0,,,,,
planck_only,sigma8,1.285379,0.285379,523.1,,,,,
planck_bao,H0,1.403739,0.403739,478.1,0.0572,,,,
planck_bao,delta_neff,1.443734,0.443734,419.9,0.0470,,,,
planck_bao,omegam,1.140679,0.140679,922.9,,,,,
planck_bao,ombh2,1.245931,0.245931,607.6,,,,,
planck_bao,ns,1.333621,0.333621,629.6,,,,,
planck_bao,tau,1.140388,0.140388,835.2,,,,,
planck_bao,sigma8,1.641663,0.641663,377.3,,,,,
planck_bao_sn,H0,1.113925,0.113925,694.1,-0.0304,,,,
planck_bao_sn,delta_neff,1.245685,0.245685,569.5,-0.0220,,,,
planck_bao_sn,omegam,1.027854,0.027854,1536.7,,,,,
planck_bao_sn,ombh2,1.016177,0.016177,1764.4,,,,,
planck_bao_sn,ns,1.097586,0.097586,1201.2,,,,,
planck_bao_sn,tau,1.190550,0.190550,725.6,,,,,
planck_bao_sn,sigma8,1.178758,0.178758,904.5,,,,,
full_tension,H0,1.153834,0.153834,795.0,-0.0120,,,,
full_tension,delta_neff,1.225585,0.225585,699.6,-0.0155,,,,
full_tension,omegam,1.033733,0.033733,1579.9,,,,,
full_tension,ombh2,1.056422,0.056422,1351.7,,,,,
full_tension,ns,1.088618,0.088618,955.5,,,,,
full_tension,tau,1.111924,0.111924,1240.6,,,,,
full_tension,sigma8,1.357702,0.357702,909.6,,,,,
