dataset,param,Rhat,Rhat_m1,ESS,drift
planck_only,H0,1.007948,0.007948,122.5,0.0058
planck_only,delta_neff,1.007849,0.007849,122.9,-0.0032
planck_only,omegam,1.006189,0.006189,228.1,
planck_only,ombh2,1.004120,0.004120,226.6,
planck_only,ns,1.002549,0.002549,199.4,
planck_only,tau,1.006755,0.006755,160.8,
planck_only,sigma8,1.008729,0.008729,103.8,
planck_bao,H0,1.028706,0.028706,180.2,-0.0386
planck_bao,delta_neff,1.023951,0.023951,251.0,-0.0500
planck_bao,omegam,1.018452,0.018452,467.1,
planck_bao,ombh2,1.035438,0.035438,221.7,
planck_bao,ns,1.017825,0.017825,182.1,
planck_bao,tau,1.002875,0.002875,361.2,
planck_bao,sigma8,1.012889,0.012889,295.8,
planck_bao_sn,H0,1.007482,0.007482,143.7,-0.1732
planck_bao_sn,delta_neff,1.006102,0.006102,118.7,-0.1652
planck_bao_sn,omegam,1.007994,0.007994,565.4,
planck_bao_sn,ombh2,1.003214,0.003214,263.6,
planck_bao_sn,ns,1.007619,0.007619,167.4,
planck_bao_sn,tau,1.010764,0.010764,212.1,
planck_bao_sn,sigma8,1.008624,0.008624,136.5,
full_tension,H0,1.003387,0.003387,123.1,-0.0361
full_tension,delta_neff,1.006324,0.006324,120.0,-0.0478
full_tension,omegam,1.000135,0.000135,224.5,
full_tension,ombh2,1.000636,0.000636,184.5,
full_tension,ns,1.002479,0.002479,139.5,
full_tension,tau,1.004875,0.004875,241.8,
full_tension,sigma8,1.007868,0.007868,107.9,
