m_X_GeV,tau_X_sec,Br_dark,Y_X,Delta_Neff,BBN_OK,CMB_OK,Target,Allowed
1.000000e+00,1.000000e-06,1.000000e+00,1.000000e-10,5.026583e-09,True,True,False,False
1.000000e+00,1.418727e-06,1.000000e+00,1.000000e-10,5.987178e-09,True,True,False,False
1.000000e+00,2.012785e-06,1.000000e+00,1.000000e-10,7.131347e-09,True,True,False,False
1.000000e+00,2.855592e-06,1.000000e+00,1.000000e-10,8.494170e-09,True,True,False,False
1.000000e+00,4.051305e-06,1.000000e+00,1.000000e-10,1.011743e-08,True,True,False,False
1.000000e+00,5.747694e-06,1.000000e+00,1.000000e-10,1.205091e-08,True,True,False,False
1.000000e+00,8.154407e-06,1.000000e+00,1.000000e-10,1.435387e-08,True,True,False,False
1.000000e+00,1.156888e-05,1.000000e+00,1.000000e-10,1.709694e-08,True,True,False,False
1.000000e+00,1.641307e-05,1.000000e+00,1.000000e-10,3.647069e-08,True,True,False,False
1.000000e+00,2.328566e-05,1.000000e+00,1.000000e-10,4.344035e-08,True,True,False,False
1.000000e+00,3.303599e-05,1.000000e+00,1.000000e-10,3.342224e-08,True,True,False,False
1.000000e+00,4.686904e-05,1.000000e+00,1.000000e-10,3.980933e-08,True,True,False,False
1.000000e+00,6.649436e-05,1.000000e+00,1.000000e-10,4.741702e-08,True,True,False,False
1.000000e+00,9.433732e-05,1.000000e+00,1.000000e-10,5.647856e-08,True,True,False,False
1.000000e+00,1.338389e-04,1.000000e+00,1.000000e-10,6.727179e-08,True,True,False,False
1.000000e+00,1.898808e-04,1.000000e+00,1.000000e-10,8.012764e-08,True,True,False,False
1.000000e+00,2.693889e-04,1.000000e+00,1.000000e-10,9.544029e-08,True,True,False,False
1.000000e+00,3.821893e-04,1.000000e+00,1.000000e-10,1.136792e-07,True,True,False,False
1.000000e+00,5.422221e-04,1.000000e+00,1.000000e-10,1.354037e-07,True,True,False,False
1.000000e+00,7.692650e-04,1.000000e+00,1.000000e-10,1.612798e-07,True,True,False,False
1.000000e+00,1.091377e-03,1.000000e+00,1.000000e-10,1.921008e-07,True,True,False,False
1.000000e+00,1.548365e-03,1.000000e+00,1.000000e-10,2.288119e-07,True,True,False,False
1.000000e+00,2.196707e-03,1.000000e+00,1.000000e-10,2.725386e-07,True,True,False,False
1.000000e+00,3.116527e-03,1.000000e+00,1.000000e-10,3.246215e-07,True,True,False,False
1.000000e+00,4.421500e-03,1.000000e+00,1.000000e-10,3.866577e-07,True,True,False,False
1.000000e+00,6.272900e-03,1.000000e+00,1.000000e-10,4.605492e-07,True,True,False,False
1.000000e+00,8.899530e-03,1.000000e+00,1.000000e-10,5.485616e-07,True,True,False,False
1.000000e+00,1.262600e-02,1.000000e+00,1.000000e-10,6.533935e-07,True,True,False,False
1.000000e+00,1.791284e-02,1.000000e+00,1.000000e-10,7.782590e-07,True,True,False,False
1.000000e+00,2.541343e-02,1.000000e+00,1.000000e-10,9.269867e-07,True,True,False,False
1.000000e+00,3.605471e-02,1.000000e+00,1.000000e-10,1.104137e-06,True,True,False,False
1.000000e+00,5.115178e-02,1.000000e+00,1.000000e-10,1.315141e-06,True,True,False,False
1.000000e+00,7.257040e-02,1.000000e+00,1.000000e-10,1.566468e-06,True,True,False,False
1.000000e+00,1.029576e-01,1.000000e+00,1.000000e-10,1.865825e-06,True,True,False,False
1.000000e+00,1.460686e-01,1.000000e+00,1.000000e-10,2.222390e-06,True,True,False,False
1.000000e+00,2.072315e-01,1.000000e+00,1.000000e-10,2.647096e-06,True,True,False,False
1.000000e+00,2.940048e-01,1.000000e+00,1.000000e-10,3.152965e-06,True,True,False,False
1.000000e+00,4.171125e-01,1.000000e+00,1.000000e-10,2.808026e-06,True,True,False,False
1.000000e+00,5.917686e-01,1.000000e+00,1.000000e-10,1.045397e-06,True,True,False,False
1.000000e+00,8.395579e-01,1.000000e+00,1.000000e-10,1.245176e-06,True,True,False,False
1.000000e+00,1.191103e+00,1.000000e+00,1.000000e-10,1.483133e-06,True,True,False,False
1.000000e+00,1.689850e+00,1.000000e+00,1.000000e-10,1.766564e-06,True,True,False,False
1.000000e+00,2.397435e+00,1.000000e+00,1.000000e-10,2.104160e-06,True,True,False,False
1.000000e+00,3.401305e+00,1.000000e+00,1.000000e-10,2.506272e-06,True,True,False,False
1.000000e+00,4.825522e+00,1.000000e+00,1.000000e-10,2.985228e-06,True,True,False,False
1.000000e+00,6.846097e+00,1.000000e+00,1.000000e-10,3.555715e-06,True,True,False,False
1.000000e+00,9.712740e+00,1.000000e+00,1.000000e-10,4.235223e-06,True,True,False,False
1.000000e+00,1.377972e+01,1.000000e+00,1.000000e-10,5.044587e-06,True,True,False,False
1.000000e+00,1.954966e+01,1.000000e+00,1.000000e-10,6.008624e-06,True,True,False,False
1.000000e+00,2.773563e+01,1.000000e+00,1.000000e-10,7.156891e-06,True,True,False,False
1.000000e+00,3.934927e+01,1.000000e+00,1.000000e-10,8.524595e-06,True,True,False,False
1.000000e+00,5.582586e+01,1.000000e+00,1.000000e-10,1.015367e-05,True,True,False,False
1.000000e+00,7.920164e+01,1.000000e+00,1.000000e-10,1.209407e-05,True,True,False,False
1.000000e+00,1.123655e+02,1.000000e+00,1.000000e-10,1.440528e-05,True,True,False,False
1.000000e+00,1.594159e+02,1.000000e+00,1.000000e-10,1.715818e-05,True,True,False,False
1.000000e+00,2.261676e+02,1.000000e+00,1.000000e-10,2.043716e-05,True,True,False,False
1.000000e+00,3.208700e+02,1.000000e+00,1.000000e-10,2.434277e-05,True,True,False,False
1.000000e+00,4.552268e+02,1.000000e+00,1.000000e-10,2.899475e-05,True,True,False,False
1.000000e+00,6.458424e+02,1.000000e+00,1.000000e-10,3.453573e-05,True,True,False,False
1.000000e+00,9.162739e+02,1.000000e+00,1.000000e-10,4.113562e-05,True,True,False,False
1.000000e+00,1.299942e+03,1.000000e+00,1.000000e-10,4.899677e-05,True,True,False,False
1.000000e+00,1.844263e+03,1.000000e+00,1.000000e-10,5.836020e-05,True,True,False,False
1.000000e+00,2.616505e+03,1.000000e+00,1.000000e-10,6.951302e-05,True,True,False,False
1.000000e+00,3.712105e+03,1.000000e+00,1.000000e-10,8.279717e-05,True,True,False,False
1.000000e+00,5.266462e+03,1.000000e+00,1.000000e-10,9.861997e-05,True,True,False,False
1.000000e+00,7.471671e+03,1.000000e+00,1.000000e-10,1.174666e-04,True,True,False,False
1.000000e+00,1.060026e+04,1.000000e+00,1.000000e-10,1.399148e-04,True,True,False,False
1.000000e+00,1.503887e+04,1.000000e+00,1.000000e-10,1.666529e-04,True,True,False,False
