WP5 Monte Carlo Sensitivity — Summary
==================================================
N samples: 100000

Required epsilon_PO for A_0 = 0.003:
  Median: 0.2438
  68% CI: [0.1424, 0.3822]
  95% CI: [0.0894, 0.5461]

Conservative upper bound at eps_PO ~ 0.2:
  A_0 (95th percentile): 0.005846

Binned A_0 vs epsilon_PO:
eps_PO        A0_median     A0_16th       A0_84th     
0.0112        0.000138      0.000087      0.000236    
0.0141        0.000176      0.000111      0.000298    
0.0178        0.000220      0.000138      0.000382    
0.0224        0.000279      0.000178      0.000472    
0.0282        0.000346      0.000221      0.000607    
0.0355        0.000425      0.000273      0.000751    
0.0447        0.000541      0.000343      0.000932    
0.0562        0.000691      0.000436      0.001203    
0.0708        0.000872      0.000549      0.001480    
0.0891        0.001112      0.000704      0.001901    
0.1122        0.001375      0.000878      0.002420    
0.1413        0.001753      0.001098      0.002953    
0.1778        0.002189      0.001386      0.003712    
0.2239        0.002743      0.001765      0.004699    
0.2818        0.003491      0.002188      0.005906    
0.3548        0.004432      0.002794      0.007482    
0.4467        0.005461      0.003537      0.009246    
0.5623        0.006986      0.004490      0.012022    
0.7079        0.008628      0.005516      0.015284    
0.8913        0.011080      0.007055      0.018900    
