==============================================================================
ROW 11(b): compaction scan extended to gamma_cr in [0.2, 1.0]
==============================================================================
wide-grid integrator vs committed integrator: max rel. diff 5.74e-16 (must be << 1e-6)

--- family L: lognormal(Delta, r_p k_p) ---
   Delta  rp*kp  C_th  gamma_cr      A(0)  A(-35/16)  A(-35/8)   ratio
    0.35    0.3   0.4    0.8146    0.9569     0.3782    0.2023  1.8695
    0.35    0.3   0.5    0.8146    1.7695     0.5315    0.2814  1.8889
    0.35    0.3   0.6    0.8146    3.3135     0.7489    0.3930  1.9056
    0.35    0.5   0.4    0.8527    0.1930     0.1967    0.1095  1.7953
    0.35    0.5   0.5    0.8527    0.3569     0.2820    0.1544  1.8265
    0.35    0.5   0.6    0.8527    0.6683     0.4041    0.2181  1.8531
    0.35   0.75   0.4    0.8965    0.0757     0.1678    0.0974  1.7232
    0.35   0.75   0.5    0.8965    0.1400     0.2456    0.1391  1.7665
    0.35   0.75   0.6    0.8965    0.2622     0.3580    0.1986  1.8031
    0.35    1.0   0.4    0.9295    0.0509     0.2050    0.1226  1.6714
    0.35    1.0   0.5    0.9295    0.0940     0.3047    0.1768  1.7237
    0.35    1.0   0.6    0.9295    0.1761     0.4497    0.2544  1.7677
    0.35    1.5   0.4    0.9675    0.0473     0.5017    0.3116  1.6097
    0.35    1.5   0.5    0.9675    0.0875     0.7601    0.4542  1.6734
    0.35    1.5   0.6    0.9675    0.1638     1.1392    0.6598  1.7265
     0.5    0.3   0.4    0.7084    0.5425     0.1747    0.0945  1.8490
     0.5    0.3   0.5    0.7084    1.0032     0.2468    0.1319  1.8715
     0.5    0.3   0.6    0.7084    1.8785     0.3494    0.1848  1.8908
     0.5    0.5   0.4    0.7821    0.1511     0.1156    0.0649  1.7812
     0.5    0.5   0.5    0.7821    0.2795     0.1664    0.0917  1.8145
     0.5    0.5   0.6    0.7821    0.5233     0.2393    0.1298  1.8429
     0.5   0.75   0.4    0.8461    0.0768     0.1151    0.0668  1.7230
     0.5   0.75   0.5    0.8461    0.1420     0.1685    0.0954  1.7661
     0.5   0.75   0.6    0.8461    0.2659     0.2456    0.1362  1.8026
     0.5    1.0   0.4    0.8877    0.0590     0.1431    0.0850  1.6835
     0.5    1.0   0.5    0.8877    0.1091     0.2120    0.1223  1.7335
     0.5    1.0   0.6    0.8877    0.2043     0.3119    0.1757  1.7756
     0.5    1.5   0.4    0.9340    0.0574     0.2786    0.1703  1.6354
     0.5    1.5   0.5    0.9340    0.1062     0.4187    0.2471  1.6941
     0.5    1.5   0.6    0.9340    0.1989     0.6234    0.3576  1.7433
     0.8    0.3   0.4    0.6057    0.2634     0.0865    0.0476  1.8167
     0.8    0.3   0.5    0.6057    0.4871     0.1233    0.0669  1.8440
     0.8    0.3   0.6    0.6057    0.9121     0.1759    0.0942  1.8675
     0.8    0.5   0.4    0.6988    0.1289     0.0779    0.0440  1.7692
     0.8    0.5   0.5    0.6988    0.2383     0.1125    0.0624  1.8042
     0.8    0.5   0.6    0.6988    0.4462     0.1622    0.0884  1.8341
     0.8   0.75   0.4    0.7660    0.0908     0.0864    0.0499  1.7324
     0.8   0.75   0.5    0.7660    0.1680     0.1261    0.0711  1.7736
     0.8   0.75   0.6    0.7660    0.3145     0.1833    0.1014  1.8086
     0.8    1.0   0.4    0.8078    0.0800     0.1035    0.0606  1.7079
     0.8    1.0   0.5    0.8078    0.1480     0.1522    0.0868  1.7533
     0.8    1.0   0.6    0.8078    0.2772     0.2227    0.1243  1.7918
     0.8    1.5   0.4    0.8567    0.0799     0.1567    0.0934  1.6765
     0.8    1.5   0.5    0.8567    0.1478     0.2325    0.1346  1.7275
